Currency units per SDR for July 2015
Currency	July 01, 2015	July 02, 2015	July 06, 2015	July 07, 2015	July 08, 2015	July 09, 2015	July 10, 2015	July 13, 2015	July 14, 2015	July 15, 2015	July 16, 2015
Chinese Yuan	8.574120	8.559880	8.551250	8.532280	8.538980	8.545550	8.589960	8.551980	8.545550	8.546720	8.511440
Euro	1.263210	1.264540	1.269890	1.276130	1.266180	1.264210	1.255850	1.266100	1.266550	1.269520	1.280360
Japanese Yen	171.976000	172.637000	171.312000	171.159000	170.361000	168.785000	170.850000	171.367000	172.812000	172.536000	172.349000
U.K. Pound Sterling	0.895440	0.897304	0.898505	0.902348	0.908628	0.908438	0.904895	0.899103	0.897207	0.893959	0.891107
U.S. Dollar	1.402160	1.399340	1.397900	1.394940	1.395830	1.397460	1.404670	1.398910	1.397140	1.397620	1.391370
Algerian Dinar	139.284000	138.881000	139.157000	139.249000	138.766000	139.014000	138.920000	139.146000	138.828000	139.474000	139.406000
Australian Dollar	1.817920	1.829440	1.865850	1.862640	1.883970	1.868510	1.876390	1.877980	1.881410	1.872980	1.890960
Bahrain Dinar	0.527215	0.526152	0.525610	0.524497	0.524832	0.525445	0.528153	0.525989	0.525323	0.525505	0.523155
Botswana Pula	NA	13.896100	13.965000	14.005400	14.028500	14.016600	14.018600	14.045300	13.929600	13.976200	13.955500
Brazilian Real	4.350360	4.364680	4.371370	4.384430	4.440000	4.511270	4.517830	4.462110	4.414110	4.364750	4.387250
Brunei Dollar	1.886330	1.891490	1.889120	1.886510	1.893440	1.887400	1.894470	1.891050	1.901360	1.902160	1.901860
Canadian Dollar	NA	NA	1.764990	1.777150	1.775780	1.778820	1.786030	1.785290	1.781070	1.808100	1.800290
Chilean Peso	896.041000	894.238000	889.608000	894.855000	904.961000	911.702000	908.736000	903.906000	904.895000	899.507000	NA
Colombian Peso	3,643.780000	NA	3,694.600000	3,718.080000	3,754.990000	3,760.260000	3,751.570000	3,731.410000	3,763.250000	3,757.080000	3,774.840000
Czech Koruna	34.433000	34.469900	NA	34.584600	34.326300	34.276900	34.046300	34.304100	34.299700	34.367400	34.709100
