Currency units per SDR for December 2008
Currency	December 01, 2008	December 02, 2008	December 03, 2008	December 04, 2008	December 05, 2008	December 08, 2008	December 09, 2008	December 10, 2008	December 11, 2008	December 12, 2008	December 15, 2008
Chinese Yuan	10.162000	10.151900	10.145200	10.134600	10.163700	10.215700	10.204300	10.232700	10.322900	10.383800	10.419000
Euro	1.176550	1.166770	1.173260	1.172320	1.171850	1.160060	1.160720	1.156190	1.140850	1.137160	1.126810
Japanese Yen	141.367000	138.071000	138.104000	137.590000	137.283000	138.378000	138.285000	138.379000	139.305000	135.465000	138.531000
U.K. Pound Sterling	0.985902	1.000840	1.004690	1.015420	1.011270	0.999960	1.009510	1.008550	1.009400	1.015710	1.017390
U.S. Dollar	1.483390	1.481450	1.481010	1.479460	1.484140	1.491140	1.490140	1.494370	1.507630	1.516970	1.522320
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.288830	2.311880	2.294710	2.296590	2.304220	2.291950	2.267400	2.259070	2.296120	2.304370	2.273130
Bahrain Dinar	0.557756	0.557025	0.556861	0.556279	0.558039	0.560670	0.560293	0.561883	0.566871	0.570379	0.572390
Botswana Pula	11.943600	11.985900	11.962900	11.940800	11.978600	11.977000	11.921100	11.964500	11.965300	12.068200	12.091500
Brazilian Real	3.459720	NA	3.472830	3.581030	3.695070	NA	NA	NA	NA	NA	3.618550
Brunei Dollar	2.258470	2.264100	2.261800	2.255740	2.261540	NA	2.251750	2.244400	2.253010	2.259980	2.250590
Canadian Dollar	1.836000	1.840110	1.862070	1.855250	1.924790	1.874660	1.878020	1.876480	1.836750	1.888930	1.880360
Chilean Peso	985.814000	994.184000	987.596000	998.383000	999.271000	NA	1,003.440000	994.995000	1,002.520000	996.512000	995.213000
Colombian Peso	3,438.510000	3,437.150000	3,429.060000	3,428.630000	3,448.090000	3,479.640000	3,477.290000	3,454.540000	3,471.980000	3,456.090000	3,460.590000
Czech Koruna	30.121800	29.959400	30.091100	30.145500	30.184500	29.822800	29.895100	29.939800	29.625000	29.558100	29.469000
Danish Krone	8.764930	8.690820	8.741340	8.733090	8.729740	8.642070	8.647300	8.613410	8.499720	8.471630	8.394970
Hungarian Forint	306.780000	305.890000	306.821000	306.426000	304.887000	304.729000	304.778000	303.581000	302.371000	299.586000	300.521000
