Currency units per SDR for January 1997
Currency	January 02, 1997	January 03, 1997	January 06, 1997	January 07, 1997	January 08, 1997	January 09, 1997	January 10, 1997	January 13, 1997	January 14, 1997	January 15, 1997	January 16, 1997
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	NA	NA	167.072000	166.381000	165.121000	165.571000	166.359000	165.342000	165.835000	165.279000	166.169000
U.K. Pound Sterling	0.845655	0.847993	0.848457	0.847422	0.847080	0.844669	0.849890	0.850884	0.851423	0.848362	0.847984
U.S. Dollar	1.440150	1.438620	1.432620	1.434940	1.431480	1.429180	1.429940	1.424380	1.424090	1.419310	1.422070
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.812880	1.816900	1.811610	1.815000	1.817980	1.829470	1.840810	1.822620	1.830690	1.825950	1.835400
Bahrain Dinar	0.541496	0.540921	0.538665	0.539537	0.538236	0.537372	0.537657	0.535567	0.535458	0.533661	0.534698
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.495740	1.494290	1.488490	1.491910	1.488310	1.486630	1.488140	1.482210	1.482760	1.478070	1.481510
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	1.978330	1.976380	1.959680	1.946930	1.937220	1.931680	1.927270	1.921060	1.922950	1.904570	1.904010
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	1,447.830000	1,449.170000	NA	1,459.060000	1,462.970000	1,457.990000	1,449.500000	NA	1,446.210000	1,456.960000	1,455.450000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.524970	8.502240	8.570650	8.549370	8.569560	8.593660	8.596080	8.587590	8.623580	8.630110	8.604950
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	NA	96.013500	96.329400	96.298800	96.395900	96.412500	96.363700	96.188400	96.510600	96.385300	96.259900
Indian Rupee	51.701400	51.689600	51.416700	51.528700	51.375800	51.264700	51.291900	51.078300	51.053600	50.882300	50.995400
Indonesian Rupiah	3,381.470000	3,377.880000	3,363.790000	3,369.240000	3,361.120000	3,355.710000	3,357.500000	3,344.440000	3,343.760000	3,332.540000	3,339.020000
Iranian Rial	2,520.020000	2,520.020000	2,521.180000	2,510.630000	2,514.730000	2,508.670000	2,508.670000	2,505.970000	2,496.230000	NA	2,487.340000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
