Currency units per SDR for April 1999
Currency	April 01, 1999	April 02, 1999	April 05, 1999	April 06, 1999	April 07, 1999	April 08, 1999	April 09, 1999	April 12, 1999	April 13, 1999	April 14, 1999	April 15, 1999
Chinese Yuan	11.243400	11.222700	11.177700	11.176700	11.217500	11.225800	11.208000	11.263000	11.236000	11.259200	11.254800
Euro	1.260640	1.258350	1.255620	1.258520	1.253070	1.253270	1.255960	1.251780	1.260620	1.260680	1.260390
Japanese Yen	161.529000	163.541000	163.436000	164.147000	163.595000	164.254000	163.997000	164.094000	163.797000	162.304000	161.939000
U.K. Pound Sterling	0.843244	NA	NA	0.851397	0.848300	0.845414	0.844355	0.842506	0.840962	0.840534	0.842397
U.S. Dollar	1.357960	1.355500	1.350040	1.349890	1.354820	1.355790	1.353670	1.360310	1.357060	1.359900	1.359460
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.136840	NA	NA	2.138270	2.150510	2.174480	2.153810	2.140540	2.137780	2.136530	2.143240
Bahrain Dinar	0.510593	0.509668	0.507615	0.507559	0.509412	0.509777	0.508980	0.511477	0.510255	0.511322	0.511157
Botswana Pula	6.316090	NA	6.279260	6.313800	6.313230	6.344360	6.319650	6.321140	6.314840	6.266820	6.270570
Brazilian Real	NA	NA	2.323690	2.327620	2.344650	2.343750	2.328040	2.323680	2.313240	2.272660	2.252220
Brunei Dollar	2.331620	2.332820	2.323420	2.329240	2.331240	2.339420	2.332370	2.339330	2.327360	2.300270	2.299800
Canadian Dollar	2.038030	NA	2.023710	2.029420	2.033040	2.032190	2.033210	2.032580	2.022160	2.030190	2.026280
Chilean Peso	654.605000	NA	652.272000	652.307000	654.175000	654.101000	653.768000	656.227000	655.636000	656.356000	NA
Colombian Peso	NA	NA	2,070.040000	NA	2,078.470000	2,098.950000	2,131.720000	2,160.400000	2,155.270000	2,181.210000	2,165.850000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	NA	NA	NA	9.345420	9.330920	9.326210	9.342490	9.320300	9.329110	9.350810	9.355800
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	NA	NA	NA	98.704000	98.834100	98.837100	98.899100	98.962600	99.092500	98.946300	98.927900
Indian Rupee	NA	NA	57.295700	57.383800	57.769500	57.851600	57.774600	58.085200	57.960000	58.081300	58.225700
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	NA	NA	NA	2,365.950000	2,365.680000	2,374.320000	2,374.320000	2,372.310000	2,383.940000	2,378.250000	2,383.220000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,664.720000	1,659.540000	NA	NA	1,660.330000	1,657.860000	1,655.940000	1,663.930000	1,659.680000	1,662.610000	1,652.700000
Kuwaiti Dinar	0.414028	NA	0.412262	0.412216	0.413721	0.414018	NA	0.414881	0.413890	0.414756	NA
Libyan Dinar	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115
Malaysian Ringgit	5.160250	5.150900	5.130150	5.129580	5.148320	5.152000	5.143950	5.169180	5.156830	5.167620	5.165950
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	91.899900	91.733500	91.364000	91.353800	91.687400	91.753100	91.609600	92.059000	91.839000	92.031200	92.001500
New Zealand Dollar	NA	NA	NA	2.542170	2.541880	2.558090	2.544490	2.528460	NA	2.516470	NA
Norwegian Krone	NA	NA	NA	10.494000	10.486300	10.540600	10.565100	10.520900	10.544500	10.515400	10.518000
Rial Omani	0.522136	0.521190	0.519090	0.519033	0.520928	0.521301	0.520486	0.523039	0.521790	0.522882	0.522712
Pakistani Rupee	62.622300	62.508900	62.257100	62.250200	62.477500	62.522300	62.424500	62.730700	62.580800	62.711800	62.691500
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.942970	4.934020	4.914150	4.913600	4.931540	4.935080	4.927360	4.951530	4.939700	4.950040	4.948430
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.085560	5.076350	5.055900	5.055340	5.073800	5.077430	5.069490	5.094360	5.082190	5.092830	5.091180
Singapore Dollar	2.344520	NA	2.342990	2.341380	2.348990	2.350940	2.344560	2.351980	2.341610	2.317950	2.303600
South African Rand	8.383370	NA	NA	8.374040	8.370760	8.436400	8.381250	8.396510	8.354740	8.264790	8.263480
Sri Lanka Rupee	94.262800	NA	93.848000	93.918600	94.193900	94.356200	94.208700	94.657200	NA	NA	94.570800
Swedish Krona	11.260900	NA	NA	11.173700	11.214500	11.236100	11.232100	11.263400	11.253400	11.232800	11.249500
Swiss Franc	2.011680	NA	NA	2.009040	1.999710	2.001820	2.006410	2.007140	2.019310	2.022170	2.022060
Thai Baht	51.038900	51.050800	50.938400	NA	NA	51.205500	51.385300	51.778800	NA	NA	NA
Trinidad And Tobago Dollar	8.529750	NA	NA	8.472310	8.500280	8.515040	8.481830	8.524790	8.520840	8.528880	8.533870
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.987110	4.978070	4.958020	4.957470	4.975580	4.979140	4.971350	4.995740	4.983800	4.994230	4.992620
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for April 1999 Continued

Currency	April 16, 1999	April 19, 1999	April 20, 1999	April 21, 1999	April 22, 1999	April 23, 1999	April 26, 1999	April 27, 1999	April 28, 1999	April 29, 1999	April 30, 1999
Chinese Yuan	11.231900	11.234800	11.235000	11.193000	11.176000	11.202900	11.206800	11.203900	11.218200	11.201400	11.186800
Euro	1.271770	1.275920	1.274810	1.277240	1.275900	1.272590	1.275290	1.273030	1.270390	1.275860	1.275110
Japanese Yen	161.314000	160.066000	160.552000	160.466000	162.274000	161.513000	160.739000	161.670000	162.424000	NA	161.242000
U.K. Pound Sterling	0.842840	0.838940	0.839411	0.841271	0.840773	0.837731	0.838811	0.839160	0.837091	0.837981	0.837972
U.S. Dollar	1.356720	1.357070	1.357160	1.352090	1.350030	1.353270	1.353590	1.353230	1.355000	1.352920	1.351230
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.112280	2.091660	2.086980	2.081740	2.089830	2.068270	NA	2.086060	2.078860	2.070270	2.047940
Bahrain Dinar	0.510127	0.510258	0.510292	0.508386	0.507611	0.508830	0.508950	0.508814	0.509480	0.508698	0.508062
Botswana Pula	6.289850	6.248020	6.248430	6.256780	6.244360	6.273850	6.243500	6.244720	6.238490	6.240410	6.261490
Brazilian Real	2.263010	2.265220	2.268220	NA	2.307610	2.301370	2.279850	2.296430	2.311770	2.293880	2.252230
Brunei Dollar	2.286750	2.294810	2.301060	2.301260	2.297080	2.296500	2.297720	2.297110	2.288190	2.281430	2.274390
Canadian Dollar	2.015270	2.011990	2.021490	2.013400	1.999530	1.997970	2.001960	2.000890	2.000660	1.984330	1.969550
Chilean Peso	655.771000	656.550000	656.323000	654.966000	654.265000	655.145000	655.814000	655.762000	656.132000	655.720000	655.522000
Colombian Peso	2,151.810000	2,142.720000	2,131.460000	2,114.590000	2,120.010000	2,129.860000	2,137.290000	2,139.160000	2,155.170000	2,162.900000	2,167.970000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.442360	9.479410	9.469990	9.474640	9.435220	9.457060	9.472560	9.460570	9.433240	9.477340	NA
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	99.149100	99.174700	99.127000	99.081200	NA	99.086400	99.326400	99.245900	99.267300	99.331400	99.369500
