Currency units per SDR for January 1996
Currency	January 02, 1996	January 03, 1996	January 04, 1996	January 05, 1996	January 08, 1996	January 09, 1996	January 10, 1996	January 11, 1996	January 12, 1996	January 15, 1996	January 16, 1996
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	NA	152.373000	155.023000	154.744000	155.896000	155.185000	154.337000	154.979000	155.154000	NA	155.100000
U.K. Pound Sterling	0.958527	0.953601	0.951284	0.953870	0.952857	0.952647	0.956532	0.958071	0.956019	0.954133	0.953584
U.S. Dollar	1.483800	1.481800	1.474300	1.475160	1.477690	1.475840	1.478320	1.480220	1.474850	1.475090	1.470140
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.994350	1.985790	1.978930	1.991310	1.977640	1.977810	1.983520	1.984740	1.982330	1.981050	1.974140
Bahrain Dinar	0.557909	0.557157	0.554337	0.554660	0.555611	0.554916	0.555848	0.556563	0.554544	0.554634	0.552773
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.441510	1.439720	1.432580	1.433560	1.435870	1.433930	1.436340	1.438180	1.433550	1.434380	1.428540
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	2.013520	2.004130	1.995910	2.001790	2.010690	2.009060	2.017460	2.020500	2.009340	2.012020	2.009090
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	1,465.480000	1,473.370000	1,466.190000	1,473.210000	1,473.350000	1,471.500000	1,483.410000	1,485.930000	1,478.670000	1,483.390000	1,487.180000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.241030	8.243250	8.253870	8.243930	8.222610	8.239610	8.230550	8.217440	8.230400	8.243540	8.282770
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	NA	96.776400	96.773100	96.755700	96.714800	96.741300	96.770800	96.762000	96.705900	96.721700	96.896900
Indian Rupee	52.244600	52.218600	52.013300	52.205900	52.458000	52.938400	52.909100	52.991900	52.814400	52.793500	52.763300
Indonesian Rupiah	3,423.130000	3,418.510000	3,401.210000	3,403.190000	3,409.030000	3,397.380000	3,403.090000	3,407.470000	3,396.580000	3,397.130000	3,388.670000
Iranian Rial	2,597.640000	2,592.940000	2,589.450000	2,589.450000	2,577.840000	2,577.840000	2,577.840000	2,577.840000	2,577.840000	2,586.680000	2,586.680000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
