Currency units per SDR for June 2000
Currency	June 01, 2000	June 02, 2000	June 05, 2000	June 06, 2000	June 07, 2000	June 08, 2000	June 09, 2000	June 12, 2000	June 13, 2000	June 14, 2000	June 15, 2000
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	92.964400	93.039900	93.516800	93.705200	94.280900	94.231500	94.164700	94.183100	94.328900	94.360700	94.212800
New Zealand Dollar	2.891620	2.892060	NA	2.845050	2.825610	2.840940	2.841780	2.845990	2.836440	NA	2.841420
Norwegian Krone	NA	11.717500	11.645000	11.593300	11.569800	11.479800	11.675000	NA	11.525500	11.416800	11.498600
Rial Omani	0.506659	0.507071	0.509670	0.510697	0.513834	0.513565	0.511750	0.511850	0.512642	0.512815	0.512012
Pakistani Rupee	68.246200	68.301700	68.651800	68.790100	69.212700	69.176400	68.932000	68.945400	69.052100	69.075400	68.967200
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.796460	4.800360	4.824970	4.834680	4.864390	4.861840	4.844660	4.845600	4.853100	4.854740	4.847130
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.934820	4.938830	4.964150	4.974150	5.004710	5.002080	4.984410	4.985380	4.993100	4.994780	4.986950
Singapore Dollar	2.283200	2.279250	2.280590	2.286510	2.301900	2.300420	2.297220	2.296340	2.297220	2.294670	2.291070
South African Rand	9.206180	9.130570	9.187980	9.199850	9.333880	9.367720	9.361240	9.347090	9.341560	9.287360	9.263480
Sri Lanka Rupee	97.662100	97.846900	98.308700	98.506700	99.111900	99.126700	98.936200	99.088600	99.242000	99.275400	NA
Swedish Krona	NA	11.766800	11.687900	11.704900	11.619700	11.597000	11.629200	NA	11.532800	11.436600	11.422100
Swiss Franc	NA	2.217130	2.212590	2.209340	2.191380	2.182080	2.185820	NA	2.176700	2.168230	2.185070
Thai Baht	51.600200	51.482500	51.537000	51.566400	51.956700	52.044400	52.002900	52.045000	51.968200	51.963100	51.906900
Trinidad And Tobago Dollar	8.258880	8.272050	8.313920	8.338100	8.396010	8.391080	8.369280	8.363460	8.364270	8.388170	8.377020
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.839290	4.843220	4.868050	4.877850	4.907820	4.905250	4.887910	4.888870	4.896430	4.898090	4.890410
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for June 2000 Continued

Currency	June 16, 2000	June 19, 2000	June 20, 2000	June 21, 2000	June 22, 2000	June 23, 2000	June 26, 2000	June 27, 2000	June 28, 2000	June 29, 2000	June 30, 2000
Chinese Yuan	11.039700	11.070900	11.036800	11.021800	10.993100	11.013700	10.969900	10.988800	11.000500	11.063200	11.070300
Euro	1.394470	1.387530	1.398020	1.406110	1.412160	1.413630	1.420930	1.412160	1.411550	1.406210	1.399410
Japanese Yen	142.077000	142.051000	140.810000	140.243000	139.787000	139.386000	138.494000	140.125000	140.140000	140.462000	140.949000
U.K. Pound Sterling	0.882733	0.883183	0.884942	0.883662	0.882544	0.885565	0.884005	0.886643	0.883271	0.879713	0.884327
U.S. Dollar	1.333810	1.337580	1.333430	1.331590	1.328140	1.330650	1.325300	1.327570	1.328970	1.336460	1.337280
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.196660	2.215270	2.202560	2.220060	2.206950	2.234130	2.234530	2.208940	2.213840	2.220400	2.234010
Bahrain Dinar	0.501513	0.502930	0.501370	0.500678	0.499381	0.500324	0.498313	0.499166	0.499693	0.502509	0.502817
Botswana Pula	6.833040	6.855870	6.855680	6.874500	6.870870	6.844910	6.827920	6.811540	6.804760	6.832620	6.829830
Brazilian Real	2.410330	2.416340	2.403110	2.394600	NA	2.410210	2.411380	2.426000	2.422310	2.430620	2.429040
Brunei Dollar	2.300160	2.310400	2.312830	2.306980	NA	2.306680	2.297410	2.299750	2.304700	2.317420	2.312690
Canadian Dollar	1.961230	1.959960	1.960940	1.961430	1.956350	1.968300	1.964230	1.968120	1.971530	1.980230	1.978240
Chilean Peso	680.790000	682.714000	NA	680.482000	678.746000	NA	NA	679.676000	679.994000	682.838000	682.922000
Colombian Peso	2,815.100000	2,828.710000	NA	2,827.740000	2,834.700000	2,833.130000	2,814.920000	2,819.750000	2,838.210000	2,854.970000	2,860.590000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	10.409100	10.356200	10.385000	10.429800	10.509400	10.578000	10.609700	10.525400	10.515100	10.506200	10.416700
Hungarian Forint	363.637000	NA	361.840000	363.724000	366.009000	368.830000	370.011000	366.967000	366.317000	367.326000	362.844000
Icelandic Krona	101.503000	101.282000	101.501000	101.667000	102.373000	103.551000	102.459000	102.542000	102.623000	102.466000	102.248000
Indian Rupee	59.688000	59.776500	59.564300	59.442200	59.341300	59.466700	59.174600	59.302600	59.365100	59.699700	59.749700
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,337.340000	NA	NA	2,336.840000	2,333.610000	2,333.610000	2,331.960000	2,322.590000	2,326.570000	2,329.020000	2,329.020000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	NA	NA	NA	NA	NA	NA	1,483.940000	1,485.150000	1,485.660000	NA	NA
Kuwaiti Dinar	NA	0.409126	0.407856	0.407480	0.406716	NA	0.406085	0.406781	0.407010	0.409304	NA
Libyan Dinar	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999
Malaysian Ringgit	5.068480	5.082800	5.067030	5.060040	5.046930	5.056470	5.036140	5.044770	5.050090	5.078550	5.081660
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	94.367100	94.633800	94.340200	94.210000	93.965900	94.143500	93.765000	93.925600	94.024600	94.554500	94.612600
New Zealand Dollar	NA	2.806210	2.791650	2.814310	NA	2.830270	2.833960	2.824620	2.820100	2.862110	2.855300
Norwegian Krone	11.502200	11.470700	11.500800	11.562500	11.598800	11.595300	11.621800	11.597400	11.539400	11.500600	11.454200
Rial Omani	0.512850	0.514300	0.512704	0.511996	0.510670	0.511635	0.509578	0.510451	0.510989	0.513869	0.514184
Pakistani Rupee	69.080100	69.275300	69.060400	68.965100	68.786400	68.916400	68.639300	68.756900	68.829400	69.217300	69.259800
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.855070	4.868790	4.853690	4.846990	4.834430	4.843570	4.824090	4.832350	4.837450	4.864710	4.867700
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.995120	5.009240	4.993700	4.986800	4.973880	4.983280	4.963250	4.971750	4.976990	5.005040	5.008110
Singapore Dollar	2.300160	2.310400	2.312830	2.306980	2.303390	2.306680	2.297410	2.299750	2.304700	2.317420	2.312690
South African Rand	NA	9.181820	9.168000	9.223260	9.202020	9.146220	9.106800	9.052040	9.056270	9.096610	9.055390
Sri Lanka Rupee	NA	99.562800	103.394000	103.251000	102.984000	103.179000	102.764000	102.940000	103.048000	103.629000	103.693000
Swedish Krona	NA	11.519900	11.500800	11.534900	11.604600	NA	11.781900	11.792100	11.814500	11.871100	11.784800
Swiss Franc	2.175310	2.168220	2.178020	2.181680	2.185720	2.198370	2.202910	2.184910	2.183500	2.187380	2.174820
Thai Baht	52.141300	NA	NA	52.061200	52.047200	52.073700	51.845700	51.931900	52.038500	52.323700	52.393300
Trinidad And Tobago Dollar	8.391400	NA	8.368210	8.361990	NA	8.347170	8.311090	8.333020	8.343540	8.388420	8.399320
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.898420	4.912260	4.897020	4.890260	4.877590	4.886810	4.867160	4.875500	4.880640	4.908150	4.911160
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
