Currency units per SDR for June 2000
Currency	June 01, 2000	June 02, 2000	June 05, 2000	June 06, 2000	June 07, 2000	June 08, 2000	June 09, 2000	June 12, 2000	June 13, 2000	June 14, 2000	June 15, 2000
Chinese Yuan	10.906800	10.915700	10.971500	10.994000	11.061500	11.056000	11.016500	11.018600	11.035500	11.038900	11.021600
Euro	1.412340	1.409710	1.405220	1.400330	1.398750	1.381540	1.402480	1.397300	1.391290	1.384100	1.398180
Japanese Yen	142.972000	143.615000	143.092000	142.783000	141.522000	141.114000	141.413000	142.373000	142.393000	141.974000	141.912000
U.K. Pound Sterling	0.880881	0.881361	0.876970	0.877575	0.877459	0.879772	0.883061	0.882005	0.881093	0.887018	0.883982
U.S. Dollar	1.317710	1.318780	1.325540	1.328210	1.336370	1.335670	1.330950	1.331210	1.333270	1.333720	1.331630
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.295660	2.307580	2.281480	2.285680	2.270810	2.265770	2.267380	NA	2.256340	2.216590	2.217900
Bahrain Dinar	0.495459	0.495861	0.498403	0.499407	0.502475	0.502212	0.500437	0.500535	0.501310	0.501479	0.500693
Botswana Pula	NA	6.825980	6.860970	6.867680	6.931380	6.916990	6.946500	6.933390	6.922480	6.903310	6.903210
Brazilian Real	2.405870	2.399390	2.398700	2.380820	2.390900	2.407950	2.387720	2.394980	2.404150	2.412970	2.410120
Brunei Dollar	2.283200	2.279250	2.280590	2.286510	2.301900	2.300420	2.297220	2.296340	2.297220	2.294670	2.291070
Canadian Dollar	1.964840	1.949160	1.959150	1.962700	1.975690	1.977060	1.964880	1.965000	1.958710	1.959770	1.964950
Chilean Peso	674.707000	673.923000	677.576000	677.254000	681.188000	680.404000	679.982000	679.609000	680.061000	680.477000	679.930000
Colombian Peso	2,763.190000	2,762.980000	NA	2,813.910000	2,835.420000	2,841.010000	2,828.670000	2,816.650000	2,809.160000	2,830.470000	2,811.190000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	NA	10.520200	NA	10.462700	10.421700	10.401000	10.396200	NA	10.394600	10.332500	10.452600
Hungarian Forint	366.455000	365.447000	363.715000	363.664000	362.236000	361.245000	361.340000	NA	361.889000	359.678000	362.576000
Icelandic Krona	NA	99.422800	99.746900	99.947800	100.589000	100.095000	100.181000	NA	100.542000	101.056000	102.016000
Indian Rupee	58.730300	58.883500	59.198600	59.331100	59.722400	59.811300	59.573300	59.611600	59.703800	59.630600	NA
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,313.340000	2,313.340000	2,311.160000	2,323.010000	2,327.690000	2,341.990000	2,341.990000	2,332.490000	2,332.950000	NA	2,337.340000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,494.020000	1,492.730000	NA	NA	1,496.070000	NA	1,483.340000	NA	NA	NA	1,485.030000
Kuwaiti Dinar	0.404379	NA	0.406556	0.407110	0.408929	0.408528	NA	0.407763	0.408394	NA	NA
Libyan Dinar	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999
Malaysian Ringgit	5.007300	5.011360	5.037050	5.047200	5.078210	5.075550	5.057610	5.058600	5.066430	5.068140	5.060190
