Currency units per SDR for July 2001
Currency	July 02, 2001	July 03, 2001	July 04, 2001	July 05, 2001	July 06, 2001	July 09, 2001	July 10, 2001	July 11, 2001	July 12, 2001	July 13, 2001	July 16, 2001
Chinese Yuan	10.311800	10.308200	NA	10.274200	10.256300	10.286900	10.319000	10.359100	10.331300	10.334200	10.325500
Euro	1.473490	1.465750	1.471390	1.473920	1.478000	1.469290	1.458990	1.453460	1.461940	1.462210	1.453500
Japanese Yen	155.356000	154.373000	154.849000	155.664000	155.824000	156.043000	156.897000	157.260000	154.903000	155.074000	155.917000
U.K. Pound Sterling	0.880266	0.883736	0.886313	0.883322	0.884541	0.884228	0.884439	0.883626	0.886886	0.889688	0.890845
U.S. Dollar	1.245840	1.245440	1.243760	1.241340	1.239160	1.242880	1.246700	1.251570	1.248210	1.248590	1.247540
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.444740	2.420690	2.396930	2.397790	2.422120	2.445160	2.444520	2.454060	2.468280	2.466580	2.449520
Bahrain Dinar	0.468435	0.468288	0.467655	0.466742	0.465922	0.467320	0.468760	0.470590	0.469325	0.469468	0.469074
Botswana Pula	7.068590	7.046370	NA	7.091340	7.129770	7.145000	7.152620	7.217820	7.194300	7.161370	7.165630
Brazilian Real	2.870540	2.894540	2.908790	2.966660	2.986990	3.099110	3.059400	3.103140	3.156960	3.173280	3.184970
Brunei Dollar	2.270540	2.269320	2.267750	2.266300	2.262080	2.271230	2.285580	2.295380	2.290460	2.291780	2.292100
Canadian Dollar	NA	1.883610	1.879330	1.874290	1.883270	1.890540	1.896360	1.908390	1.907260	1.921950	1.920830
Chilean Peso	NA	672.314000	671.709000	671.114000	670.174000	671.736000	673.233000	674.823000	673.809000	674.236000	673.659000
Colombian Peso	NA	2,863.090000	2,860.680000	2,859.120000	2,854.220000	2,864.520000	2,874.110000	2,886.320000	2,886.120000	2,901.700000	2,891.690000
Czech Koruna	49.798600	49.682000	49.667200	NA	NA	49.963500	49.426700	49.539800	49.523800	49.403900	49.242900
Danish Krone	10.970100	10.954600	10.955000	10.989000	10.980300	10.938200	10.849100	10.827000	10.878500	10.887200	10.841700
Hungarian Forint	359.075000	356.408000	355.220000	358.337000	363.680000	370.762000	367.204000	375.021000	369.694000	375.499000	375.235000
Icelandic Krona	129.144000	129.277000	129.737000	128.602000	NA	127.979000	127.575000	127.498000	127.954000	128.105000	127.835000
Indian Rupee	58.641400	58.722700	58.593600	58.504200	58.426200	58.601500	58.794500	59.024200	58.890400	58.883500	58.833900
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
