Currency units per SDR for January 2001
Currency	January 02, 2001	January 03, 2001	January 04, 2001	January 05, 2001	January 08, 2001	January 09, 2001	January 10, 2001	January 11, 2001	January 12, 2001	January 15, 2001	January 16, 2001
Chinese Yuan	10.835800	10.887400	10.855100	10.855600	10.845000	10.804800	10.798500	10.832200	10.825500	NA	10.763100
Euro	1.389160	1.380200	1.386450	1.373970	1.379530	1.388560	1.386160	1.374310	1.370280	1.379690	1.381670
Japanese Yen	NA	NA	149.292000	152.785000	NA	151.294000	152.710000	152.731000	154.466000	155.117000	153.905000
U.K. Pound Sterling	0.877994	0.872410	0.876071	0.873607	0.871741	0.876862	0.874317	0.874370	0.877278	0.880623	0.883501
U.S. Dollar	1.309010	1.315330	1.311300	1.311460	1.310140	1.305380	1.304660	1.308750	1.307930	1.300770	1.300430
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.346730	2.329260	2.354220	2.295160	2.300510	2.313270	2.343560	2.358540	2.327280	2.354760	2.336790
Bahrain Dinar	0.492187	0.494565	0.493050	0.493109	0.492611	0.490824	0.490552	0.492092	0.491782	0.489091	0.488959
Botswana Pula	NA	6.974180	6.978710	6.979540	7.017350	7.044680	7.164500	7.202850	7.135470	NA	7.125600
Brazilian Real	2.558590	2.548590	2.545760	2.537540	2.551630	2.547580	2.535340	2.541730	2.544570	2.536510	2.531540
Brunei Dollar	2.271130	2.279210	2.268550	2.276030	2.266150	2.257660	2.262150	2.270030	2.268210	2.257490	2.257540
Canadian Dollar	1.958670	1.970110	1.964720	1.967450	1.958390	1.954680	1.957120	1.959990	1.957450	1.957010	1.956360
Chilean Peso	684.767000	687.077000	685.979000	685.998000	685.871000	683.952000	683.929000	685.302000	684.964000	NA	682.463000
Colombian Peso	2,918.010000	2,919.510000	2,916.830000	2,937.520000	NA	2,928.180000	2,916.470000	2,918.700000	2,938.370000	2,929.010000	2,924.150000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	10.341600	10.284100	10.292800	10.258600	10.283000	10.358100	10.359900	10.339300	10.268600	10.281800	10.332100
Hungarian Forint	366.024000	364.834000	366.745000	364.205000	364.428000	367.295000	367.914000	367.118000	364.206000	364.841000	365.615000
Icelandic Krona	NA	110.317000	110.202000	110.110000	110.143000	110.422000	110.374000	110.563000	109.997000	110.227000	110.523000
