Currency units per SDR for April 2009
Currency	April 01, 2009	April 02, 2009	April 03, 2009	April 06, 2009	April 07, 2009	April 08, 2009	April 09, 2009	April 10, 2009	April 13, 2009	April 14, 2009	April 15, 2009
Chinese Yuan	10.193700	10.228000	10.248700	NA	10.188400	10.202400	10.204300	10.159600	10.230800	10.213500	10.225400
Euro	1.125940	1.117540	1.117390	1.113670	1.124740	1.127830	1.124670	NA	NA	1.126450	1.136630
Japanese Yen	147.427000	147.790000	150.010000	151.503000	149.979000	149.820000	148.979000	149.613000	150.321000	149.324000	147.931000
U.K. Pound Sterling	1.035930	1.019700	1.017300	1.008050	1.019730	1.014430	1.017360	NA	NA	1.003410	0.997118
U.S. Dollar	1.491420	1.496610	1.500100	1.503000	1.490840	1.492230	1.492770	1.486470	1.497220	1.495480	1.497280
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.166820	2.127980	2.100690	2.094490	2.092120	2.115140	2.098950	NA	NA	2.053670	2.086220
Bahrain Dinar	0.560774	0.562724	0.564038	0.565128	0.560557	0.561079	0.561281	0.558912	0.562952	0.562300	0.562977
Botswana Pula	11.454900	11.389700	11.313000	11.224800	11.294300	11.296200	11.190200	NA	NA	11.235800	11.334400
Brazilian Real	NA	NA	NA	NA	3.316230	3.318860	NA	NA	3.257650	3.243850	3.274250
Brunei Dollar	2.268900	2.268110	2.257950	2.254050	2.250130	2.265650	2.260350	NA	2.266190	2.245620	2.253260
Canadian Dollar	1.885600	1.853400	1.850680	NA	1.839850	1.843500	1.832230	NA	1.828400	1.808330	1.802430
Chilean Peso	869.890000	871.148000	862.738000	872.265000	867.965000	869.686000	866.716000	NA	864.357000	864.088000	865.022000
Colombian Peso	3,794.530000	3,793.890000	3,677.840000	NA	3,590.570000	3,606.160000	NA	NA	NA	3,577.520000	3,584.900000
Czech Koruna	30.557800	30.041400	29.720100	29.577600	29.885400	29.984800	29.812100	29.906300	NA	29.929100	30.546000
Danish Krone	8.386240	8.326670	8.322580	8.295040	8.377810	8.403360	NA	NA	NA	8.391300	8.467690
Hungarian Forint	347.069000	337.769000	329.542000	325.219000	333.382000	336.139000	327.887000	327.142000	NA	327.376000	326.632000
Icelandic Krona	181.894000	177.797000	178.587000	180.360000	187.518000	189.408000	NA	NA	NA	190.928000	190.903000
Indian Rupee	NA	75.279700	NA	75.150100	NA	75.402300	74.504000	NA	74.651400	NA	74.684300
