Currency units per SDR for August 1996
Currency	August 01, 1996	August 02, 1996	August 05, 1996	August 06, 1996	August 07, 1996	August 08, 1996	August 09, 1996	August 12, 1996	August 13, 1996	August 14, 1996	August 15, 1996
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	156.099000	156.467000	156.384000	155.559000	155.788000	157.067000	158.011000	157.739000	157.195000	156.954000	157.326000
U.K. Pound Sterling	0.940474	0.946961	0.946187	0.946706	0.944797	0.943599	0.940872	0.942169	0.942038	0.941480	0.939387
U.S. Dollar	1.463660	1.461350	1.462900	1.458590	1.458010	1.456350	1.459010	1.460550	1.459970	1.457600	1.455110
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.886890	1.887810	1.892740	1.887170	1.886660	1.872400	1.873890	1.875630	1.875120	1.869200	1.863610
Bahrain Dinar	0.550336	0.549468	0.550050	0.548430	0.548212	0.547588	0.548588	0.549167	0.548949	0.548058	0.547121
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.478880	1.475960	1.476940	1.472150	1.472440	1.472080	1.474620	1.476760	1.476610	1.474800	1.472720
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	2.006970	2.009360	NA	2.004390	2.000390	1.998260	2.000740	2.002710	2.006870	2.003470	2.004120
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	1,547.780000	1,541.530000	1,542.040000	1,533.870000	1,529.990000	1,528.250000	1,524.520000	1,519.970000	1,512.220000	1,500.540000	1,515.880000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.337740	8.355270	8.338530	8.383250	8.366790	8.366730	8.349910	8.335360	8.347380	8.371000	8.373430
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	96.660100	96.785200	NA	96.821200	96.797300	96.803600	96.688600	96.673800	96.664600	96.740900	96.706600
Indian Rupee	52.223400	52.024100	52.006100	51.998700	52.021800	52.064500	52.174200	52.170800	52.106300	52.109200	NA
Indonesian Rupiah	3,426.430000	3,421.020000	3,424.650000	3,414.560000	3,413.200000	3,409.320000	3,415.540000	3,419.150000	3,417.790000	3,412.240000	3,406.410000
Iranian Rial	2,568.360000	2,568.360000	2,561.020000	2,563.730000	2,556.180000	2,555.160000	2,555.160000	2,549.910000	2,559.610000	2,558.600000	NA
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
