Currency units per SDR for March 2015
Currency	March 02, 2015	March 03, 2015	March 04, 2015	March 05, 2015	March 06, 2015	March 09, 2015	March 10, 2015	March 11, 2015	March 12, 2015	March 13, 2015	March 16, 2015
Chinese Yuan	8.653740	8.637670	8.626710	NA	8.565160	8.538980	8.500730	8.470700	8.480760	8.443160	8.436330
Euro	1.253060	1.256730	1.260480	1.262370	1.269690	1.277190	1.285730	1.300040	1.296870	1.296730	1.296950
Japanese Yen	168.620000	168.099000	167.656000	167.398000	167.104000	167.872000	167.689000	166.700000	167.394000	166.469000	166.220000
U.K. Pound Sterling	0.913275	0.913392	0.913993	0.916632	0.917212	0.918383	0.917776	0.913559	0.918434	0.926166	0.926012
U.S. Dollar	1.406810	1.403510	1.402150	1.397310	1.391960	1.387030	1.380610	1.375180	1.376370	1.370910	1.369200
Algerian Dinar	133.484000	133.432000	133.451000	NA	133.406000	133.345000	133.143000	133.823000	133.880000	133.442000	133.334000
Australian Dollar	1.811040	1.793400	1.794870	1.786850	1.783420	1.802740	1.805670	1.808500	1.810060	1.787130	1.791670
Bahrain Dinar	0.528961	0.527721	0.527209	0.525389	NA	0.521523	0.519111	0.517068	0.517515	0.515461	0.514816
Botswana Pula	13.645100	13.652900	13.639600	NA	13.580100	13.760200	13.806100	13.793200	13.749900	13.875600	13.830300
Brazilian Real	4.049090	4.021770	4.073390	4.164550	4.166270	4.211860	4.282380	4.304190	4.289030	4.273250	4.417570
Brunei Dollar	1.919030	1.915240	1.910570	1.912230	1.906280	1.915900	1.912980	1.907930	1.909710	1.897200	1.906600
Canadian Dollar	1.763440	1.747660	1.744280	1.744130	1.756090	1.747380	1.744130	1.755280	1.746750	1.755170	1.747780
Chilean Peso	868.538000	866.814000	865.973000	866.026000	862.470000	866.454000	867.671000	870.534000	877.555000	868.523000	874.944000
Colombian Peso	3,512.790000	3,539.710000	3,582.610000	3,585.370000	3,540.400000	3,558.580000	3,579.740000	3,601.320000	3,624.870000	3,578.180000	3,644.140000
Czech Koruna	34.438700	34.492700	34.609400	34.611400	34.658300	34.804800	35.063500	35.479700	35.420800	35.413300	35.401900
Danish Krone	9.351910	9.366800	9.400000	9.409900	9.461010	9.515560	9.580750	9.697060	9.671460	9.672960	9.682980
