Currency units per SDR for October 2000
Currency	October 02, 2000	October 03, 2000	October 04, 2000	October 05, 2000	October 06, 2000	October 09, 2000	October 10, 2000	October 11, 2000	October 12, 2000	October 13, 2000	October 16, 2000
Chinese Yuan	10.746400	10.718200	10.701100	10.689300	10.688700	NA	10.711200	10.714900	10.704200	10.708600	10.635600
Euro	1.474700	1.477370	1.480600	1.469530	1.483470	1.483080	1.483550	1.484280	1.495140	1.499430	1.509560
Japanese Yen	140.447000	140.855000	140.605000	140.966000	140.661000	NA	140.377000	139.719000	139.385000	139.407000	138.693000
U.K. Pound Sterling	0.880259	0.885210	0.887747	0.887863	0.890509	0.891182	0.888477	0.885711	0.885374	0.878419	0.889005
U.S. Dollar	1.298030	1.294620	1.292560	1.291130	1.291060	1.289540	1.293800	1.294290	1.293000	1.293560	1.284790
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	NA	2.379820	2.410140	2.408820	2.429090	2.413510	2.439290	2.425130	2.436400	2.441600	2.435620
Bahrain Dinar	0.488059	0.486777	0.486003	0.485465	0.485439	0.484867	0.486469	0.486653	0.486168	0.486379	0.483081
Botswana Pula	NA	6.781670	6.774420	6.745720	6.787910	NA	6.827440	6.855350	6.855780	6.902670	6.903760
Brazilian Real	2.392140	2.391810	2.389940	2.391300	2.387560	2.387200	2.402070	NA	NA	2.405370	2.409750
Brunei Dollar	2.255980	2.254970	2.256030	2.259480	2.255870	NA	2.267130	2.267850	2.264560	2.266960	2.251980
Canadian Dollar	1.960160	1.949050	1.936900	1.930760	1.937880	NA	1.942120	1.946870	1.950360	1.957540	1.951720
Chilean Peso	676.871000	675.351000	674.768000	674.151000	674.282000	NA	675.661000	675.762000	675.955000	676.208000	673.114000
Colombian Peso	2,871.580000	2,861.630000	2,845.580000	2,834.000000	2,821.040000	2,820.710000	2,826.000000	2,824.360000	2,813.530000	2,814.730000	2,801.730000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	10.961200	11.008500	11.007600	11.015500	11.013300	11.057200	11.038300	11.020400	11.117100	11.130200	11.228000
Hungarian Forint	388.176000	388.567000	388.712000	388.372000	389.216000	389.531000	389.330000	388.326000	392.361000	393.410000	396.525000
Icelandic Krona	107.308000	107.803000	107.968000	108.003000	108.165000	108.386000	108.188000	108.487000	108.961000	108.853000	109.259000
Indian Rupee	NA	59.643100	59.522400	59.508200	59.530800	59.422000	59.683000	59.964500	59.865900	59.995300	59.511500
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
