Currency units per SDR for September 1997
Currency	September 01, 1997	September 02, 1997	September 03, 1997	September 04, 1997	September 05, 1997	September 08, 1997	September 09, 1997	September 10, 1997	September 11, 1997	September 12, 1997	September 15, 1997
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	163.556000	162.975000	163.923000	162.881000	163.552000	164.099000	163.227000	161.947000	161.612000	163.171000	NA
U.K. Pound Sterling	0.842613	0.845293	0.849226	0.854863	0.851446	0.855523	0.854881	0.856257	0.856764	0.849282	0.852030
U.S. Dollar	1.354500	1.351370	1.350270	1.351710	1.351670	1.353950	1.356610	1.356910	1.360370	1.360890	1.366400
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.851670	1.858060	1.856810	1.848370	1.845030	1.853960	1.861940	1.867220	1.889400	1.885410	1.889900
Bahrain Dinar	0.509292	0.508115	0.507702	0.508243	0.508228	0.509085	0.510085	0.510198	0.511499	0.511695	0.513766
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.477490	1.473800	1.473680	1.475660	1.475620	1.478650	1.479790	1.479980	1.484160	1.485280	1.491700
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	NA	1.870570	1.867560	1.872520	1.868280	1.872380	1.877960	1.879180	1.893230	1.896130	1.901760
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	1,587.850000	1,586.520000	1,578.980000	1,585.310000	1,596.240000	1,607.110000	1,633.480000	1,680.140000	1,700.500000	1,676.780000	1,677.950000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.362980	9.381890	9.362100	9.345720	9.340720	9.287420	9.342290	9.367430	9.284530	9.244530	9.185620
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	97.998100	98.028400	97.921600	97.890800	97.671700	97.294800	97.621700	97.548300	97.388900	97.126700	96.180900
Indian Rupee	49.263200	49.284500	49.284900	NA	49.417100	49.649300	49.719800	49.459400	49.735100	49.726900	49.818900
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,389.670000	2,389.670000	2,368.280000	2,366.350000	2,366.350000	NA	NA	NA	NA	NA	2,384.960000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
