Currency units per SDR for August 2002
Currency	August 01, 2002	August 02, 2002	August 05, 2002	August 06, 2002	August 07, 2002	August 08, 2002	August 09, 2002	August 12, 2002	August 13, 2002	August 14, 2002	August 15, 2002
Chinese Yuan	10.915800	11.004900	10.984300	10.883000	10.880600	10.867400	10.889900	10.909100	10.935900	11.003900	10.948600
Euro	1.351310	1.346710	1.349260	1.357090	1.355510	1.355440	1.352400	1.347680	1.348380	1.348810	1.352980
Japanese Yen	157.935000	158.157000	157.663000	157.523000	158.866000	157.759000	159.271000	158.032000	157.101000	155.620000	155.496000
U.K. Pound Sterling	0.850065	0.846561	0.849149	0.852326	0.856458	0.860489	0.860696	0.864170	0.862850	0.860526	0.863901
U.S. Dollar	1.318870	1.329610	1.327130	1.314880	1.314570	1.313020	1.315750	1.318030	1.321280	1.329520	1.322810
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.439650	2.458600	NA	2.498830	2.479860	2.446000	2.464870	2.444420	2.447270	2.456610	2.453280
Bahrain Dinar	0.495896	0.499933	0.499002	0.494396	0.494279	0.493693	0.494721	0.495579	0.496803	0.499898	0.497374
Botswana Pula	8.176550	8.187260	8.304960	8.359040	8.262550	8.232080	8.238860	8.253140	8.346690	8.367010	8.366870
Brazilian Real	4.520710	NA	4.020410	4.039830	NA	4.016520	3.799220	3.948290	4.092140	4.265880	4.227290
Brunei Dollar	2.315810	2.333860	2.328980	2.321820	2.329030	2.319840	NA	2.325000	2.322690	2.327580	2.314250
Canadian Dollar	2.092920	2.111680	NA	2.095000	2.078070	2.076400	2.068750	2.074580	2.068860	2.080560	2.061200
Chilean Peso	927.919000	936.523000	925.952000	918.324000	921.617000	915.106000	910.772000	916.212000	926.166000	933.410000	NA
Colombian Peso	3,476.950000	3,510.630000	NA	3,502.590000	3,510.710000	3,506.560000	3,485.830000	3,385.760000	3,429.790000	3,533.830000	3,486.740000
Czech Koruna	40.982800	41.046400	41.160900	41.153100	41.639100	41.626600	41.878900	41.827700	42.211000	42.326400	42.329800
Danish Krone	10.039000	10.005400	10.024600	10.079800	10.068200	10.067700	10.045200	10.010300	10.015500	10.018700	10.049400
Hungarian Forint	331.789000	331.870000	329.566000	331.771000	NA	331.078000	330.726000	331.419000	330.863000	330.172000	332.659000
Icelandic Krona	112.289000	112.977000	NA	NA	111.988000	112.578000	112.681000	112.692000	114.040000	114.006000	113.642000
Indian Rupee	64.189800	64.685600	64.551500	64.008600	64.006600	63.891200	64.037300	64.082400	64.240900	64.614500	NA
Indonesian Rupiah	11,954.300000	12,153.900000	12,053.000000	11,945.700000	11,940.300000	11,821.100000	11,789.100000	11,756.800000	11,660.300000	11,730.300000	11,726.700000
Iranian Rial	10,483.300000	10,483.300000	10,541.200000	10,521.500000	10,424.400000	10,421.900000	10,421.900000	10,432.600000	10,450.700000	10,476.400000	10,543.100000
Israeli New Sheqel	6.196060	6.271760	6.266720	6.186510	6.191640	6.173790	6.155060	6.157830	6.194170	6.228780	6.182800
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,570.120000	1,571.600000	1,567.610000	1,562.470000	1,588.400000	1,585.070000	1,583.500000	1,590.990000	1,584.880000	1,590.900000	NA
Kuwaiti Dinar	0.397641	NA	0.399864	0.396832	0.397448	0.396570	NA	0.398216	0.398856	0.400583	0.399182
Libyan Dinar	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740
Malaysian Ringgit	5.011730	5.052520	5.043090	4.996550	4.995380	4.989470	4.999830	5.008510	5.020890	5.052160	5.026670
Mauritian Rupee	NA	NA	NA	NA	NA	39.073000	NA	NA	39.192000	39.272400	NA
Mexican Peso	13.026400	13.084900	12.996300	12.816500	12.797100	12.780300	12.846900	NA	13.148400	13.251000	13.134400
Nepalese Rupee	103.268000	104.108000	103.914000	NA	102.931000	102.809000	103.023000	103.202000	103.456000	104.101000	103.576000
New Zealand Dollar	2.843020	2.854460	2.863280	2.892390	2.923870	2.873750	2.898120	2.859070	2.840250	2.895290	2.860120
Norwegian Krone	10.065900	10.110500	10.157200	10.178100	10.177200	10.136000	10.093600	10.061700	10.044800	10.046000	10.051200
Rial Omani	0.507107	0.511234	0.510282	0.505571	0.505454	0.504854	0.505904	0.506783	0.508035	0.511200	0.508619
Pakistani Rupee	78.524400	79.178400	79.031400	78.301800	78.283400	78.190400	78.384000	78.520100	78.714100	79.204800	78.804700
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	5.510800	5.598730	5.534520	5.507910	5.527120	5.487630	5.517970	5.517270	5.522970	5.531860	NA
Qatar Riyal	4.800700	4.839780	4.830750	4.786180	4.785030	4.779380	4.789320	4.797640	4.809470	4.839450	4.815010
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.945770	4.986040	4.976730	4.930800	4.929650	4.923800	4.934060	4.942620	4.954810	4.985690	4.960510
Singapore Dollar	2.315810	2.333860	2.328980	2.321820	2.329030	2.319840	NA	2.325000	2.322690	2.327580	2.314250
South African Rand	13.593000	13.586600	13.863900	13.939700	13.782600	13.723000	NA	13.755600	13.990400	14.023100	14.064700
Sri Lanka Rupee	126.940000	128.025000	127.761000	126.576000	126.541000	126.309000	126.554000	126.795000	127.122000	127.926000	127.254000
Swedish Krona	12.585400	12.764200	12.767000	12.793800	12.619900	12.572100	12.595000	12.574000	12.489400	12.494100	12.507100
Swiss Franc	NA	1.948140	1.959380	1.975870	1.980140	1.983970	1.978620	1.974410	1.975710	1.963560	1.982090
Thai Baht	55.325300	55.973800	55.937200	NA	55.880000	55.706000	55.850900	NA	55.723700	55.788000	55.506200
Trinidad And Tobago Dollar	NA	8.130680	8.086100	8.026580	7.996930	8.026460	NA	NA	8.039230	8.097170	8.068620
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.843580	4.882980	4.873890	4.828910	4.827770	4.822040	4.832090	4.840460	4.852410	4.882650	4.858000
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for August 2002 Continued

Currency	August 16, 2002	August 19, 2002	August 20, 2002	August 21, 2002	August 22, 2002	August 23, 2002	August 26, 2002	August 27, 2002	August 28, 2002	August 29, 2002	August 30, 2002
Chinese Yuan	10.964500	10.950400	10.922900	10.934900	10.926300	10.877000	10.901400	10.929600	10.948000	10.978900	10.987600
Euro	1.348330	1.350170	1.347730	1.353400	1.351220	1.355240	1.357730	1.351060	1.346160	1.347650	1.350060
Japanese Yen	155.788000	155.986000	157.045000	156.033000	157.097000	157.767000	157.635000	156.945000	156.612000	157.653000	156.580000
U.K. Pound Sterling	0.863752	0.860230	0.866063	0.865561	0.863908	0.865269	0.864416	0.865351	0.863014	0.860407	0.854971
U.S. Dollar	1.324730	1.323040	1.319700	1.321190	1.320140	1.314170	1.317200	1.320530	1.322740	1.326490	1.327510
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.427580	2.430710	2.426810	2.416220	2.428960	NA	2.422990	2.394000	2.393230	2.405670	2.399700
Bahrain Dinar	0.498100	0.497463	0.496209	0.496766	0.496374	0.494130	0.495268	0.496519	0.497349	0.498761	0.499144
Botswana Pula	8.363230	8.347250	8.368410	8.480040	8.489690	8.434970	8.426940	8.368410	8.324320	8.384900	8.333400
Brazilian Real	4.226420	4.182390	4.108770	4.084450	4.064200	4.127680	4.099970	4.064590	4.092670	4.140100	4.145950
Brunei Dollar	2.316160	2.308430	2.313040	2.309960	2.308530	2.309530	2.314470	2.316610	2.312670	2.321750	2.321160
Canadian Dollar	2.066710	2.078490	2.073910	2.059340	2.054930	2.044590	2.051010	2.049470	2.063070	2.068660	2.069460
Chilean Peso	930.241000	926.612000	922.722000	924.120000	927.136000	926.612000	930.882000	932.192000	934.152000	946.128000	949.388000
Colombian Peso	3,508.910000	NA	3,515.170000	3,462.710000	3,466.910000	3,486.450000	3,481.850000	3,503.760000	3,534.680000	3,566.450000	3,600.830000
Czech Koruna	42.055000	41.807900	NA	41.691500	41.977800	41.751200	41.505700	41.439600	41.303700	41.182100	41.102500
Danish Krone	10.013200	10.027200	10.009400	10.051500	10.034700	10.063000	10.081500	10.032100	9.995600	10.005700	10.024400
Hungarian Forint	332.428000	NA	NA	330.284000	330.788000	332.131000	332.972000	332.933000	332.006000	330.946000	330.591000
Icelandic Krona	113.410000	113.014000	113.204000	NA	113.479000	NA	114.341000	114.860000	115.779000	NA	116.596000
Indian Rupee	64.355400	64.246700	64.098000	64.130500	64.079600	63.763700	63.907600	64.045900	64.126400	64.334700	64.397700
Indonesian Rupiah	11,714.600000	11,665.200000	11,699.100000	11,666.100000	11,678.000000	11,651.500000	11,772.600000	11,787.100000	11,763.100000	11,783.200000	11,771.100000
Iranian Rial	10,543.100000	10,505.100000	10,493.000000	10,466.500000	10,478.400000	NA	10,502.000000	10,446.200000	10,474.400000	10,493.300000	10,493.300000
Israeli New Sheqel	6.181200	6.137570	6.100980	6.128990	6.151880	6.129290	6.154980	6.165570	6.171890	6.189380	6.186200
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,576.300000	1,573.220000	1,573.080000	1,580.940000	1,573.870000	1,568.600000	1,583.860000	1,586.090000	1,589.000000	1,588.740000	1,599.520000
Kuwaiti Dinar	NA	0.398948	0.398629	0.398564	0.398630	NA	0.398130	0.398773	0.399122	0.400255	NA
Libyan Dinar	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740
Malaysian Ringgit	5.033980	5.027550	5.014870	5.020510	5.016530	4.993860	5.005110	5.018010	5.026390	5.040650	5.044540
Mauritian Rupee	39.311700	39.325600	39.308000	39.221200	39.221200	NA	NA	NA	NA	NA	NA
Mexican Peso	13.067500	12.932300	12.895200	12.928400	12.988600	12.943000	12.943700	13.012900	13.093800	13.157800	13.156900
Nepalese Rupee	103.726000	103.594000	NA	103.125000	103.044000	102.880000	103.112000	103.378000	103.577000	103.871000	NA
New Zealand Dollar	2.834860	2.822780	2.822290	2.800020	2.825650	2.815580	2.819820	2.791820	2.807760	2.832560	2.823300
Norwegian Krone	9.942530	9.967010	9.912570	9.957680	9.993600	10.037500	10.033000	9.971580	9.936010	9.965120	9.965520
Rial Omani	0.509359	0.508707	0.507426	0.507998	0.507594	0.505301	0.506439	0.507743	0.508593	0.510035	0.510428
Pakistani Rupee	78.883600	78.783000	78.584200	78.672600	78.610800	78.285200	78.462100	78.664000	78.795400	79.018900	78.804700
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	5.535780	5.515600	5.477020	5.465500	5.533120	5.514930	5.511160	5.499760	5.517270	5.501090	5.498550
Qatar Riyal	4.822020	4.815840	4.803720	4.809130	4.805310	4.783590	4.794370	4.806740	4.814750	4.828420	4.832160
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.967730	4.961380	4.948880	4.954470	4.950540	4.928150	4.939270	4.951990	4.960270	4.974330	4.978170
Singapore Dollar	2.316160	2.308430	2.313040	2.309960	2.308530	2.309530	2.314470	2.316610	2.312670	2.321750	2.321160
South African Rand	13.997800	13.986500	14.096400	14.338200	14.374400	14.251600	14.203300	14.028700	14.000500	14.109200	13.967400
Sri Lanka Rupee	127.505000	127.374000	127.048000	127.204000	NA	126.585000	126.898000	127.212000	127.393000	127.694000	127.787000
Swedish Krona	12.512100	12.383600	12.395300	12.349800	12.353200	12.484600	12.437100	12.370100	12.334500	12.323100	12.342600
Swiss Franc	1.976900	1.979920	1.983780	1.986270	1.985100	1.996230	1.995460	1.988850	1.983710	1.980180	1.978920
Thai Baht	55.410900	55.378300	55.539500	55.601000	55.661300	55.660400	55.733300	55.804200	55.822000	NA	NA
Trinidad And Tobago Dollar	8.102350	8.075650	8.060620	8.069720	8.080740	8.060100	8.080610	8.153610	8.159270	NA	8.200280
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.865070	4.858850	4.846600	4.852060	4.848230	4.826300	4.837180	4.849660	4.857740	4.871540	4.875290
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
