Currency units per SDR for November 2001
Currency	November 01, 2001	November 02, 2001	November 05, 2001	November 06, 2001	November 07, 2001	November 08, 2001	November 09, 2001	November 12, 2001	November 13, 2001	November 14, 2001	November 15, 2001
Chinese Yuan	10.602700	10.590800	10.537800	10.561400	10.589600	10.567100	10.537900	10.546000	10.508900	10.471700	10.478900
Euro	1.408150	1.412950	1.420790	1.423990	1.419420	1.423030	1.425780	1.428640	1.436020	1.437230	1.434590
Japanese Yen	156.704000	155.890000	154.983000	155.102000	154.598000	154.422000	153.232000	153.478000	153.447000	153.785000	154.708000
U.K. Pound Sterling	0.874523	0.873782	0.877147	0.875496	0.872996	0.872745	0.878627	0.876163	0.877070	0.879832	0.881632
U.S. Dollar	1.281000	1.279570	1.273170	1.276040	1.279460	1.276740	1.273220	1.274210	1.269730	1.265200	1.266030
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.533110	NA	2.503780	2.499090	2.490200	2.474300	NA	2.457960	2.440380	2.424680	2.445010
Bahrain Dinar	0.481654	0.481116	0.478714	0.479789	0.481079	0.480054	0.478730	0.479102	0.477418	0.475715	0.476025
Botswana Pula	7.917150	7.992260	7.957350	7.910950	7.961850	7.944890	7.967560	8.001280	7.995780	7.982310	7.962420
Brazilian Real	3.466760	NA	3.413630	3.343220	3.325970	3.325530	NA	3.228710	3.237050	3.196140	NA
Brunei Dollar	2.338200	2.345570	2.311700	2.326210	2.324790	2.316900	2.319550	2.327340	2.317640	NA	2.315820
Canadian Dollar	2.038070	2.037320	2.031480	2.033490	2.038960	2.040360	2.039830	NA	2.029160	2.013690	2.008930
Chilean Peso	NA	691.659000	689.413000	690.527000	691.884000	690.999000	689.436000	690.236000	688.753000	686.903000	687.337000
Colombian Peso	2,957.980000	2,955.660000	2,940.290000	2,946.910000	2,954.570000	2,944.890000	2,937.630000	NA	2,925.050000	2,910.830000	2,915.420000
Czech Koruna	47.452100	47.417000	47.527600	47.523300	47.355400	47.524200	47.716500	47.517700	47.686000	47.873700	47.731800
Danish Krone	10.511300	10.529900	10.568100	10.577700	10.549700	10.608100	10.647700	10.640300	10.671700	10.711900	10.680700
Hungarian Forint	NA	NA	360.168000	358.528000	355.883000	356.364000	358.055000	357.236000	357.696000	358.455000	358.286000
