Currency units per SDR for May 1997
Currency	May 01, 1997	May 02, 1997	May 05, 1997	May 06, 1997	May 07, 1997	May 08, 1997	May 09, 1997	May 12, 1997	May 13, 1997	May 14, 1997	May 15, 1997
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	173.497000	172.793000	NA	172.157000	171.721000	171.526000	169.889000	164.548000	165.546000	164.566000	162.201000
U.K. Pound Sterling	0.840630	0.846450	NA	0.835672	0.836934	0.846416	0.850534	0.857350	0.852767	0.847078	0.851307
U.S. Dollar	1.364510	1.363800	1.363540	1.367410	1.370480	1.373310	1.378970	1.386250	1.385320	1.385820	1.397080
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.736900	1.740650	1.741880	1.751290	1.764490	1.766090	1.772000	1.781350	1.772420	1.781720	1.798740
Bahrain Dinar	0.513056	0.512789	0.512691	0.514146	0.515300	0.516365	0.518493	0.521230	0.520880	0.521068	0.525302
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	NA	1.449720	1.450120	1.454790	1.458460	1.461890	1.467640	1.476630	1.477440	1.478950	1.491380
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	1.894490	1.886270	1.883190	1.884020	1.893460	1.899430	1.918970	1.926330	1.919910	1.919780	1.926570
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	1,451.850000	1,451.100000	1,456.980000	1,471.870000	1,480.780000	1,476.380000	1,480.700000	1,492.890000	1,491.890000	1,493.030000	1,501.060000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.976430	8.942440	8.968000	9.000980	8.982810	NA	8.935040	8.916360	8.958860	8.996740	8.980430
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	NA	97.470800	97.520400	97.701400	97.591900	NA	97.327700	97.508800	97.581900	97.658700	97.697800
Indian Rupee	48.822200	48.755900	48.787500	49.008000	49.172800	49.274400	49.463700	49.669300	49.677600	49.653900	50.043400
Indonesian Rupiah	3,299.390000	3,297.670000	3,297.040000	3,306.400000	3,313.820000	3,320.660000	3,334.350000	3,351.950000	3,349.700000	3,350.910000	3,378.140000
Iranian Rial	2,393.090000	2,393.090000	NA	2,389.600000	2,396.390000	NA	NA	2,416.640000	2,429.400000	NA	2,428.650000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
