Currency units per SDR for April 1997
Currency	April 01, 1997	April 02, 1997	April 03, 1997	April 04, 1997	April 07, 1997	April 08, 1997	April 09, 1997	April 10, 1997	April 11, 1997	April 14, 1997	April 15, 1997
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	171.284000	170.138000	170.466000	170.778000	171.718000	172.144000	172.982000	173.693000	172.313000	172.188000	172.711000
U.K. Pound Sterling	0.842938	0.844798	0.845905	0.845742	0.844262	0.843723	0.842950	0.843308	0.841938	0.841743	0.839126
U.S. Dollar	1.385790	1.387750	1.387030	1.383380	1.374290	1.368940	1.368530	1.369280	1.367560	1.366570	1.365090
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.759960	1.765360	1.774600	1.781100	1.770760	1.763870	1.752050	1.753690	1.741230	1.742850	1.757100
Bahrain Dinar	0.521057	0.521794	0.521523	0.520151	0.516733	0.514721	0.514567	0.514849	0.514203	0.513830	0.513274
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.466860	1.469070	1.468860	1.463060	1.453590	1.448610	1.447900	1.448970	1.447020	1.446790	1.445900
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	1.920980	1.925500	1.926030	1.925660	1.909300	1.899810	1.898970	1.905220	1.911300	1.911150	1.906480
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	1,470.230000	1,473.760000	1,472.960000	1,469.790000	1,460.290000	1,455.590000	1,454.300000	1,455.240000	1,450.580000	1,446.870000	1,445.260000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.806000	8.837890	8.845090	8.834960	8.882040	8.943970	8.948130	8.954410	8.965040	8.967430	8.999360
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	97.310200	97.489400	97.619200	97.528300	97.863200	97.810800	97.754100	97.780300	97.807900	97.668800	97.781400
Indian Rupee	49.763700	49.792500	49.752800	49.621800	49.295800	49.103900	49.075500	49.075000	49.013400	NA	48.911200
Indonesian Rupiah	3,350.840000	3,355.580000	3,353.840000	3,345.010000	3,323.030000	3,310.100000	3,309.110000	3,310.920000	3,306.760000	3,304.370000	3,300.790000
Iranian Rial	NA	2,422.850000	2,432.030000	2,432.030000	2,424.380000	2,408.440000	2,399.070000	2,398.350000	2,398.350000	2,396.650000	2,394.910000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
