Currency units per SDR for April 1996
Currency	April 01, 1996	April 02, 1996	April 03, 1996	April 04, 1996	April 05, 1996	April 08, 1996	April 09, 1996	April 10, 1996	April 11, 1996	April 12, 1996	April 15, 1996
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	156.924000	156.691000	156.354000	156.111000	156.432000	156.965000	156.982000	156.948000	157.052000	157.302000	157.069000
U.K. Pound Sterling	0.955701	0.955274	0.955786	0.956081	NA	NA	0.953082	0.953611	0.956638	0.956774	0.958655
U.S. Dollar	1.458400	1.458130	1.458530	1.458980	1.456540	1.459460	1.454880	1.449870	1.446150	1.447790	1.444980
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.860200	1.857730	1.868710	1.860470	NA	NA	1.847940	1.837140	1.828260	1.830100	1.824240
Bahrain Dinar	0.548358	0.548257	0.548407	0.548576	0.547659	0.548757	0.547035	0.545151	0.543752	0.544369	0.543312
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.439730	1.439610	1.439130	NA	NA	1.439900	1.435530	1.432180	1.429950	1.433310	1.430100
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	1.975690	1.976640	1.979080	1.981290	NA	1.982090	1.976750	1.967180	1.961560	1.963930	1.959390
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	1,525.490000	1,519.660000	1,524.500000	NA	NA	1,527.940000	1,527.800000	1,518.520000	1,513.470000	1,516.530000	1,515.630000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.339130	8.329570	8.337690	NA	NA	NA	8.336460	8.396920	8.385500	8.390670	8.427120
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	96.750300	96.688600	96.656800	NA	NA	NA	96.676800	96.749800	96.733000	96.755800	95.440900
Indian Rupee	NA	50.057600	49.896300	49.824200	49.740800	49.840600	49.858700	49.600100	49.472800	49.659200	49.432800
Indonesian Rupiah	3,408.280000	3,407.650000	3,405.670000	3,406.720000	3,401.020000	3,409.300000	3,398.600000	3,388.350000	3,379.650000	3,384.930000	3,378.360000
Iranian Rial	2,553.460000	2,548.550000	2,548.080000	2,548.780000	2,548.780000	2,545.300000	2,550.410000	2,542.400000	2,533.650000	2,533.650000	2,530.010000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
