Currency units per SDR for May 2003
Currency	May 01, 2003	May 02, 2003	May 05, 2003	May 06, 2003	May 07, 2003	May 08, 2003	May 09, 2003	May 12, 2003	May 13, 2003	May 14, 2003	May 15, 2003
Chinese Yuan	11.488200	11.520200	11.524000	11.553600	11.587000	11.577500	11.614800	11.664500	11.631300	11.628100	11.641800
Euro	NA	1.238380	1.241110	1.230490	1.225100	1.223250	1.223870	1.215200	1.220050	1.221750	1.227580
Japanese Yen	165.028000	165.070000	NA	165.480000	164.743000	163.169000	164.326000	164.743000	164.414000	163.810000	163.512000
U.K. Pound Sterling	0.865366	0.865988	0.866814	0.867536	0.870868	0.874462	0.875358	0.873362	0.874241	0.870602	0.868350
U.S. Dollar	1.387960	1.391820	1.392270	1.395860	1.399920	1.398790	1.403290	1.409260	1.405250	1.404890	1.406560
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.213290	2.201200	2.205060	2.195100	2.180220	2.199360	2.182080	2.172440	2.166260	2.177440	2.184780
Bahrain Dinar	0.521872	0.523325	0.523494	0.524846	0.526371	0.525945	0.527638	0.529883	0.528374	0.528237	0.528865
Botswana Pula	6.719710	6.847810	6.786610	6.814080	6.799020	6.773830	6.759590	6.861060	6.836530	6.912090	7.156250
Brazilian Real	NA	4.020960	4.058620	4.164840	4.237410	4.144750	4.093260	4.057830	4.039950	4.024310	4.064100
Brunei Dollar	NA	2.463650	2.458200	2.441510	2.438520	2.430960	2.438920	2.442110	2.438250	2.437200	NA
Canadian Dollar	1.969230	1.979580	1.967560	1.965660	1.961150	1.951590	1.954370	1.957040	1.953020	1.936920	1.935560
Chilean Peso	NA	980.421000	975.591000	976.839000	981.624000	973.966000	975.258000	979.489000	978.799000	975.305000	983.004000
Colombian Peso	NA	3,992.330000	3,990.170000	3,989.900000	3,999.550000	NA	3,997.150000	4,002.370000	3,982.290000	3,952.790000	3,968.000000
Czech Koruna	NA	38.741200	38.824800	38.513200	38.465700	NA	38.521800	38.257300	38.405600	38.526100	38.532700
Danish Krone	9.228410	9.194470	9.216170	9.137340	9.097110	9.083310	9.086450	9.022500	9.057970	9.070790	9.113940
Hungarian Forint	NA	NA	304.462000	301.772000	301.361000	301.509000	299.477000	298.031000	298.517000	299.031000	299.906000
Icelandic Krona	NA	103.273000	103.432000	103.099000	102.880000	103.622000	103.184000	102.383000	102.330000	102.501000	102.890000
Indian Rupee	NA	65.916500	65.923900	66.038400	66.174300	66.107000	66.221200	66.460600	66.285700	66.226500	NA
Indonesian Rupiah	12,040.500000	12,054.500000	12,040.400000	11,945.800000	11,997.300000	11,889.700000	11,977.100000	11,943.500000	11,873.000000	11,872.700000	NA
Iranian Rial	NA	NA	11,333.600000	11,340.000000	11,365.100000	11,391.200000	11,391.200000	11,432.600000	11,471.400000	11,442.900000	11,445.600000
Israeli New Sheqel	NA	6.243680	6.238770	6.225560	NA	6.272190	6.258680	6.292360	6.325030	6.306520	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	NA	1,689.530000	NA	1,690.530000	1,688.170000	NA	1,679.600000	1,690.970000	1,680.680000	1,685.580000	1,689.980000
Kuwaiti Dinar	0.414984	NA	0.415857	0.416931	0.417624	0.417917	NA	0.420537	0.419340	0.419233	NA
Libyan Dinar	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740
Malaysian Ringgit	5.274230	5.288910	5.290640	5.304280	5.319690	5.315420	5.332510	5.355210	5.339940	5.338570	5.344910
Mauritian Rupee	NA	37.379100	37.318000	37.487000	37.615500	37.733400	NA	37.849300	37.911800	38.047600	38.137700
Mexican Peso	NA	14.197000	14.175700	14.332500	NA	NA	NA	14.342500	14.278000	14.249500	14.477300
Nepalese Rupee	107.657000	107.956000	107.992000	108.256000	108.571000	108.483000	108.832000	108.999000	108.626000	108.598000	108.734000
New Zealand Dollar	2.470550	2.473460	2.473830	2.462710	2.444420	2.466130	2.435850	2.428920	2.440100	2.446260	2.453440
Norwegian Krone	NA	9.725640	9.762480	9.699890	9.638460	9.614740	9.626310	9.570290	9.606700	9.618810	9.635210
Rial Omani	0.533669	0.535154	0.535329	0.536711	0.538271	0.537834	0.539566	0.541862	0.540319	0.540178	0.540821
Pakistani Rupee	80.182800	NA	80.504300	80.711600	NA	NA	81.048400	81.392800	81.161600	81.140500	81.236700
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	5.291010	5.272680	5.249560	5.302620	5.294700	5.284660	5.275990	5.282480	5.278990	5.310450
Qatar Riyal	5.052160	5.066220	5.067880	5.080940	5.095720	5.091600	5.107980	5.129700	5.115120	5.113780	5.119860
Russian Ruble	NA	NA	43.314200	43.437100	43.538800	43.502500	43.642600	43.697900	43.534900	43.525000	43.575100
Saudi Arabian Riyal	5.204840	5.219320	5.221030	5.234480	5.249700	5.245460	5.262350	5.284740	5.269680	5.268320	5.274600
Singapore Dollar	NA	2.463650	2.458200	2.441510	2.438520	2.430960	2.438920	2.442110	2.438250	2.437200	NA
South African Rand	NA	NA	10.233200	NA	NA	NA	NA	NA	10.342600	NA	11.020400
Sri Lanka Rupee	NA	135.168000	135.276000	135.655000	136.050000	135.940000	136.416000	136.939000	136.625000	NA	NA
Swedish Krona	NA	11.294600	11.298300	11.208800	11.146900	11.253300	11.166700	11.171900	11.220900	11.246100	11.263000
Swiss Franc	NA	1.866150	1.876640	1.866270	1.859790	1.854240	NA	1.841340	1.849310	1.850520	1.852010
Thai Baht	NA	59.551800	NA	59.507200	59.517800	59.345100	59.712900	59.711800	59.586900	59.384500	NA
Trinidad And Tobago Dollar	8.685000	NA	8.734160	NA	NA	NA	NA	NA	NA	NA	8.810110
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.097260	5.111460	5.113130	5.126310	5.141200	5.137060	5.153600	5.175530	5.160780	5.159450	5.165580
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for May 2003 Continued

Currency	May 16, 2003	May 19, 2003	May 20, 2003	May 21, 2003	May 22, 2003	May 23, 2003	May 26, 2003	May 27, 2003	May 28, 2003	May 29, 2003	May 30, 2003
Chinese Yuan	11.623800	11.737400	11.700300	11.732400	11.713500	11.755900	NA	11.804400	11.711700	11.718000	11.752700
Euro	1.222020	1.217060	1.214040	1.212660	1.207530	1.204700	1.202510	1.198390	1.205460	1.204260	1.201110
Japanese Yen	163.326000	163.438000	165.508000	165.378000	166.501000	166.606000	166.031000	166.366000	165.905000	168.401000	168.051000
U.K. Pound Sterling	0.866078	0.867400	0.865823	0.862426	0.866423	0.866273	0.867024	0.867416	0.865951	0.862143	0.861831
U.S. Dollar	1.404350	1.418110	1.413630	1.417480	1.415220	1.420340	1.420530	1.426200	1.414970	1.415730	1.419950
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.186780	2.160440	2.152630	2.151610	2.161300	2.164160	2.156560	2.164520	2.154340	2.185440	2.177170
Bahrain Dinar	0.528036	0.533211	0.531525	0.532972	0.532124	0.534048	0.534120	0.536251	NA	0.532314	0.533903
Botswana Pula	7.076590	7.149550	7.109040	7.117640	7.171130	7.175250	NA	7.311970	7.386940	7.375500	7.321230
Brazilian Real	4.114460	4.215050	4.213610	4.271300	4.259960	4.237450	4.181600	4.215430	4.280140	4.265870	4.186030
Brunei Dollar	2.416750	2.442560	2.445300	2.442320	2.444090	2.445970	2.443020	2.453490	2.444350	2.456010	2.456370
Canadian Dollar	1.919330	NA	1.900760	1.912890	1.936310	1.956520	1.952370	1.960460	1.961990	1.949320	1.946470
Chilean Peso	992.901000	1,005.050000	1,003.510000	NA	1,010.090000	1,006.790000	NA	1,005.190000	1,003.060000	1,008.310000	1,008.340000
Colombian Peso	3,971.480000	3,994.060000	4,063.850000	4,124.630000	4,121.770000	4,127.370000	4,074.600000	4,090.880000	4,032.700000	4,070.090000	4,055.220000
Czech Koruna	38.255800	38.187000	38.197700	38.158600	37.887000	37.827900	NA	37.641800	37.781000	37.794300	37.621700
Danish Krone	NA	9.035790	9.013560	9.003170	8.964990	8.943900	8.928170	8.897190	8.949510	NA	8.917580
Hungarian Forint	301.359000	296.840000	298.417000	297.856000	298.017000	296.567000	NA	294.668000	295.346000	305.047000	299.312000
Icelandic Krona	102.686000	103.806000	104.156000	103.717000	102.490000	101.455000	101.639000	102.145000	102.613000	102.669000	101.541000
Indian Rupee	NA	66.736500	66.355700	66.281400	66.387800	66.670700	66.622700	66.803400	66.446900	66.581900	66.780200
Indonesian Rupiah	NA	12,004.300000	11,860.400000	11,854.400000	11,788.800000	11,824.300000	NA	11,652.100000	11,645.200000	11,720.800000	NA
Iranian Rial	11,445.600000	NA	11,551.900000	11,507.000000	11,536.900000	11,536.900000	NA	11,563.000000	11,602.100000	11,520.700000	11,520.700000
Israeli New Sheqel	NA	6.407050	6.420710	6.487820	6.440680	6.326190	NA	6.320910	6.286700	6.240520	6.209440
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,678.480000	1,698.620000	1,687.310000	1,699.700000	1,689.630000	1,700.710000	1,695.260000	1,702.880000	1,697.110000	1,699.440000	1,713.310000
Kuwaiti Dinar	NA	0.422711	0.421953	0.423105	0.422429	NA	0.424013	0.425208	0.421859	0.423501	NA
Libyan Dinar	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	NA	1.644740	1.644740	1.644740	1.644740
Malaysian Ringgit	5.336520	5.388830	5.371780	5.386420	5.377850	5.397290	NA	5.419550	5.376860	5.379760	5.395810
Mauritian Rupee	38.083900	38.390200	38.250000	38.353600	NA	38.462700	38.525100	38.629000	NA	NA	38.445900
Mexican Peso	14.571500	14.677200	14.512700	14.533400	14.489500	14.554600	14.563100	14.713600	14.724600	14.611000	14.679000
Nepalese Rupee	NA	109.613000	108.941000	108.856000	108.328000	108.720000	108.734000	109.169000	108.309000	NA	108.690000
New Zealand Dollar	2.454300	2.419990	2.419770	2.417260	2.438770	2.445910	2.432410	2.434210	2.429960	2.468580	2.451580
Norwegian Krone	9.597760	9.639020	9.627980	9.509050	9.476070	9.491810	9.461450	9.419390	9.493610	NA	9.462980
Rial Omani	0.539971	0.545265	0.543540	0.545022	0.544153	0.546120	0.546191	0.548375	0.544055	0.544348	0.545971
Pakistani Rupee	81.109600	81.904100	81.645300	NA	NA	81.889400	NA	82.227400	81.579400	81.623300	81.824400
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	5.303940	5.259370	5.257430	5.299980	5.244970	5.243760	5.226110	5.235440	5.232120	5.302480	5.269310
Qatar Riyal	5.111850	5.161930	5.145620	5.159640	5.151400	5.170040	5.170710	5.191380	5.150470	5.153260	5.168630
Russian Ruble	43.380700	43.805500	43.667000	43.786300	43.633600	43.791300	NA	43.813000	43.324400	43.419200	43.605300
Saudi Arabian Riyal	5.266320	5.317930	5.301100	5.315560	5.307100	5.326260	5.326970	5.348250	5.306140	5.308980	5.324810
Singapore Dollar	2.416750	2.442560	2.445300	2.442320	2.444090	2.445970	2.443020	2.453490	2.444350	2.456010	2.456370
South African Rand	10.757300	11.040000	NA	10.943000	NA	11.206500	11.222200	11.516600	NA	11.559400	11.515800
Sri Lanka Rupee	NA	137.897000	137.451000	137.826000	137.616000	138.106000	NA	138.667000	137.577000	137.671000	138.106000
Swedish Krona	11.269900	11.135700	11.146500	11.130800	11.144900	11.110600	11.065900	11.042400	10.990800	NA	10.947800
Swiss Franc	1.849110	1.835320	1.834890	1.824870	1.828750	1.831670	1.834610	NA	1.837340	NA	1.833160
Thai Baht	59.182100	59.523800	59.504000	59.405400	59.542600	59.570600	59.334200	59.459700	59.007100	59.224200	59.247700
Trinidad And Tobago Dollar	NA	8.893000	8.846500	NA	NA	NA	8.924190	NA	8.849320	8.875480	NA
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.157480	5.208030	5.191540	5.205700	5.197400	5.216180	5.216890	5.237710	5.196480	5.199260	5.214770
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
