Currency units per SDR for December 1996
Currency	December 02, 1996	December 03, 1996	December 04, 1996	December 05, 1996	December 06, 1996	December 09, 1996	December 10, 1996	December 11, 1996	December 12, 1996	December 13, 1996	December 16, 1996
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	164.309000	164.016000	162.820000	161.619000	162.065000	162.683000	163.267000	163.293000	162.161000	163.289000	163.612000
U.K. Pound Sterling	0.856606	0.859412	0.869410	0.882064	0.878500	0.875082	0.869456	0.871069	0.872059	0.870170	0.865972
U.S. Dollar	1.443210	1.434960	1.436440	1.434060	1.444430	1.437760	1.437210	1.441880	1.439770	1.442480	1.437080
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.759370	1.760900	1.800950	1.800900	1.816660	1.800800	1.790250	1.821020	1.816290	1.816730	1.813810
Bahrain Dinar	0.542647	0.539545	0.540101	0.539207	0.543106	0.540598	0.540391	0.542147	0.541354	0.542372	0.540342
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.489970	1.481310	1.482840	1.481380	1.493250	1.487080	1.486360	1.492490	1.491750	1.495560	1.490680
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	1.949780	1.935190	1.942070	1.947450	1.963120	1.948740	1.949860	1.963840	1.953620	1.964800	1.962910
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	1,446.500000	1,435.090000	1,430.310000	1,430.330000	1,440.790000	1,440.380000	1,434.320000	1,439.240000	1,437.340000	1,441.720000	1,441.320000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.514940	8.583210	8.579860	8.566360	8.521410	8.540290	8.556430	8.523670	8.514080	8.527220	8.551340
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	96.348700	96.673300	96.816100	96.698700	96.646800	96.617500	96.566100	96.447400	96.450200	96.545200	96.514300
Indian Rupee	51.537000	51.228100	51.367100	51.382400	51.696100	51.486200	51.603000	51.705800	51.702100	51.770600	51.490600
Indonesian Rupiah	3,388.660000	3,369.290000	3,372.760000	3,367.170000	3,391.520000	3,375.860000	3,374.570000	3,385.530000	3,380.580000	3,386.940000	3,374.260000
Iranian Rial	2,537.900000	2,529.230000	2,514.770000	2,517.360000	2,517.360000	2,531.360000	2,519.670000	2,518.710000	2,526.890000	2,526.890000	2,527.950000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
