Currency units per SDR for April 2002
Currency	April 01, 2002	April 02, 2002	April 03, 2002	April 04, 2002	April 05, 2002	April 08, 2002	April 09, 2002	April 10, 2002	April 11, 2002	April 12, 2002	April 15, 2002
Chinese Yuan	10.358900	10.344500	10.352700	10.368000	10.359100	10.362900	10.354100	10.385200	10.364900	10.365800	10.373300
Euro	NA	1.422450	1.420810	1.420520	1.424490	1.426310	1.427550	1.426110	1.423970	1.422620	1.423830
Japanese Yen	166.762000	166.718000	165.973000	165.909000	165.580000	164.577000	164.814000	163.486000	164.607000	165.433000	164.991000
U.K. Pound Sterling	NA	0.869520	0.871042	0.871627	0.872585	0.872547	0.873454	0.872890	0.873073	0.871612	0.871893
U.S. Dollar	1.251500	1.249760	1.250730	1.252610	1.251550	1.252020	1.250960	1.254690	1.252240	1.252330	1.253260
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	NA	2.346090	2.359430	2.359410	2.357860	2.369450	2.365670	2.363330	2.343270	2.337310	2.348240
Bahrain Dinar	0.470564	0.469912	0.470276	0.470983	NA	0.470759	0.470362	0.471765	0.470843	0.470876	0.471225
Botswana Pula	8.479030	8.396090	8.377310	8.401170	8.357640	8.330140	8.384480	8.381390	8.376190	8.371210	8.360640
Brazilian Real	2.906990	2.900950	2.878440	2.877130	2.892340	2.869120	2.864580	2.864970	2.845100	2.842920	2.879990
Brunei Dollar	2.309390	2.306190	NA	2.306440	2.297850	2.296580	2.300650	2.300350	2.297610	2.301790	2.300360
Canadian Dollar	2.001650	1.990620	1.987290	1.994910	1.990090	1.995840	1.997540	1.999100	1.987940	1.988460	1.991680
Chilean Peso	690.417000	689.831000	689.731000	690.117000	689.532000	690.422000	689.969000	692.214000	690.288000	690.360000	NA
Colombian Peso	2,829.930000	2,830.180000	2,823.110000	2,840.920000	2,840.220000	2,833.350000	2,820.950000	2,828.640000	2,827.290000	2,832.350000	2,838.600000
Czech Koruna	NA	43.555500	NA	43.755100	43.845600	43.844300	43.143200	43.310700	42.751700	42.764600	42.798700
Danish Krone	NA	10.572700	10.561600	10.560400	10.588900	10.604200	10.613300	10.602900	10.589300	10.579600	10.587700
Hungarian Forint	NA	346.622000	345.615000	344.244000	346.580000	347.610000	347.467000	345.329000	344.279000	343.790000	343.919000
Icelandic Krona	NA	124.376000	124.311000	NA	124.417000	NA	123.845000	124.051000	123.358000	123.179000	122.005000
Indian Rupee	NA	60.988300	61.135900	61.227600	61.138500	61.161000	61.222000	61.354600	61.247100	61.264000	61.309400
Indonesian Rupiah	12,145.800000	12,210.200000	12,225.900000	NA	12,021.200000	11,931.700000	11,996.700000	12,082.700000	11,994.000000	11,947.200000	11,822.000000
Iranian Rial	NA	NA	9,903.150000	9,910.800000	9,910.800000	9,917.290000	9,921.030000	9,912.570000	9,942.140000	9,942.140000	9,923.490000
Israeli New Sheqel	NA	5.975110	NA	5.982470	5.932360	5.959580	5.973360	5.981110	5.966940	6.009940	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,659.990000	1,656.310000	1,661.980000	1,663.970000	NA	1,665.060000	1,662.150000	1,667.610000	1,664.110000	NA	1,669.220000
Kuwaiti Dinar	0.384599	0.383839	0.384138	0.384715	NA	0.384531	0.384209	0.384965	0.384426	NA	0.384738
Libyan Dinar	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740
Malaysian Ringgit	4.755700	4.749100	4.752780	4.759930	4.755900	4.757670	4.753670	4.767830	4.758530	4.758870	4.762380
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	NA	97.044000	97.119400	97.265900	97.433600	97.469700	97.387100	97.678200	NA	97.494400	97.565700
New Zealand Dollar	2.839800	2.830720	2.839350	2.857890	2.850920	2.888820	2.878430	2.870170	2.840840	2.818350	2.848310
Norwegian Krone	NA	10.947900	10.894000	10.860500	10.891600	10.885600	10.897900	10.896900	10.854900	10.845300	10.841100
Rial Omani	0.481202	0.480534	0.480908	0.481631	0.481223	0.481401	0.480996	0.482430	0.481487	0.481522	0.481879
Pakistani Rupee	75.241700	75.137100	75.195300	75.308600	75.244500	75.272300	75.208900	75.433600	75.285900	75.291600	75.347200
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	5.138140	5.115140	5.117920	5.127500	5.115870	5.126810	5.127310	5.119170	5.085360	5.088230
Qatar Riyal	4.555460	4.549140	4.552680	4.559510	4.555660	4.557350	4.553510	4.567090	4.558160	4.558490	4.561860
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.693120	4.686610	4.690260	4.697310	4.693320	4.695060	4.691110	4.705110	4.695920	4.696250	4.699710
Singapore Dollar	2.309390	2.306190	NA	2.306440	2.297850	2.296580	2.300650	2.300350	2.297610	2.301790	2.300360
South African Rand	NA	14.089200	14.038900	14.075000	13.981700	13.961900	14.066500	14.050700	14.070800	14.031800	13.982000
Sri Lanka Rupee	119.852000	119.725000	NA	120.138000	120.059000	120.020000	119.851000	120.207000	119.956000	120.003000	NA
Swedish Krona	NA	12.844400	12.885700	12.898800	12.850300	12.895800	12.978700	12.976700	12.932500	12.946000	12.905400
Swiss Franc	NA	2.082350	2.080970	2.076580	2.086960	2.086860	2.093110	2.090190	2.090240	2.086140	2.089180
Thai Baht	54.495300	54.603300	54.674700	54.626600	54.535100	NA	54.469500	NA	54.461200	54.556600	NA
Trinidad And Tobago Dollar	NA	7.797270	7.817080	7.830240	7.816710	7.817450	7.820500	7.842830	7.804450	7.809140	7.833610
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.596140	4.589750	4.593330	4.600220	4.596330	4.598020	4.594150	4.607850	4.598860	4.599180	4.602590
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for April 2002 Continued

Currency	April 16, 2002	April 17, 2002	April 18, 2002	April 19, 2002	April 22, 2002	April 23, 2002	April 24, 2002	April 25, 2002	April 26, 2002	April 29, 2002	April 30, 2002
Chinese Yuan	10.370100	10.412700	10.416000	10.430400	10.420400	10.418000	10.430500	10.476800	10.474400	10.512400	10.493200
Euro	1.423210	1.416670	1.414720	1.418060	1.417400	1.418650	1.417140	1.411210	1.410580	1.405240	1.407310
Japanese Yen	164.687000	164.861000	164.371000	163.937000	163.812000	163.471000	164.105000	163.910000	162.950000	NA	162.267000
U.K. Pound Sterling	0.872212	0.870951	0.871285	0.870284	0.870390	0.868855	0.870549	0.871581	0.871574	0.869543	0.870201
U.S. Dollar	1.252850	1.258000	1.258390	1.260090	1.258930	1.258630	1.260120	1.265710	1.265430	1.270050	1.267710
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.358080	2.356250	2.340760	2.332200	2.327480	2.328640	2.339180	NA	2.323180	2.335520	2.348910
Bahrain Dinar	0.471071	0.473008	0.473156	0.473792	0.473357	0.473245	0.473803	0.475907	0.475803	0.477539	0.476658
Botswana Pula	8.352330	8.403500	8.336460	8.339380	8.285140	8.258730	8.268490	8.256410	8.195780	8.215100	8.157670
Brazilian Real	2.903100	2.914030	2.914060	2.938390	2.928390	2.937510	2.958630	2.982020	2.993760	2.990980	3.002060
Brunei Dollar	2.299980	2.304400	2.298450	2.295250	2.290250	2.284660	2.294420	2.296380	2.290560	2.294230	2.293660
Canadian Dollar	1.979250	1.980470	1.981470	1.980730	1.980050	1.982590	1.976120	1.978810	1.978130	1.989160	1.987510
