Currency units per SDR for June 1999
Currency	June 01, 1999	June 02, 1999	June 03, 1999	June 04, 1999	June 07, 1999	June 08, 1999	June 09, 1999	June 10, 1999	June 11, 1999	June 14, 1999	June 15, 1999
Chinese Yuan	11.107900	11.102700	11.093000	11.068700	11.076200	11.092100	11.149100	11.145200	11.175300	11.135700	11.105300
Euro	1.286030	1.291770	1.290690	1.296280	1.297020	1.290290	1.286900	1.285480	1.288950	1.288950	1.290930
Japanese Yen	163.409000	161.739000	163.144000	162.459000	163.505000	162.337000	160.816000	160.129000	160.278000	160.357000	161.601000
U.K. Pound Sterling	0.837342	0.832373	0.834105	0.831536	0.832665	0.836175	0.839590	0.840718	0.840001	0.834127	0.838404
U.S. Dollar	1.341840	1.341120	1.339990	1.337110	1.338010	1.339970	1.346870	1.346410	1.350050	1.345280	1.341530
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.077790	2.081840	2.087210	2.056140	2.036230	2.033340	2.049090	2.043110	2.034740	NA	2.034160
Bahrain Dinar	0.504532	0.504261	0.503836	0.502753	0.503092	0.503829	0.506423	0.506250	0.507619	0.505825	0.504415
Botswana Pula	6.296760	6.284540	6.288080	6.268680	6.229100	6.217960	6.249980	6.268200	6.264730	6.233920	6.225200
Brazilian Real	2.312260	2.323890	NA	2.344490	2.322380	2.332080	2.353120	2.353930	2.374600	2.384110	2.384570
Brunei Dollar	2.316690	2.310750	2.314160	2.306920	2.310740	2.306760	2.304900	2.306400	2.311690	2.302720	2.296700
Canadian Dollar	1.990620	1.984990	1.978090	1.965150	1.970890	1.969490	1.982860	1.966030	1.971610	1.963840	1.964670
Chilean Peso	654.724000	655.097000	NA	NA	NA	654.683000	657.232000	NA	658.338000	657.304000	655.968000
Colombian Peso	2,232.220000	2,223.170000	2,234.940000	2,212.580000	NA	2,216.260000	2,251.980000	2,260.780000	2,276.290000	2,262.880000	2,256.570000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.558870	9.611400	9.601560	9.632810	9.658290	9.584670	9.571260	9.556010	9.543910	9.561580	9.586310
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	100.168000	100.128000	100.017000	100.083000	100.163000	99.801000	99.749200	99.755500	99.647200	99.752500	99.957400
Indian Rupee	57.524700	57.587700	57.525800	57.415500	57.547800	57.591900	57.982800	57.922600	58.133200	58.021900	57.927300
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,356.830000	NA	NA	NA	2,348.330000	2,344.860000	2,348.300000	2,360.390000	NA	2,364.190000	2,359.360000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,591.960000	1,593.790000	1,589.630000	1,585.810000	1,582.730000	1,586.790000	1,590.380000	1,570.860000	1,568.620000	1,571.020000	1,570.260000
Kuwaiti Dinar	0.410912	0.410329	0.410573	NA	0.409966	0.410567	0.411900	0.411759	NA	0.411454	0.410602
Libyan Dinar	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115
Malaysian Ringgit	5.098990	5.096260	5.091960	5.081020	5.084440	5.091890	5.118110	5.116360	5.130190	5.112060	5.097810
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	91.547000	91.310200	91.233200	91.037100	89.747000	89.878500	90.341300	90.310500	90.554600	90.234700	91.660000
New Zealand Dollar	2.530100	2.547480	2.571220	2.536010	2.504000	2.517560	2.542460	2.536330	2.503110	2.495650	2.500290
Norwegian Krone	10.591000	10.646200	10.636600	10.665100	10.629200	10.570800	10.568100	10.540900	10.565000	10.544300	10.571400
Rial Omani	0.515937	0.515661	0.515226	0.514119	0.514465	0.515218	0.517872	0.517695	0.519094	0.517260	0.515818
Pakistani Rupee	61.879000	69.558400	69.499800	NA	69.397100	69.498800	69.856600	69.832800	70.021600	69.459400	69.265800
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.884300	4.881680	4.877560	4.867080	4.870360	4.877490	4.902610	4.900930	4.914180	4.896820	4.883170
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.025190	5.022490	5.018260	5.007480	5.010850	5.018190	5.044030	5.042310	5.055940	5.038070	5.024030
Singapore Dollar	2.316690	2.310750	2.314160	2.306920	2.310740	2.306760	2.304900	2.306400	2.311690	2.302720	2.296700
South African Rand	8.317400	NA	8.324690	8.243950	8.174570	NA	8.243520	8.274360	8.225180	8.171230	8.177300
Sri Lanka Rupee	94.465500	94.388000	94.415700	94.252900	94.356500	94.494700	94.934100	94.874800	95.117800	94.862400	94.705300
Swedish Krona	11.553200	11.550400	11.590900	11.576000	11.580500	11.530400	11.492200	11.437800	11.424800	11.367600	11.416400
Swiss Franc	2.048720	2.057680	2.058490	2.060490	2.061070	2.052700	2.049400	2.053680	2.054640	2.053030	2.056570
Thai Baht	49.767500	49.730100	49.701600	49.589400	49.624100	49.572200	49.731800	49.729700	49.850600	49.713500	49.607100
Trinidad And Tobago Dollar	8.423400	8.406010	NA	8.374190	8.395080	NA	8.443390	8.444010	8.464000	8.437190	8.412060
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.927910	4.925260	4.921110	4.910540	4.913840	4.921040	4.946380	4.944690	4.958060	4.940540	4.926770
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for June 1999 Continued

Currency	June 16, 1999	June 17, 1999	June 18, 1999	June 21, 1999	June 22, 1999	June 23, 1999	June 24, 1999	June 25, 1999	June 28, 1999	June 29, 1999	June 30, 1999
Chinese Yuan	11.081700	11.090100	11.092500	11.066100	11.061400	11.039500	11.050700	11.102200	11.077700	11.071500	11.059300
Euro	1.294110	1.295740	1.290050	1.293010	1.295680	1.297210	1.293450	1.284350	1.288230	1.290390	1.293450
Japanese Yen	161.388000	161.043000	160.343000	163.094000	162.993000	162.931000	162.853000	163.431000	162.151000	162.462000	161.774000
U.K. Pound Sterling	0.843048	0.842370	0.841613	0.839513	0.840396	0.843579	0.844757	0.843713	0.845684	0.845788	0.848225
U.S. Dollar	1.338760	1.339790	1.340100	1.336840	1.336230	1.333530	1.334970	1.341250	1.338210	1.337360	1.335870
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.034900	2.032140	2.051280	2.046290	2.053210	2.032820	2.027910	2.026670	2.026060	2.031840	2.025270
Bahrain Dinar	0.503374	0.503761	0.503878	0.502652	0.502422	0.501407	0.501949	0.504310	0.503167	0.502847	0.502287
Botswana Pula	6.215230	6.211360	6.158550	6.154880	6.137940	6.150970	6.186140	6.198010	6.201160	6.191480	6.178860
Brazilian Real	2.394240	2.367010	2.358170	2.336400	2.355510	2.357680	2.381590	2.413580	2.394860	2.392800	2.359680
Brunei Dollar	2.289950	2.284070	2.287550	2.286660	2.279340	2.270330	2.273190	2.285490	2.276960	2.280600	2.272720
Canadian Dollar	1.952850	1.957430	1.962170	1.968500	1.964260	1.964690	1.963340	1.962520	1.966370	1.973540	1.966400
Chilean Peso	655.283000	655.881000	655.483000	655.279000	654.860000	653.950000	654.643000	656.555000	655.696000	NA	655.044000
Colombian Peso	2,268.610000	2,275.700000	2,269.790000	2,262.410000	2,263.920000	2,280.380000	2,300.500000	2,326.840000	2,325.690000	2,341.720000	2,313.860000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.600920	9.622370	9.650730	9.572710	9.590920	9.608350	9.588820	9.532930	9.567670	9.606660	9.623740
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	99.202100	NA	99.515800	99.567800	99.562500	99.241300	99.068100	99.118400	99.188100	99.299000	99.549000
Indian Rupee	57.821000	57.838700	57.825300	57.711400	57.711800	57.661800	57.844300	58.196800	58.024800	57.987900	57.923300
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,350.370000	2,346.180000	2,346.180000	2,348.530000	2,342.810000	2,341.740000	2,337.010000	2,337.010000	2,350.540000	2,345.210000	2,343.720000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,562.470000	1,558.180000	1,562.150000	1,558.620000	1,558.310000	1,549.700000	1,552.300000	1,556.250000	1,545.230000	1,542.640000	1,544.130000
Kuwaiti Dinar	0.409928	0.410619	NA	0.409768	0.409581	0.408754	0.409529	NA	0.410041	0.410075	0.409618
Libyan Dinar	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115
Malaysian Ringgit	5.087290	5.091200	5.092380	5.079990	5.077670	5.067410	5.072890	5.096750	5.085200	5.081970	5.076310
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	91.470800	91.541200	91.562300	91.339600	91.297900	91.113400	91.211800	91.640900	91.633900	91.575700	91.473700
New Zealand Dollar	2.508220	2.494260	2.523490	2.518300	2.527150	2.503580	NA	2.497900	2.498290	2.510300	2.516000
Norwegian Krone	10.571000	10.561600	10.497100	10.478600	10.481400	10.515200	10.489900	10.471300	10.475200	10.479300	10.482700
Rial Omani	0.514753	0.515149	0.515268	0.514015	0.513780	0.512742	0.513296	0.515711	0.514542	0.514215	0.513642
Pakistani Rupee	69.122800	69.176000	69.192000	69.023700	69.160600	69.020800	69.095400	69.420400	69.007100	68.963200	68.934600
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.873090	4.876840	4.877960	4.866100	4.863880	4.854050	4.859290	4.882150	4.871080	4.867990	4.862570
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.013660	5.017510	5.018670	5.006470	5.004180	4.994070	4.999460	5.022980	5.011600	5.008410	5.002830
Singapore Dollar	2.289950	2.284070	2.287550	2.286660	2.279340	2.270330	2.273190	2.285490	2.276960	2.280600	2.272720
South African Rand	NA	8.123820	8.029210	8.011010	7.975290	8.027180	8.082580	8.105840	8.106210	8.089020	8.062640
Sri Lanka Rupee	94.590100	94.716500	94.698200	94.521300	94.578400	94.427300	94.622700	95.027600	NA	94.818800	94.773300
Swedish Krona	11.372800	11.394900	11.367400	11.246200	11.197600	11.245000	11.230400	NA	11.217500	11.297300	11.294800
Swiss Franc	2.065440	2.070240	2.074210	2.060070	2.063810	2.065640	2.062260	2.050500	2.059510	2.066890	2.073940
Thai Baht	49.476600	49.427500	49.409500	NA	49.079700	48.869900	48.966700	49.215800	49.228700	49.328500	49.289600
