Currency units per SDR for June 1999
Currency	June 01, 1999	June 02, 1999	June 03, 1999	June 04, 1999	June 07, 1999	June 08, 1999	June 09, 1999	June 10, 1999	June 11, 1999	June 14, 1999	June 15, 1999
Trinidad And Tobago Dollar	8.399780	8.402090	8.389290	8.383320	8.386580	8.364300	8.367730	8.400110	8.389770	8.385380	8.389660
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.916600	4.920380	4.921520	4.909540	4.907300	4.897390	4.902680	4.925740	4.914580	4.911450	4.905980
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
