Currency units per SDR for September 2009
Currency	September 01, 2009	September 02, 2009	September 03, 2009	September 04, 2009	September 07, 2009	September 08, 2009	September 09, 2009	September 10, 2009	September 11, 2009	September 14, 2009	September 15, 2009
Chinese Yuan	10.667100	10.658100	10.692500	10.675900	10.698900	10.754000	10.750000	10.769500	10.815900	10.791400	10.800500
Euro	1.090980	1.097130	1.091980	1.095820	1.093060	1.087900	1.083960	1.084270	1.085380	1.085410	1.082540
Japanese Yen	145.387000	144.888000	144.404000	144.767000	145.905000	146.273000	145.402000	145.406000	144.778000	142.874000	143.982000
U.K. Pound Sterling	0.963549	0.961437	0.955411	0.954882	0.952998	0.951140	0.953844	0.953607	0.948731	0.956060	0.959297
U.S. Dollar	1.561620	1.560120	1.565350	1.562850	1.566350	1.574520	1.574130	1.577070	1.584010	1.580470	1.581700
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.854660	1.874920	1.872210	1.860320	1.838870	1.838100	1.830170	1.832100	1.831430	1.844830	1.834700
Bahrain Dinar	0.587171	0.586607	0.588571	0.587634	0.588945	0.592021	0.591874	0.592979	0.595586	0.594255	0.594718
Botswana Pula	10.674100	10.729900	10.648700	10.574100	NA	10.496800	10.487200	10.534900	10.560000	10.487500	10.447100
Brazilian Real	NA	2.936310	2.978870	2.921600	NA	2.911760	2.872150	2.890930	2.891280	2.871870	2.876940
Brunei Dollar	2.248740	2.253910	2.255990	2.252860	2.244260	2.255810	2.243920	2.244960	2.253090	2.251690	2.250120
Canadian Dollar	1.722630	1.726270	1.727210	1.701790	NA	1.694810	1.698010	1.705130	1.702170	1.715910	1.702380
Chilean Peso	864.125000	866.318000	873.057000	868.742000	865.284000	867.498000	868.712000	869.974000	877.586000	870.155000	872.905000
Colombian Peso	3,213.520000	3,227.830000	3,233.600000	3,172.210000	3,162.020000	3,178.520000	3,139.510000	3,151.250000	NA	3,137.830000	3,161.800000
