Currency units per SDR for January 1995
Currency	January 02, 1995	January 03, 1995	January 04, 1995	January 05, 1995	January 06, 1995	January 09, 1995	January 10, 1995	January 11, 1995	January 12, 1995	January 13, 1995	January 16, 1995
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	NA	NA	146.616000	146.823000	146.930000	146.798000	146.360000	146.053000	146.274000	145.229000	NA
U.K. Pound Sterling	NA	0.932119	0.930426	0.931256	0.930310	0.935013	0.935140	0.935841	0.938556	0.935492	0.934663
U.S. Dollar	1.483800	1.455690	1.451930	1.453690	1.455470	1.452730	1.460970	1.462720	1.462740	1.469190	1.467140
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	NA	NA	1.884640	1.889630	1.890470	1.897010	1.911510	1.907070	1.898180	1.929840	1.932230
Bahrain Dinar	NA	0.547339	0.545926	0.546587	0.547257	0.546226	0.549325	0.549983	0.549990	0.552415	0.551645
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	NA	1.227150	1.225430	1.226910	1.225510	1.218840	1.233060	1.237460	1.241870	1.240000	1.239730
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	NA	2.043060	2.036480	2.035460	2.037950	2.042250	2.063620	2.068290	2.071240	2.072440	2.071900
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	NA	1,212.850000	1,212.910000	1,218.670000	1,220.950000	NA	1,222.930000	NA	1,234.100000	1,236.350000	1,237.830000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	NA	8.906640	8.891620	8.887130	8.873270	8.911770	8.857860	8.862620	8.871520	8.860680	8.879130
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	NA	99.802100	99.689500	99.665000	99.597800	99.860700	99.608900	99.611200	99.656500	99.640500	NA
Indian Rupee	NA	45.665000	45.547000	45.602300	45.658100	45.572100	45.830600	45.885500	45.886200	46.088500	46.024200
Indonesian Rupiah	NA	3,203.970000	3,197.150000	3,201.030000	3,204.940000	3,200.360000	3,218.520000	3,222.370000	3,222.420000	3,236.630000	3,232.110000
Iranian Rial	NA	2,553.280000	2,546.000000	2,539.430000	2,539.430000	2,545.620000	2,540.820000	2,555.240000	NA	NA	2,569.610000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
