Currency units per SDR for April 1998
Currency	April 01, 1998	April 02, 1998	April 03, 1998	April 06, 1998	April 07, 1998	April 08, 1998	April 09, 1998	April 10, 1998	April 13, 1998	April 14, 1998	April 15, 1998
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	178.149000	178.010000	178.573000	179.834000	178.914000	178.354000	176.548000	174.981000	172.090000	175.382000	174.275000
U.K. Pound Sterling	0.795404	0.796827	0.799225	0.803147	0.801791	0.802334	0.802121	NA	NA	0.804248	0.801878
U.S. Dollar	1.334450	1.333410	1.330150	1.332100	1.334180	1.337490	1.338500	1.346010	1.344450	1.345990	1.349400
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.016700	2.027380	2.031380	2.022010	2.030100	2.030190	2.031720	NA	NA	2.075220	2.081760
Bahrain Dinar	0.501753	0.501362	0.500136	0.500870	0.501652	0.502896	0.503276	0.506100	0.505513	0.506092	0.507374
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.516740	1.515690	1.511980	NA	1.518300	1.522060	NA	NA	1.530790	1.532950	1.537780
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	1.891320	1.892110	1.890010	1.889450	1.897470	1.905250	1.907360	NA	1.925390	1.931230	1.942190
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	1,815.200000	1,816.820000	1,806.010000	1,808.610000	1,808.480000	1,811.160000	1,816.530000	1,826.720000	1,824.610000	1,835.100000	1,842.210000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.406540	9.407210	9.400170	9.354670	9.348600	9.340360	NA	NA	NA	9.325020	9.289270
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	97.188000	97.178900	97.087600	96.803700	96.834800	96.727300	NA	NA	NA	96.776700	97.021900
Indian Rupee	NA	52.643000	52.554200	52.631300	52.900200	53.031500	53.071500	53.369300	53.159600	53.220400	53.557700
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,348.420000	2,348.420000	2,348.420000	2,331.090000	2,334.510000	2,334.510000	2,343.950000	2,343.950000	2,358.880000	2,356.150000	2,358.850000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
