Currency units per SDR for December 2003
Currency	December 01, 2003	December 02, 2003	December 03, 2003	December 04, 2003	December 05, 2003	December 08, 2003	December 09, 2003	December 10, 2003	December 11, 2003	December 12, 2003	December 15, 2003
Chinese Yuan	12.009000	11.977000	12.062700	12.040000	12.038800	12.107600	12.144000	12.115100	12.086600	12.129700	12.106400
Euro	1.207130	1.208340	1.204230	1.204760	1.203360	1.197240	1.196920	1.195930	1.198200	1.195900	1.195930
Japanese Yen	159.231000	158.098000	158.487000	157.537000	157.595000	157.469000	157.208000	159.032000	157.998000	158.269000	158.007000
U.K. Pound Sterling	0.841121	0.841857	0.842403	0.843654	0.844809	0.843298	0.841999	0.839278	0.837437	0.838553	0.839863
U.S. Dollar	1.450850	1.446990	1.457360	1.454630	1.454500	1.462790	1.467180	1.463700	1.460240	1.465450	1.462620
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.002010	1.984350	1.989840	1.981520	1.980260	1.980750	1.984020	1.977450	1.982410	1.977400	1.978120
Bahrain Dinar	0.545521	0.544067	0.547966	0.546941	0.546893	0.550007	0.551660	0.550352	0.549052	0.551010	0.549946
Botswana Pula	6.355020	6.349210	6.209440	6.231030	6.362660	6.365490	6.416710	6.408530	6.410170	6.402130	6.387000
Brazilian Real	4.277980	4.244450	4.264960	NA	4.275510	4.299130	4.315570	4.294790	4.296180	4.312240	4.301870
Brunei Dollar	2.500260	2.491710	2.505340	2.496590	2.497380	2.504730	2.509470	2.507330	2.503290	2.507380	2.499330
Canadian Dollar	1.889440	1.878480	1.893980	1.908770	1.897400	1.896210	1.920830	1.914380	1.936720	1.927070	1.921010
Chilean Peso	901.372000	894.023000	894.278000	881.655000	882.737000	NA	892.530000	884.870000	887.020000	887.406000	878.920000
Colombian Peso	4,114.680000	4,093.630000	4,105.580000	4,095.070000	4,094.900000	4,108.110000	4,120.470000	4,131.720000	4,111.230000	4,115.450000	4,114.090000
Czech Koruna	38.717500	39.237800	39.063000	38.904100	38.924000	38.575200	38.481200	38.406100	38.413100	38.374300	38.423100
Danish Krone	8.981340	8.991840	8.961460	8.965150	8.954800	8.909400	8.909000	8.900200	8.912580	8.896720	8.897430
Hungarian Forint	316.562000	328.972000	325.792000	325.314000	323.467000	322.003000	320.491000	317.258000	315.777000	314.706000	314.873000
Icelandic Krona	108.248000	108.017000	107.436000	107.657000	107.444000	107.632000	107.603000	107.392000	107.561000	107.623000	107.357000
