Currency units per SDR for November 1999
Currency	November 01, 1999	November 02, 1999	November 03, 1999	November 04, 1999	November 05, 1999	November 08, 1999	November 09, 1999	November 10, 1999	November 11, 1999	November 12, 1999	November 15, 1999
Chinese Yuan	11.489500	11.460000	11.475700	11.451200	11.398300	11.383500	11.403100	11.401400	11.404400	11.392200	11.377300
Euro	1.312870	1.317570	1.321390	1.316960	1.322970	1.321640	1.321490	1.324070	1.323890	1.335080	1.334230
Japanese Yen	144.488000	145.151000	NA	145.734000	144.511000	146.181000	144.984000	144.272000	144.859000	144.363000	144.036000
U.K. Pound Sterling	0.842317	0.841102	0.840520	0.841595	0.845948	0.847406	0.849011	0.849503	0.849137	0.849978	0.849123
U.S. Dollar	1.387970	1.384370	1.386270	1.383330	1.376950	1.375170	1.377520	1.377300	1.377640	1.376200	1.374390
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.179940	2.165790	2.150920	2.152370	2.161280	2.149040	2.162510	2.156410	2.144850	2.141610	2.125560
Bahrain Dinar	0.521877	0.520523	0.521238	0.520132	0.517733	0.517064	0.517948	0.517865	0.517993	0.517451	0.516771
Botswana Pula	6.381470	6.373710	6.382460	6.363060	6.336630	6.337190	6.333430	6.341160	6.345650	6.341940	6.339440
Brazilian Real	2.709600	NA	2.692550	2.684490	2.655720	2.633040	2.652830	2.648960	2.664360	2.653310	NA
Brunei Dollar	2.301950	2.304980	2.317840	2.310850	2.297170	NA	2.301150	2.304220	2.308920	2.298670	2.289460
Canadian Dollar	2.037960	2.033220	2.036010	2.026440	2.014340	2.019440	2.030190	2.026560	2.027060	2.011590	2.013480
Chilean Peso	NA	681.719000	682.710000	681.760000	679.635000	679.210000	NA	680.056000	680.168000	680.104000	679.718000
Colombian Peso	2,736.510000	2,729.410000	2,726.100000	2,712.300000	2,701.800000	2,694.590000	2,692.450000	2,683.050000	2,687.930000	2,695.160000	2,696.280000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.759790	9.788460	9.811740	9.814730	9.849320	9.820090	9.849270	9.852790	9.844890	9.877400	9.913610
Hungarian Forint	336.263000	336.679000	337.404000	337.463000	338.014000	337.054000	338.016000	337.783000	337.935000	NA	339.639000
Icelandic Krona	98.240500	98.470200	99.021300	98.396300	98.796200	98.696000	98.685500	98.201500	98.280800	98.783600	99.011100
Indian Rupee	60.210100	60.095500	60.164100	60.064200	59.800900	59.696100	NA	NA	59.789600	59.727100	59.634800
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
