Currency units per SDR for July 1999
Currency	July 01, 1999	July 02, 1999	July 05, 1999	July 06, 1999	July 07, 1999	July 08, 1999	July 09, 1999	July 12, 1999	July 13, 1999	July 14, 1999	July 15, 1999
Currency	July 16, 1999	July 19, 1999	July 20, 1999	July 21, 1999	July 22, 1999	July 23, 1999	July 26, 1999	July 27, 1999	July 28, 1999	July 29, 1999	July 30, 1999
Chinese Yuan	11.012800	11.006200	11.114200	11.123200	11.165700	11.189500	11.256000	11.224400	11.223500	11.274200	11.292100
Euro	1.304140	1.310560	1.289790	1.284480	1.284850	1.287960	1.271180	1.276080	1.278870	1.275340	1.275680
Japanese Yen	160.868000	160.427000	NA	160.116000	159.676000	158.503000	158.769000	158.188000	157.837000	157.590000	157.157000
U.K. Pound Sterling	0.849604	0.853241	0.853302	0.854358	0.854096	0.854135	0.855451	0.852672	0.855029	0.850331	0.842625
U.S. Dollar	1.330480	1.329690	1.342670	1.343820	1.348960	1.351840	1.359910	1.356090	1.355990	1.362060	1.364210
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.014960	2.016820	2.059630	2.073480	2.079160	2.083920	2.087350	2.098560	2.102640	2.114020	2.092350
Bahrain Dinar	0.500260	0.499963	0.504844	0.505276	0.507209	0.508292	0.511326	0.509890	0.509852	0.512135	0.512943
Botswana Pula	6.220100	NA	NA	6.244520	6.256770	6.267220	6.301710	6.289840	6.295220	6.326340	6.324570
Brazilian Real	2.431190	2.406610	2.406200	2.415380	2.450120	2.455350	2.466740	2.467410	2.463160	2.439040	2.446160
Brunei Dollar	2.260490	2.267120	2.279850	2.285170	2.289860	2.296780	2.311170	2.284330	2.284170	2.299570	2.302100
Canadian Dollar	1.972300	1.983370	2.002460	2.017070	2.026810	2.037900	2.053190	2.052040	2.048900	2.053990	2.054910
Chilean Peso	654.503000	654.593000	659.117000	657.034000	660.936000	NA	664.262000	662.979000	663.432000	665.584000	666.567000
Colombian Peso	2,425.850000	2,422.630000	NA	2,444.460000	2,441.020000	2,443.990000	2,490.250000	2,481.140000	2,480.190000	2,474.990000	2,464.470000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.703720	9.748360	9.625470	9.560740	9.560080	9.565080	9.519100	9.500770	9.506030	9.493150	9.479490
Hungarian Forint	325.249000	326.266000	324.496000	322.812000	323.642000	324.090000	324.747000	322.058000	322.427000	323.013000	323.181000
Icelandic Krona	99.772700	100.205000	99.840900	99.738300	99.904000	99.792800	99.436600	99.428500	99.448300	99.416800	NA
Indian Rupee	57.543300	57.469200	58.003300	58.133700	58.356000	58.480600	58.856900	58.705100	58.755000	59.004400	59.056700
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,328.650000	2,331.670000	2,330.280000	2,353.030000	NA	NA	2,369.100000	2,383.240000	2,376.550000	NA	2,376.370000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,575.550000	1,571.290000	1,592.540000	1,602.100000	1,615.240000	1,631.130000	1,643.320000	1,639.780000	1,633.560000	1,633.380000	1,638.550000
Kuwaiti Dinar	NA	0.408640	0.411502	0.411854	0.412687	NA	NA	0.413716	0.413902	0.415347	NA
Libyan Dinar	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115	0.634115
Malaysian Ringgit	5.055820	5.052820	5.102150	5.106520	5.126050	5.136990	5.167660	5.153140	5.152760	5.175830	5.184000
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	91.104600	91.050500	91.939300	92.018100	92.370000	92.567200	93.119800	92.858300	92.851400	93.267100	93.414300
New Zealand Dollar	2.540780	2.535400	2.564060	2.568710	2.557510	2.547520	2.569990	2.578850	2.592720	2.605070	2.580070
Norwegian Krone	10.598700	NA	10.511800	10.613600	10.627000	10.611500	10.602900	10.626600	10.675400	10.653800	10.632100
Rial Omani	0.511570	0.511266	0.516257	0.516699	0.518675	0.519782	0.522885	0.521417	0.521378	0.523712	0.524539
Pakistani Rupee	68.828200	68.853900	69.526000	69.585600	69.851700	70.000800	70.418700	69.869600	69.864400	70.177100	70.287900
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.842950	4.840070	4.887320	4.891500	4.910210	4.920700	4.950070	4.936170	4.935800	4.957900	4.965720
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.982650	4.979690	5.028300	5.032610	5.051860	5.062640	5.092860	5.078560	5.078180	5.100910	5.108970
