Currency units per SDR for December 1998
Currency	December 01, 1998	December 02, 1998	December 03, 1998	December 04, 1998	December 07, 1998	December 08, 1998	December 09, 1998	December 10, 1998	December 11, 1998	December 14, 1998	December 15, 1998
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	1.191210	1.193500	1.198270	1.196630	1.193870	1.193130	1.196490	1.195800	1.189410	NA	1.191380
Japanese Yen	170.041000	169.422000	167.880000	165.226000	165.602000	167.886000	166.498000	165.016000	164.574000	164.268000	162.876000
U.K. Pound Sterling	0.839999	0.840060	0.838130	0.838693	0.840839	0.844098	0.843770	0.843816	0.841311	0.837750	0.834958
U.S. Dollar	1.385830	1.391560	1.398420	1.397850	1.392430	1.395210	1.399140	1.401410	1.405410	1.409180	1.407740
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.197290	2.192470	2.235680	2.237990	2.255310	2.255800	2.278730	2.268760	2.252980	2.278380	2.267990
Bahrain Dinar	0.521072	0.523227	0.525806	0.525592	0.523554	0.524599	0.526077	0.526930	0.528434	0.529852	0.529310
Botswana Pula	0.316246	NA	0.317721	0.314516	0.309676	0.307783	0.308930	0.311533	0.312844	0.311711	0.311392
Brazilian Real	1.663550	1.670990	1.678800	1.679520	1.673420	1.677180	1.682750	1.685760	1.690150	1.695530	1.694920
Brunei Dollar	2.266800	2.277290	2.288510	2.282970	2.289850	2.301120	2.300470	2.293130	2.297850	2.306260	2.301650
Canadian Dollar	2.124480	2.138410	2.144480	2.144300	2.140580	2.155040	2.158870	2.159430	2.166300	2.170140	2.170450
Chilean Peso	652.809000	654.005000	657.229000	656.976000	655.278000	NA	NA	658.116000	659.671000	NA	NA
Colombian Peso	2,142.330000	2,151.100000	2,152.620000	2,160.920000	2,161.720000	2,160.660000	2,166.750000	2,159.770000	2,151.160000	2,157.640000	2,157.730000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.883450	8.880100	8.866400	8.882780	8.894840	8.884280	8.878100	8.854810	8.847200	8.864020	8.869330
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	97.410000	97.687500	97.581700	97.192500	97.233400	97.804200	97.939800	97.678300	97.802500	NA	NA
Indian Rupee	59.008600	59.238700	59.502800	59.464500	59.275700	59.422000	59.575400	59.672000	59.856400	60.017000	59.927500
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,417.750000	2,428.670000	2,438.710000	2,438.710000	2,449.730000	2,440.240000	2,445.110000	2,451.990000	2,451.990000	2,462.980000	2,469.590000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,729.520000	1,727.900000	1,730.130000	1,718.240000	1,691.520000	1,685.690000	1,702.750000	1,698.790000	1,697.590000	1,702.430000	1,701.110000
