Currency units per SDR for October 1998
Currency	October 01, 1998	October 02, 1998	October 05, 1998	October 06, 1998	October 07, 1998	October 08, 1998	October 09, 1998	October 12, 1998	October 13, 1998	October 14, 1998	October 15, 1998
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.189500
Japanese Yen	165.719000	162.502000	162.708000	164.706000	165.953000	165.726000	166.500000	166.788000	166.387000	165.986000	163.932000
U.K. Pound Sterling	0.836830	0.835099	0.829483	0.831196	0.831598	0.831645	0.835202	0.839714	0.840149	0.839663	0.839653
U.S. Dollar	1.425540	1.422340	1.414850	1.415610	1.406980	1.408640	1.405060	1.398880	1.407670	1.409290	1.408350
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.234740	2.239550	2.235860	2.241660	2.255140	2.253100	2.272090	2.271280	2.286660	2.278930	2.248680
Bahrain Dinar	0.536003	0.534800	0.531984	0.532269	0.529024	0.529649	0.528303	0.525979	0.529284	0.529893	0.529540
Botswana Pula	0.326449	0.327707	0.324425	0.321697	0.320299	0.320536	0.318808	0.317406	0.319470	0.322023	0.322652
Brazilian Real	1.693260	1.689460	1.682400	1.682880	1.673040	1.675860	1.672440	1.665370	1.677100	1.679310	1.677910
Brunei Dollar	2.279440	2.287120	2.279320	2.277010	2.263830	2.269320	2.262150	2.264370	2.271980	2.273180	NA
Canadian Dollar	2.199610	2.203200	2.176750	2.199860	2.171390	2.175790	2.170820	2.154970	2.170770	2.183690	2.172380
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	653.962000	656.946000	657.547000	657.207000
Colombian Peso	2,272.580000	2,270.350000	2,261.180000	2,263.010000	2,248.060000	2,252.630000	2,245.240000	2,225.110000	2,219.020000	2,223.720000	2,221.240000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.746830	8.747820	8.792160	8.830580	8.839910	8.779070	8.838110	8.827630	8.825250	8.829480	8.853450
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	96.494800	96.249700	96.209800	96.473800	96.378100	96.351000	96.907000	97.110200	97.241800	97.311500	97.345200
Indian Rupee	60.300300	60.165000	59.848200	59.880300	59.515300	59.571400	59.391900	59.116700	59.502200	59.598900	59.671800
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,469.520000	2,498.260000	2,492.650000	2,479.520000	2,480.860000	NA	NA	2,467.510000	2,451.540000	2,466.940000	2,466.940000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,905.380000	1,881.610000	1,863.360000	1,879.360000	1,869.170000	1,864.760000	1,852.150000	1,837.150000	1,853.760000	1,861.670000	1,852.120000
Kuwaiti Dinar	NA	0.426915	0.425318	0.425787	0.424022	NA	0.423541	0.422322	0.424483	0.424816	NA
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	5.417050	5.404890	5.376430	5.379320	5.346520	5.352830	5.339230	5.315740	5.349150	5.355300	5.351730
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	96.829800	96.612400	96.103700	96.155300	95.569100	95.681900	95.438700	95.018900	95.616000	95.726000	95.662200
New Zealand Dollar	2.644790	2.650650	2.661490	2.676010	2.687640	2.708920	NA	2.690150	2.686390	2.689480	2.664810
Norwegian Krone	10.774900	10.511800	10.571100	10.479100	10.430600	10.380300	10.336300	10.283900	10.403400	10.370300	10.364000
Rial Omani	0.548120	0.546890	0.544010	0.544302	0.540984	0.541622	0.540246	0.537869	0.541249	0.541872	0.541511
Pakistani Rupee	65.738800	65.591200	65.245800	65.280900	64.882900	64.959400	64.794300	64.509400	64.914700	64.989400	64.946100
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	5.188970	5.177320	5.150050	5.152820	5.121410	5.127450	5.114420	5.091920	5.123920	5.129820	5.126390
Russian Ruble	22.116500	24.304500	23.955100	23.819500	23.582500	23.505300	23.450200	23.306600	22.993700	22.631600	NA
Saudi Arabian Riyal	5.338650	5.326660	5.298610	5.301460	5.269140	5.275360	5.261950	5.238810	5.271720	5.277790	5.274270
Singapore Dollar	2.301530	NA	2.297010	2.295840	2.279730	2.289040	2.286030	2.284370	2.287890	2.287280	2.284340
South African Rand	8.141970	8.059690	8.052620	8.125600	8.028930	8.077850	8.067150	8.010690	8.089180	8.013930	NA
Sri Lanka Rupee	94.334400	NA	93.701300	93.847200	93.408700	93.533000	93.372600	93.126200	93.679700	93.787500	93.700300
