Currency units per SDR for June 2017
Currency	June 01, 2017	June 02, 2017	June 05, 2017	June 06, 2017	June 07, 2017	June 08, 2017	June 09, 2017	June 12, 2017	June 13, 2017	June 14, 2017	June 15, 2017
Chinese Yuan	9.416820	9.429430	9.426760	9.430230	9.413360	9.418770	9.395580	9.402470	9.401940	9.400440	9.392850
Euro	1.234310	1.233220	1.231860	1.232520	1.235290	1.234600	1.236700	1.232770	1.233140	1.234430	1.237860
Japanese Yen	153.710000	154.418000	153.205000	152.453000	151.726000	152.289000	152.449000	152.438000	152.140000	152.191000	151.627000
U.K. Pound Sterling	1.077360	1.076210	1.073660	1.075100	1.074130	1.071150	1.083730	1.090020	1.086450	1.086570	1.081790
U.S. Dollar	1.384780	1.383310	1.385720	1.387570	1.385620	1.386340	1.382130	1.383290	1.383210	1.382930	1.382200
Algerian Dinar	150.162000	149.989000	150.064000	150.292000	150.087000	150.291000	150.134000	149.954000	150.019000	149.516000	150.201000
Australian Dollar	1.870560	1.871860	1.856540	1.851830	1.837690	1.836210	1.834280	NA	1.830620	1.831450	1.814860
Bahrain Dinar	0.520676	0.520124	0.521031	0.521727	0.520993	0.521262	0.519683	0.520115	0.520088	0.519980	0.519707
Botswana Pula	14.202900	14.086600	14.082500	14.101400	14.110200	14.131900	14.117800	14.100800	14.071300	13.969000	14.118500
Brazilian Real	4.490970	4.468220	4.489040	4.553190	4.546360	4.539020	4.537820	4.528040	4.561840	4.591600	4.537760
Brunei Dollar	1.916810	1.917680	1.915620	1.915270	1.913960	1.916890	1.910800	1.913780	1.912850	1.910930	1.903560
Canadian Dollar	1.869450	1.868020	1.868370	1.867810	1.869480	1.871970	1.859390	1.855680	1.831100	1.826710	1.835970
Chilean Peso	931.055000	930.094000	928.997000	928.135000	926.569000	926.569000	920.887000	919.151000	915.173000	915.759000	911.502000
Colombian Peso	4,044.930000	4,005.670000	4,011.260000	4,018.210000	4,009.660000	4,030.230000	4,035.580000	4,038.610000	4,051.720000	4,056.300000	4,042.580000
Czech Koruna	32.617100	32.509100	32.427200	32.459500	32.505300	32.429200	32.429000	32.296900	32.240000	32.296900	32.437400
