Currency units per SDR for June 1995
Currency	June 01, 1995	June 02, 1995	June 05, 1995	June 06, 1995	June 07, 1995	June 08, 1995	June 09, 1995	June 12, 1995	June 13, 1995	June 14, 1995	June 15, 1995
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	131.167000	132.492000	131.291000	132.359000	132.090000	132.600000	132.512000	131.795000	131.351000	132.167000	131.737000
U.K. Pound Sterling	0.977077	0.978248	0.980796	0.979100	0.980577	0.979181	0.978081	0.979451	0.981054	0.977023	0.975842
U.S. Dollar	1.547690	1.561480	1.559270	1.557160	1.559510	1.558170	1.563560	1.563400	1.567430	1.562260	1.560860
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.172200	2.180840	2.182930	2.164830	2.165990	2.162920	2.169800	NA	2.184880	2.165590	2.163950
Bahrain Dinar	0.581931	0.587116	0.586286	0.585492	0.586376	0.585872	0.587899	0.587838	0.589354	0.587410	0.586883
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.399110	1.414700	1.408020	1.406120	1.409800	1.416380	1.422840	1.424260	1.435770	1.426340	NA
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	2.124360	2.148280	2.146960	2.149970	2.152440	2.140300	2.152400	2.156400	2.169170	2.157950	2.148990
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	1,356.740000	1,369.760000	1,365.900000	1,362.220000	1,361.550000	1,357.200000	1,363.310000	1,363.190000	1,369.530000	1,367.410000	1,363.850000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.639980	8.579550	NA	8.594740	8.585100	8.618240	8.572220	8.576030	8.562870	8.587740	8.558980
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	99.423600	99.450700	NA	99.346800	99.356400	99.535900	99.239200	99.275900	99.202600	99.156600	99.036600
Indian Rupee	48.628400	49.046100	48.945500	48.910400	48.968600	48.957700	49.127100	49.106400	49.233000	49.070600	49.011000
Indonesian Rupiah	3,459.090000	3,489.910000	3,488.090000	3,483.370000	3,488.620000	3,485.630000	3,497.680000	3,497.330000	3,511.040000	3,499.460000	3,497.890000
Iranian Rial	2,753.900000	2,753.900000	2,728.690000	2,724.820000	2,721.140000	2,721.140000	2,721.140000	2,732.320000	2,732.040000	2,739.080000	2,730.050000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
