Currency units per SDR for September 2008
Currency	September 01, 2008	September 02, 2008	September 03, 2008	September 04, 2008	September 05, 2008	September 08, 2008	September 09, 2008	September 10, 2008	September 11, 2008	September 12, 2008	September 15, 2008
Chinese Yuan	NA	10.639100	10.617600	10.641900	10.583700	10.565300	10.553400	10.534100	10.501300	10.550200	NA
Euro	1.070190	1.072170	1.074940	1.073720	1.085500	1.085830	1.090870	1.092620	1.100900	1.095630	1.095200
Japanese Yen	169.773000	168.476000	169.048000	168.162000	165.091000	167.459000	165.864000	165.004000	164.752000	165.146000	NA
U.K. Pound Sterling	0.867890	0.873423	0.875979	0.874975	0.879299	0.875289	0.874080	0.876655	0.876370	0.870883	0.865816
U.S. Dollar	1.564720	1.556360	1.552320	1.555610	1.546520	1.543400	1.542920	1.539940	1.534000	1.541120	1.549810
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.832870	1.838580	1.880690	1.866360	1.894310	1.848600	1.916670	1.909410	1.926650	1.914910	1.876960
Bahrain Dinar	0.588336	0.585192	0.583672	0.584912	0.581490	0.580319	0.580141	0.579015	0.576784	0.579462	0.582730
Botswana Pula	NA	10.375700	10.404300	10.433300	10.470700	10.365300	10.439300	10.504300	10.697400	10.570100	NA
Brazilian Real	NA	NA	2.575920	2.600980	2.629390	2.624090	2.665250	2.700430	2.738200	2.812080	2.774780
Brunei Dollar	2.224410	2.224510	2.226030	2.223440	2.221410	2.187000	2.213630	2.204420	2.209420	2.216130	2.215140
Canadian Dollar	NA	1.665460	1.646550	1.655480	1.645650	1.650820	1.647690	1.653580	1.656110	1.634970	1.654730
Chilean Peso	802.407000	801.616000	801.635000	803.955000	797.862000	807.474000	808.153000	817.321000	814.843000	822.558000	818.344000
Colombian Peso	3,023.360000	3,007.200000	3,065.990000	NA	3,120.140000	3,151.320000	3,133.860000	3,189.580000	3,192.750000	3,209.310000	NA
Czech Koruna	26.537700	26.644900	26.656400	26.610300	26.941800	27.075800	27.015100	27.149100	27.107300	26.758400	26.605600
Danish Krone	7.980270	7.995200	8.015390	8.005830	8.093690	8.096840	8.134450	8.148100	8.208900	8.169130	8.167200
Hungarian Forint	254.049000	256.379000	257.018000	255.649000	262.753000	261.869000	261.279000	261.758000	265.060000	260.449000	261.639000
Icelandic Krona	131.202000	130.999000	132.211000	132.554000	136.403000	134.600000	137.613000	140.396000	139.671000	139.687000	141.839000
Indian Rupee	69.176400	68.884300	NA	69.146700	68.619100	68.310700	69.261700	69.482100	69.704900	70.536800	71.198200
Indonesian Rupiah	14,337.600000	14,306.000000	14,310.800000	14,324.100000	14,427.400000	14,328.900000	14,434.100000	14,359.900000	14,477.900000	14,555.900000	14,650.400000
Iranian Rial	15,021.400000	15,028.200000	14,917.800000	14,887.200000	NA	14,941.600000	15,032.700000	15,020.500000	15,047.000000	15,116.800000	15,044.000000
