Currency units per SDR for June 2011
Currency	June 01, 2011	June 02, 2011	June 03, 2011	June 06, 2011	June 07, 2011	June 08, 2011	June 09, 2011	June 10, 2011	June 13, 2011	June 14, 2011	June 15, 2011
Chinese Yuan	10.372500	10.406200	10.402300	NA	10.458600	10.444200	10.441300	10.399200	10.376400	10.394500	10.335300
Euro	1.110340	1.109100	1.107230	1.103730	1.101270	1.103430	1.102070	1.106930	1.113990	1.109880	1.116050
Japanese Yen	130.142000	129.824000	129.391000	129.283000	129.441000	128.871000	128.925000	128.409000	128.770000	128.605000	128.514000
U.K. Pound Sterling	0.974469	0.979039	0.983661	0.981720	0.982096	0.984543	0.981566	0.984407	0.981836	0.977412	0.980969
U.S. Dollar	1.599780	1.603760	1.604150	1.611010	1.613580	1.611890	1.610560	1.603500	1.599030	1.603550	1.595060
Algerian Dinar	NA	115.386000	115.277000	115.387000	115.416000	115.439000	NA	115.333000	115.165000	115.228000	115.151000
Australian Dollar	1.488450	1.509990	1.503990	1.499870	1.510700	1.510530	1.522130	1.513030	NA	1.507660	1.489740
Bahrain Dinar	0.601518	0.603013	0.603162	0.605738	0.606708	0.606072	0.605569	0.602918	0.601233	0.602933	0.599743
Botswana Pula	10.435600	NA	10.423300	10.427200	10.430400	10.460000	10.458200	10.439500	10.437500	10.426200	10.438900
Brazilian Real	2.526210	2.545160	2.534080	2.535090	2.549780	2.539700	2.546620	2.544600	2.547250	2.546430	2.522270
Brunei Dollar	1.968210	1.985940	1.977440	1.979450	1.986960	1.983110	1.983250	1.972630	1.980230	1.976690	1.965750
Canadian Dollar	1.554030	1.570560	1.567260	1.576370	1.572430	1.576430	1.567400	1.566300	1.563690	1.553200	1.559970
Chilean Peso	744.103000	748.604000	749.670000	754.324000	755.658000	752.593000	753.001000	749.367000	748.537000	749.047000	743.699000
Colombian Peso	2,876.130000	2,869.790000	2,862.000000	2,875.730000	2,880.320000	2,853.250000	2,850.420000	2,842.350000	2,838.180000	2,850.530000	2,830.020000
