Currency units per SDR for May 1996
Currency	May 01, 1996	May 02, 1996	May 03, 1996	May 06, 1996	May 07, 1996	May 08, 1996	May 09, 1996	May 10, 1996	May 13, 1996	May 14, 1996	May 15, 1996
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	152.154000	152.233000	NA	NA	152.228000	152.699000	152.690000	152.464000	152.511000	151.883000	153.064000
U.K. Pound Sterling	0.965176	0.965093	0.964989	NA	0.960953	0.958307	0.955558	0.951731	0.954543	0.953652	0.952838
U.S. Dollar	1.445640	1.445710	1.449220	1.449430	1.449790	1.449440	1.453500	1.454530	1.447660	1.446500	1.445360
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.829920	1.819880	1.821540	1.818840	1.818150	1.808630	1.818470	1.814530	1.811390	1.805640	1.801750
Bahrain Dinar	0.543561	0.543587	0.544907	0.544986	0.545121	0.544989	0.546516	0.546903	0.544320	0.543884	0.543455
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	NA	1.433710	1.437190	1.437540	1.437900	1.437700	1.441870	1.444490	1.438680	1.438250	1.438420
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	1.969400	1.969060	1.975290	1.979200	1.980990	1.982980	1.987660	1.987320	1.980830	1.981710	1.977690
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	NA	1,534.690000	1,539.880000	1,539.870000	NA	1,541.520000	1,543.080000	1,543.400000	1,537.530000	1,541.650000	1,541.100000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.553850	8.539090	NA	8.522650	8.520420	8.540830	8.504430	8.524270	8.565800	8.559660	8.540630
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	NA	97.397500	97.416600	97.300200	97.324400	97.300900	97.239200	97.249900	97.340700	97.277100	97.171600
Indian Rupee	NA	49.949300	50.070600	50.005300	NA	50.368000	50.799800	51.534000	51.174800	50.497300	50.399700
Indonesian Rupiah	3,385.690000	3,385.850000	3,394.070000	3,396.010000	3,398.310000	3,397.490000	3,408.460000	3,410.870000	3,394.760000	3,394.940000	3,392.260000
Iranian Rial	2,533.980000	2,526.260000	2,526.260000	2,532.510000	2,532.510000	2,532.880000	2,532.900000	NA	2,541.790000	2,529.790000	2,527.760000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
