Currency units per SDR for March 2009
Currency	March 02, 2009	March 03, 2009	March 04, 2009	March 05, 2009	March 06, 2009	March 09, 2009	March 10, 2009	March 11, 2009	March 12, 2009	March 13, 2009	March 16, 2009
Chinese Yuan	10.024200	10.005100	9.971780	9.980340	10.048700	9.973170	10.016300	10.027400	10.062600	10.073800	10.122700
Euro	1.163680	1.159660	1.161260	1.162780	1.161130	1.161190	1.146270	1.147450	1.151980	1.142350	1.135590
Japanese Yen	142.912000	142.560000	143.566000	144.892000	144.257000	143.277000	144.916000	144.630000	141.798000	143.882000	145.438000
U.K. Pound Sterling	1.037860	1.043890	1.035120	1.035000	1.032500	1.052390	1.058110	1.061830	1.067000	1.050600	1.044530
U.S. Dollar	1.465770	1.462910	1.457970	1.459860	1.469760	1.459030	1.465270	1.467130	1.472460	1.474200	1.481040
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.317060	2.289370	2.304730	2.269340	2.286490	2.280800	2.295230	2.285970	2.271610	2.256890	2.256300
Bahrain Dinar	0.551128	0.550052	0.548198	0.548908	0.552630	0.548595	0.550943	0.551642	0.553642	0.554299	0.556870
Botswana Pula	12.014500	12.050300	12.039400	12.065000	12.126700	12.158600	12.030200	11.870000	11.846000	11.765400	11.754300
Brazilian Real	3.485010	3.527510	3.529740	3.490390	3.500080	3.466650	3.483400	3.448790	3.439370	3.412770	3.406980
Brunei Dollar	2.277070	2.265460	2.265250	2.265860	2.278420	2.254350	2.261800	2.258360	2.251680	2.268790	2.281830
Canadian Dollar	1.889380	1.892710	1.861100	1.879870	1.890550	1.896740	1.875110	1.878950	1.900210	1.879460	1.884470
Chilean Peso	878.056000	883.205000	888.328000	897.602000	897.714000	883.299000	894.079000	887.437000	885.638000	881.702000	879.732000
Colombian Peso	3,746.340000	3,790.350000	3,774.620000	3,780.290000	3,781.580000	3,718.440000	3,750.160000	3,704.600000	3,691.060000	3,657.870000	NA
Czech Koruna	32.935800	32.425300	32.186100	32.252800	32.562500	32.089900	31.166400	30.933000	31.107100	30.373000	30.119800
Danish Krone	8.670770	8.640650	8.652170	8.663410	8.650970	8.651870	8.539930	8.548250	8.585160	8.515130	8.467260
Hungarian Forint	355.874000	355.545000	361.343000	359.551000	366.396000	359.388000	355.783000	347.299000	352.020000	337.224000	341.763000
Icelandic Krona	168.168000	167.810000	166.806000	164.833000	165.950000	165.104000	164.433000	164.392000	164.208000	165.995000	166.231000
Indian Rupee	75.853500	75.573800	75.712300	76.000500	75.707100	75.577800	NA	NA	76.126100	76.171900	76.391900
Indonesian Rupiah	17,622.900000	17,584.100000	17,543.700000	17,554.900000	17,732.600000	NA	17,641.900000	17,370.900000	17,640.000000	17,675.700000	17,742.800000
