Currency units per SDR for March 1998
Currency	March 02, 1998	March 03, 1998	March 04, 1998	March 05, 1998	March 06, 1998	March 09, 1998	March 10, 1998	March 11, 1998	March 12, 1998	March 13, 1998	March 16, 1998
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	174.057000	174.958000	174.686000	175.638000	175.304000	174.866000	175.002000	173.524000	172.671000	174.741000	176.404000
U.K. Pound Sterling	0.805574	0.804139	0.805771	0.807647	0.801900	0.801588	0.802324	0.803506	0.800303	0.797406	0.795125
U.S. Dollar	1.345630	1.344280	1.343220	1.341260	1.342300	1.343060	1.343170	1.345150	1.347310	1.340040	1.335890
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.009300	2.020870	2.025670	2.023630	2.023970	2.005470	2.008030	2.006190	1.999870	2.004850	2.013700
Bahrain Dinar	0.505957	0.505449	0.505051	0.504314	0.504705	0.504991	0.505032	0.505776	0.506589	0.503855	0.502295
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.524200	1.522670	1.522670	1.520450	1.521900	1.523160	1.523690	1.526750	1.529470	1.521750	1.517170
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	1.906080	1.907000	1.904420	1.901910	1.908350	1.905940	1.893870	1.899490	1.906440	1.905940	1.892420
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	606.294000
Colombian Peso	1,828.250000	1,828.170000	1,827.530000	1,826.620000	NA	1,829.060000	1,832.620000	1,835.810000	1,839.970000	1,824.450000	1,814.180000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.336650	9.323250	9.363590	9.372050	9.373280	9.363810	9.358540	9.377040	9.349660	9.357500	9.406670
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	97.531300	97.393100	97.504300	97.388900	97.249600	97.197300	97.205200	97.254300	97.275800	97.246700	97.332900
Indian Rupee	53.206200	53.152800	53.110900	53.033400	53.034300	53.104600	53.082100	53.146900	53.218700	52.958400	52.767700
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,357.040000	2,358.220000	2,355.850000	2,355.150000	NA	NA	2,353.710000	2,353.910000	2,353.910000	2,361.160000	2,348.420000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,981.310000	1,956.470000	1,990.110000	1,997.940000	1,955.730000	1,883.370000	1,880.980000	1,856.170000	1,869.930000	1,850.190000	1,841.930000
Kuwaiti Dinar	0.410632	0.410409	0.410273	NA	0.410140	0.410050	0.410218	0.410620	NA	0.409061	0.408542
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	5.096570	4.967110	4.936330	4.922420	4.845700	4.821590	4.848840	4.862720	4.843580	4.797340	4.866650
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.380400
Nepalese Rupee	85.312900	85.227400	85.160100	85.035900	85.101800	85.150000	85.157000	85.282500	85.419500	84.958500	84.695400
New Zealand Dollar	2.308110	2.358390	2.383710	2.382340	2.388430	2.385540	2.389980	2.395640	2.395220	2.405820	2.409180
Norwegian Krone	10.210000	10.228000	10.198400	10.195600	10.185400	10.130700	10.164400	10.167300	10.114900	10.102600	10.177500
Rial Omani	0.517395	0.516876	0.516468	0.515714	0.516114	0.516407	0.516449	0.517210	0.518041	0.515245	0.513650
Pakistani Rupee	59.423200	59.363600	59.316800	59.230200	59.276200	59.457700	59.462500	59.550200	59.645800	59.324000	59.140300
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50.429800
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.610160
Qatar Riyal	4.898090	4.893180	4.889320	4.882190	4.885970	4.888740	4.889140	4.896350	4.904210	4.877750	4.862640
Russian Ruble	8.166630	8.159780	8.171880	8.156870	8.171920	8.165800	8.175880	8.191960	8.209030	8.160310	8.134230
Saudi Arabian Riyal	5.039380	5.034330	5.030360	5.023020	5.026910	5.029760	5.030170	5.037590	5.045680	5.018450	5.002910
