Currency units per SDR for November 2000
Currency	November 01, 2000	November 02, 2000	November 03, 2000	November 06, 2000	November 07, 2000	November 08, 2000	November 09, 2000	November 10, 2000	November 13, 2000	November 14, 2000	November 15, 2000
Chinese Yuan	10.639900	10.681400	10.712000	10.702000	10.664000	10.638300	10.628500	10.664200	10.657500	10.651400	10.637600
Euro	1.502720	1.492590	1.482500	1.491820	1.500420	1.501640	1.505250	1.485510	1.493780	1.499270	1.495150
Japanese Yen	139.958000	139.760000	NA	138.541000	138.375000	137.779000	137.787000	138.591000	139.014000	138.565000	139.049000
U.K. Pound Sterling	0.889448	0.887789	0.892442	0.893422	0.900671	0.903706	0.907064	0.902606	0.900007	0.898304	0.901283
U.S. Dollar	1.285430	1.290490	1.294220	1.292960	1.288410	1.285250	1.284130	1.288380	1.287640	1.286820	1.285230
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.469610	2.488890	2.472240	2.453900	2.445260	2.421350	2.453440	2.440110	2.472900	2.466590	2.464490
Bahrain Dinar	0.483322	0.485224	0.486627	0.486153	0.484442	0.483254	0.482833	0.484431	0.484153	0.483844	0.483246
Botswana Pula	6.885000	6.893640	6.906190	6.917920	6.949350	6.977470	7.005620	6.960450	6.963980	6.967080	6.984950
Brazilian Real	2.452860	NA	2.470800	2.492570	2.506470	2.514590	2.503410	2.534890	2.518370	2.518440	NA
Brunei Dollar	2.250790	NA	NA	2.237860	2.236420	2.233510	2.234390	2.240490	2.242810	2.242670	2.240930
Canadian Dollar	1.962210	1.978450	1.985460	1.977970	1.973330	1.982760	1.984490	1.991190	NA	1.987620	1.993010
Chilean Peso	NA	676.010000	676.942000	676.981000	675.243000	674.204000	673.809000	675.304000	675.329000	675.272000	674.566000
Colombian Peso	2,760.960000	2,760.290000	2,765.400000	2,765.910000	2,756.180000	2,742.830000	2,728.570000	2,741.040000	2,738.050000	2,736.310000	2,731.330000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	11.193800	11.157800	11.069200	11.097100	11.150200	11.162500	11.208100	11.078100	11.136500	11.157500	11.154600
Hungarian Forint	NA	395.884000	391.527000	392.853000	394.009000	395.369000	396.860000	391.539000	394.404000	394.500000	393.705000
Icelandic Krona	110.264000	110.156000	110.306000	110.289000	111.100000	111.483000	112.028000	111.574000	111.896000	112.262000	112.188000
Indian Rupee	60.145300	60.343300	60.427100	60.303700	60.104300	60.008300	60.007400	60.218900	60.210000	60.197400	60.084500
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,242.030000	2,252.720000	NA	2,268.130000	2,265.910000	2,257.950000	2,252.390000	2,252.390000	2,257.900000	2,256.590000	2,255.160000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kuwaiti Dinar	0.396054	0.396761	NA	0.397055	0.396199	0.395227	0.395230	NA	0.396039	0.395787	0.395298
Libyan Dinar	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999
Malaysian Ringgit	4.884630	4.903860	4.918040	4.913250	4.895960	4.883950	4.879690	4.895840	4.893030	4.889920	4.883870
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
New Zealand Dollar	3.262510	3.247740	3.247730	3.237660	3.238430	3.207910	3.230110	NA	3.261090	3.244220	NA
Norwegian Krone	11.836200	11.850400	11.825900	11.900300	11.971100	11.958200	11.950200	11.884000	11.933800	12.027900	12.015700
Rial Omani	0.494248	0.496193	0.497628	0.497143	0.495394	0.494179	0.493748	0.495382	0.495098	0.494782	0.494171
Pakistani Rupee	NA	NA	NA	73.663500	73.404300	73.224200	73.160400	72.425800	72.384200	72.338100	72.248800
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.678970	4.697380	4.710960	4.706370	4.689810	4.678310	4.674230	4.689700	4.687010	4.684020	4.678240
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.813940	4.832890	4.846850	4.842140	4.825100	4.813260	4.809070	4.824980	4.822210	4.819140	4.813190
Singapore Dollar	2.250790	NA	NA	2.237860	2.236420	2.233510	2.234390	2.240490	2.242810	2.242670	2.240930
South African Rand	9.661930	9.678030	9.738360	9.725000	9.815750	9.834090	9.911560	9.801350	9.852380	9.848680	9.849360
Sri Lanka Rupee	99.672200	100.065000	100.781000	100.553000	100.393000	100.095000	100.201000	100.429000	100.565000	100.436000	100.544000
Swedish Krona	12.748300	12.817800	12.796600	12.761500	12.832600	12.862100	12.892700	12.764600	12.844200	12.926100	12.884400
Swiss Franc	2.295140	2.281970	2.267210	2.274190	2.279580	2.279900	2.290370	2.270380	2.274490	2.276510	2.274600
Thai Baht	56.183600	56.230500	56.433200	55.943800	56.133400	56.177000	55.972700	55.999400	56.257000	56.098900	56.015500
Trinidad And Tobago Dollar	8.067360	8.096660	8.108680	8.115910	8.085670	NA	8.051370	8.089610	8.090110	8.063470	8.064300
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.720740	4.739320	4.753020	4.748400	4.731690	4.720080	4.715970	4.731580	4.728860	4.725850	4.720010
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for November 2000 Continued

Currency	November 16, 2000	November 17, 2000	November 20, 2000	November 21, 2000	November 22, 2000	November 23, 2000	November 24, 2000	November 27, 2000	November 28, 2000	November 29, 2000	November 30, 2000
Chinese Yuan	10.622600	10.606800	10.595900	10.574300	10.556900	NA	NA	10.508200	10.564600	10.614100	10.611800
Euro	1.497650	1.501460	1.508030	1.507330	1.512940	1.510790	1.507280	1.510120	1.490800	1.482430	1.476240
Japanese Yen	139.602000	139.453000	139.548000	140.121000	140.342000	NA	140.887000	141.222000	140.964000	141.284000	142.517000
U.K. Pound Sterling	0.900400	0.901322	0.898134	0.897302	0.900798	0.906537	0.905268	0.902275	0.900621	0.902329	0.902224
U.S. Dollar	1.283340	1.281500	1.280020	1.277310	1.275260	1.273140	1.271540	1.269410	1.276270	1.282300	1.281970
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.463700	2.458280	2.465370	2.488910	2.488310	2.425950	2.441510	2.436020	2.429600	2.439220	2.452590
Bahrain Dinar	0.482536	0.481844	0.481288	0.480269	0.479498	0.478701	0.478099	0.477298	0.479878	0.482145	0.482021
Botswana Pula	6.978470	6.949570	7.009970	7.025910	7.037860	NA	NA	7.013310	6.989430	7.022450	7.001470
Brazilian Real	2.493910	2.496110	2.508970	2.472490	2.434730	2.458940	2.467420	2.481950	2.496770	2.535110	NA
Brunei Dollar	2.241350	2.239810	2.243490	2.240400	2.236170	2.235890	2.235240	2.232260	2.237050	2.251720	2.254090
Canadian Dollar	1.992130	1.998240	1.995420	1.985830	1.973590	1.964710	1.957150	1.948040	1.961500	1.975250	1.968590
Chilean Peso	674.023000	673.467000	673.342000	672.363000	671.705000	NA	NA	669.753000	671.956000	674.221000	673.944000
Colombian Peso	2,727.500000	2,718.880000	2,717.010000	2,711.230000	2,708.860000	2,714.030000	2,722.550000	2,718.960000	2,754.250000	2,782.360000	2,785.520000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	11.157900	11.172100	11.242900	11.204200	11.263700	11.257500	11.275500	11.269800	11.171100	11.099500	11.024300
Hungarian Forint	394.229000	395.266000	397.664000	396.886000	398.608000	398.060000	400.217000	399.471000	396.282000	394.743000	390.962000
Icelandic Krona	112.562000	112.785000	113.231000	113.962000	114.416000	114.634000	112.150000	112.051000	112.299000	112.111000	111.993000
Indian Rupee	60.111600	60.012600	59.879300	59.752600	59.720400	59.608400	59.597100	59.484600	59.844300	60.127000	60.047500
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	NA	2,252.360000	2,245.830000	2,243.280000	2,238.490000	2,234.890000	2,234.890000	2,234.900000	2,224.640000	2,236.650000	2,247.240000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kuwaiti Dinar	0.395115	NA	0.394502	0.393667	0.393201	0.392547	NA	0.391473	0.392453	0.394102	0.394001
Libyan Dinar	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999
Malaysian Ringgit	4.876690	4.869700	4.864080	4.853780	4.845990	4.837930	4.831850	4.823760	4.849830	4.872740	4.871490
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	95.250400
New Zealand Dollar	3.208750	3.183460	3.196050	3.225120	3.247000	3.154070	3.172900	3.166800	3.146230	3.154100	NA
Norwegian Krone	12.001400	12.017000	12.044000	12.110700	12.116400	NA	12.091300	12.103700	11.954700	11.900900	11.887500
Rial Omani	0.493444	0.492737	0.492168	0.491126	0.490337	0.489522	0.488907	0.488088	0.490726	0.493044	0.492917
Pakistani Rupee	72.142500	72.039100	71.955900	71.803500	71.688300	71.569100	73.094100	72.971700	73.366000	73.712600	73.693700
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.671360	4.664660	4.659270	4.649410	4.641950	4.634230	4.628410	4.620650	4.645620	4.667570	4.666370
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.806110	4.799220	4.793670	4.783530	4.775850	4.767910	4.761920	4.753940	4.779630	4.802210	4.800980
Singapore Dollar	2.241350	2.239810	2.243490	2.240400	2.236170	2.235890	2.235240	2.232260	2.237050	2.251720	2.254090
