Currency units per SDR for March 2001
Currency	March 01, 2001	March 02, 2001	March 05, 2001	March 06, 2001	March 07, 2001	March 08, 2001	March 09, 2001	March 12, 2001	March 13, 2001	March 14, 2001	March 15, 2001
Chinese Yuan	10.708400	10.739600	10.707900	10.707700	10.706300	10.709700	10.722500	10.685300	10.661200	10.642700	10.581500
Euro	1.395650	1.385600	1.390210	1.394060	1.389760	1.389510	1.384420	1.392080	1.399530	1.400240	1.410340
Japanese Yen	151.743000	152.437000	154.325000	153.544000	154.309000	155.528000	154.800000	155.469000	154.774000	153.872000	154.486000
U.K. Pound Sterling	0.892961	0.883439	0.879933	0.881585	0.883806	0.881531	0.884353	0.881593	0.886156	0.884737	0.885944
U.S. Dollar	1.293630	1.297330	1.293590	1.293550	1.293450	1.293910	1.295400	1.290740	1.287850	1.285700	1.278330
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.453310	NA	2.457430	2.479010	2.519870	2.540570	2.529580	2.538820	2.537140	2.557580	2.579350
Bahrain Dinar	0.486405	0.487798	0.486388	0.486374	0.486336	0.486511	0.487071	0.485317	0.484231	0.483421	0.480651
Botswana Pula	7.034430	7.058410	7.045680	7.103480	7.134300	7.097690	7.036410	7.049350	7.080000	7.075940	7.086070
Brazilian Real	2.644690	2.649150	2.632060	2.616070	2.612770	2.637380	2.639640	2.657760	2.645760	2.650330	2.653170
Brunei Dollar	2.256220	2.265270	2.270250	NA	2.269360	2.274700	2.273820	2.272350	2.269190	2.261670	2.258810
Canadian Dollar	1.999690	2.008790	2.001570	1.989470	2.003550	2.004530	2.005670	2.001680	1.992430	1.997070	1.993680
Chilean Peso	682.324000	683.812000	682.836000	NA	682.748000	683.004000	683.555000	682.207000	681.375000	680.429000	678.040000
Colombian Peso	2,923.130000	2,939.030000	2,928.800000	2,922.210000	2,923.630000	2,926.900000	2,930.910000	2,922.240000	NA	2,926.140000	2,917.160000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	10.421100	10.346600	10.375200	10.417600	10.336700	10.356500	10.345200	10.355000	10.419500	10.505700	10.492900
Hungarian Forint	371.970000	369.286000	370.044000	371.765000	368.775000	369.321000	368.075000	369.177000	371.519000	375.038000	NA
Icelandic Krona	111.355000	110.961000	110.990000	111.336000	110.939000	110.849000	110.925000	111.042000	111.438000	111.650000	111.598000
Indian Rupee	60.192400	60.416800	60.229400	NA	60.171400	60.218500	60.275100	60.083900	60.026500	60.029100	59.634200
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,265.060000	NA	2,273.570000	NA	2,266.950000	2,266.770000	NA	2,270.190000	2,262.020000	NA	2,253.190000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kuwaiti Dinar	0.396665	NA	NA	NA	NA	NA	NA	0.395391	0.394854	0.394812	0.392856
Libyan Dinar	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999	0.661999
Malaysian Ringgit	4.915790	4.929870	4.915650	4.915480	4.915120	4.916860	4.922520	4.904800	4.893830	4.885650	4.857650
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	95.728600	96.002500	95.725800	95.722200	95.715800	95.749700	95.859800	95.514600	95.300700	95.142000	94.596600
New Zealand Dollar	2.999020	2.990280	2.970360	2.985680	3.011880	3.059980	3.056640	3.076850	3.056490	3.071050	3.103870
Norwegian Krone	11.489000	11.388900	11.435900	11.475200	11.417500	11.423200	11.362000	11.445800	11.524500	11.500200	11.541500
Rial Omani	0.497399	0.498825	0.497386	0.497369	0.497332	0.497507	0.498082	0.496290	0.495179	0.494350	0.491519
Pakistani Rupee	77.964800	78.259500	78.033600	78.030500	78.025000	78.053000	78.118900	77.837400	77.663300	77.533800	77.089100
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Qatar Riyal	4.708810	4.722280	4.708670	4.708500	4.708160	4.709830	4.715270	4.698300	4.687770	4.679940	4.653110
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.844630	4.858520	4.844490	4.844330	4.843980	4.845690	4.851280	4.833810	4.823000	4.814940	4.787350
Singapore Dollar	2.256220	2.265270	2.270250	NA	2.269360	2.274700	2.273820	2.272350	2.269190	2.261670	2.258810
South African Rand	9.975860	10.073100	10.016900	10.177000	10.168500	10.003900	10.007600	9.983230	10.054900	10.129400	10.066200
Sri Lanka Rupee	111.367000	111.723000	111.369000	NA	111.261000	111.262000	NA	110.822000	110.172000	109.877000	109.270000
Swedish Krona	12.674300	12.564700	12.589900	12.602400	12.536800	12.583300	12.591300	12.613700	12.788300	12.902000	12.882400
Swiss Franc	2.150010	2.132170	2.137010	2.144830	2.132000	2.141160	2.138840	2.144560	2.147360	2.158300	2.167920
Thai Baht	55.785200	56.222400	56.280300	56.135900	56.287000	56.427400	56.375800	NA	56.237900	55.997300	56.031800
