Currency units per SDR for December 2002
Currency	December 02, 2002	December 03, 2002	December 04, 2002	December 05, 2002	December 06, 2002	December 09, 2002	December 10, 2002	December 11, 2002	December 12, 2002	December 13, 2002	December 16, 2002
Chinese Yuan	10.917600	10.962700	10.984700	10.964200	10.976400	11.039600	11.044200	11.019800	11.050200	11.103600	11.110600
Euro	1.336240	1.328850	1.324720	1.325850	1.325310	1.321430	1.319680	1.322480	1.314510	1.312490	1.314450
Japanese Yen	162.698000	164.856000	165.728000	165.914000	166.028000	164.314000	164.857000	164.953000	164.701000	164.535000	161.950000
U.K. Pound Sterling	0.852341	0.846303	0.843512	0.843839	0.845194	0.845087	0.845151	0.846905	0.845695	0.845251	0.844809
U.S. Dollar	1.319000	1.324460	1.327100	1.324660	1.326110	1.333720	1.334330	1.331340	1.335010	1.341500	1.342320
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.356200	2.369340	2.368130	2.358730	2.362980	2.367270	2.368770	2.375270	2.378860	2.370130	2.370750
Bahrain Dinar	0.495943	0.497998	0.498990	0.498072	0.498616	0.501477	0.501708	0.500583	0.501965	0.504403	0.504711
Botswana Pula	7.624280	7.662480	7.635800	7.569510	7.584260	7.629980	7.538580	7.489960	7.495860	7.467260	7.418180
Brazilian Real	4.795470	4.788190	4.859440	4.906680	4.973690	5.003850	5.066730	5.016100	5.065830	5.034230	5.011400
Brunei Dollar	2.331860	2.346290	2.348040	2.347700	NA	2.351750	2.357230	2.350880	2.353630	2.355260	2.347440
Canadian Dollar	2.056850	2.062190	2.066820	2.067930	2.076280	2.082600	2.083020	2.071300	2.075680	2.093000	2.097370
Chilean Peso	927.584000	927.532000	933.724000	940.247000	941.114000	940.751000	942.170000	936.373000	933.323000	929.575000	933.672000
Colombian Peso	3,672.370000	3,725.630000	3,750.520000	3,717.830000	3,698.140000	3,710.930000	3,756.140000	3,749.620000	3,739.380000	3,747.020000	NA
Czech Koruna	NA	41.099500	41.239700	40.950500	41.094600	41.070500	41.117400	41.054600	40.954200	40.978700	41.084300
Danish Krone	9.784640	NA	9.837780	9.846300	9.841840	9.813930	9.801710	9.821250	9.762380	9.746020	9.761050
Hungarian Forint	314.911000	315.699000	314.496000	313.322000	313.186000	312.303000	NA	311.920000	310.684000	308.236000	310.075000
Icelandic Krona	NA	NA	112.963000	112.874000	113.395000	112.673000	112.524000	112.764000	111.607000	111.237000	111.654000
Indian Rupee	63.734100	63.905500	63.979500	63.901800	64.011100	64.312000	NA	64.157300	64.374500	64.633300	64.645800
Indonesian Rupiah	11,835.400000	11,897.700000	11,904.100000	NA	NA	NA	NA	11,936.800000	11,837.600000	11,896.400000	11,832.500000
Iranian Rial	10,582.600000	10,540.100000	10,617.700000	10,610.200000	10,610.200000	10,603.600000	10,667.100000	10,672.000000	10,648.100000	NA	10,729.300000
Israeli New Sheqel	6.109590	6.145530	6.169680	6.167620	6.230020	6.260490	6.235310	6.206710	6.230490	6.240640	6.221650
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,593.350000	1,604.320000	1,615.210000	1,611.190000	1,621.560000	1,637.810000	1,617.210000	1,619.040000	1,623.110000	1,626.030000	1,622.860000
Kuwaiti Dinar	0.398232	0.399882	0.400452	NA	NA	0.401595	0.402007	0.401105	0.402212	NA	0.403473
Libyan Dinar	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740
Malaysian Ringgit	5.012200	5.032970	5.042970	5.033700	5.039210	5.068120	5.070450	5.059090	5.073050	5.097700	5.100790
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	13.326600	13.432800	13.574500	13.571400	13.622300	13.584200	13.576000	NA	NA	13.663100	13.687100
Nepalese Rupee	NA	103.699000	103.905000	103.714000	103.827000	104.423000	104.471000	104.237000	104.525000	105.033000	105.097000
New Zealand Dollar	2.650190	2.657960	2.663790	NA	2.645330	2.655220	2.650110	2.654190	2.657270	2.633480	2.617880
Norwegian Krone	9.704400	9.667350	9.624640	9.644970	9.626960	NA	9.670710	NA	9.641900	9.619920	9.608550
Rial Omani	0.507156	0.509256	0.510269	0.509331	0.509887	0.512815	0.513049	0.511899	0.513313	0.515804	0.516121
Pakistani Rupee	77.205800	77.526000	77.680200	77.537400	77.622300	78.067700	78.103600	77.928400	78.143300	78.523100	78.570600
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	5.275740	5.269370	5.283990	5.283010	5.290220	5.280580	5.251910	5.245210	5.224440	5.214120	5.210210
Qatar Riyal	4.801160	4.821040	4.830640	4.821760	4.827020	4.854720	4.856960	4.846090	4.859440	4.883050	4.886030
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	4.946230	4.966750	4.976630	4.967490	4.972900	5.001450	5.003730	4.992540	5.006310	5.030610	5.033680
Singapore Dollar	2.331860	2.346290	2.348040	2.347700	NA	2.351750	2.357230	2.350880	2.353630	2.355260	2.347440
South African Rand	12.240300	12.291000	12.215900	12.087500	12.107300	12.210200	12.009000	11.868900	11.888300	11.811900	NA
Sri Lanka Rupee	127.472000	127.970000	128.284000	128.105000	NA	129.027000	129.011000	128.734000	129.053000	129.781000	129.862000
Swedish Krona	11.969900	11.983100	12.006900	12.014700	11.988000	11.996800	12.009000	12.002000	11.991800	11.956100	11.986900
Swiss Franc	1.970850	1.955310	1.950170	1.951490	1.950440	1.946560	1.941720	1.947090	1.944050	1.936050	1.940320
Thai Baht	57.495100	57.868400	57.868000	NA	57.990500	58.008700	NA	57.764100	57.899500	58.085500	57.996200
Trinidad And Tobago Dollar	8.278830	8.294420	NA	8.302200	NA	8.375770	NA	8.362250	8.364140	8.396450	8.424240
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.844020	4.864100	4.873770	4.864810	4.870110	4.898070	4.900330	4.889350	4.902830	4.926640	4.929650
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for December 2002 Continued

Currency	December 17, 2002	December 18, 2002	December 19, 2002	December 20, 2002	December 23, 2002	December 24, 2002	December 25, 2002	December 26, 2002	December 27, 2002	December 30, 2002	December 31, 2002
Chinese Yuan	11.154500	11.126400	11.151800	11.139000	11.158200	11.146700	NA	11.177800	11.186100	11.212300	NA
Euro	1.307460	1.312700	1.311470	1.312250	1.311040	1.307910	NA	NA	1.302460	1.299730	1.296390
Japanese Yen	162.722000	163.120000	163.222000	162.522000	NA	162.134000	162.134000	162.386000	162.172000	162.414000	NA
U.K. Pound Sterling	0.842723	0.841078	0.839525	0.839497	0.843035	0.846726	NA	NA	0.844802	0.845609	0.843483
U.S. Dollar	1.347600	1.344210	1.347270	1.345710	1.348010	1.346630	1.346630	1.350400	1.351430	1.354580	1.359520
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.376710	2.373670	2.379500	2.378000	2.395620	2.397410	NA	NA	2.394880	2.403440	2.401130
Bahrain Dinar	0.506696	0.505423	0.506573	0.505986	0.506853	0.506332	0.506332	0.507751	0.508138	0.509321	0.511179
