Currency units per SDR for April 2013
Currency	April 01, 2013	April 02, 2013	April 03, 2013	April 04, 2013	April 05, 2013	April 08, 2013	April 09, 2013	April 10, 2013	April 11, 2013	April 12, 2013	April 15, 2013
Chinese Yuan	9.417530	9.395760	9.387380	NA	NA	9.419030	9.417880	9.416280	9.433780	9.409020	9.413180
Euro	NA	1.169200	1.168820	1.166710	1.159840	1.154440	1.153000	1.150420	1.149120	1.153310	1.152220
Japanese Yen	141.081000	139.691000	140.236000	140.277000	145.401000	148.238000	149.374000	149.310000	150.119000	149.747000	148.672000
U.K. Pound Sterling	NA	0.988054	0.992369	0.993424	0.986271	0.982376	0.983072	0.983565	0.979489	0.979115	0.982608
U.S. Dollar	1.502620	1.501250	1.499370	1.495490	1.501300	1.503430	1.503510	1.505450	1.507530	1.505300	1.507220
Algerian Dinar	118.732000	118.640000	118.352000	118.057000	118.107000	118.235000	118.101000	118.202000	118.299000	118.236000	118.274000
Australian Dollar	NA	1.435640	1.433840	1.429450	1.440930	1.449650	1.441390	1.433080	1.433280	1.426420	1.443000
Bahrain Dinar	0.564985	0.564471	0.563761	0.562306	0.564490	0.565291	0.565320	0.566046	0.566829	0.565992	0.566714
Botswana Pula	NA	12.356000	12.350600	12.359500	12.285600	12.233000	12.174200	12.180000	12.167300	12.159100	12.273800
Brazilian Real	3.025970	3.030420	3.025570	3.026740	3.032780	3.012120	2.992290	2.989970	2.986410	2.981990	2.978420
Brunei Dollar	1.865800	1.856150	1.858310	1.851420	1.861910	1.866210	1.865260	1.862990	1.866320	1.862510	1.864730
Canadian Dollar	1.527710	1.523470	1.519460	1.516280	1.529980	1.533200	1.527870	1.528030	1.523660	1.525470	1.538270
Chilean Peso	709.280000	709.356000	708.526000	706.444000	706.859000	705.532000	702.711000	702.292000	706.334000	705.592000	707.249000
Colombian Peso	2,753.090000	2,736.960000	NA	2,721.700000	2,745.890000	2,746.590000	2,732.880000	2,729.540000	2,745.510000	2,745.430000	2,754.880000
Czech Koruna	NA	30.254700	30.161200	30.117800	29.878900	29.700300	29.701900	29.753700	29.794800	29.832000	29.803800
Danish Krone	NA	8.716120	8.711790	8.696030	8.646260	8.605480	8.596460	8.577870	8.568170	8.598080	8.590990
Hungarian Forint	NA	353.529000	352.006000	353.639000	349.368000	343.489000	342.590000	340.803000	341.938000	341.537000	340.586000
Icelandic Krona	NA	185.329000	185.457000	184.813000	181.567000	178.848000	178.978000	178.516000	178.672000	178.920000	178.470000
