Currency units per SDR for June 2009
Currency	June 01, 2009	June 02, 2009	June 03, 2009	June 04, 2009	June 05, 2009	June 08, 2009	June 09, 2009	June 10, 2009	June 11, 2009	June 12, 2009	June 15, 2009
Chinese Yuan	10.641100	10.632500	10.635300	10.599900	10.581300	10.449900	10.483600	10.554800	10.540000	10.546200	10.493000
Euro	1.095370	1.093220	1.096010	1.100670	1.092240	1.102370	1.098540	1.095270	1.103950	1.102210	1.108550
Japanese Yen	147.817000	149.893000	148.937000	149.167000	149.814000	150.439000	150.431000	150.747000	151.157000	150.881000	150.802000
U.K. Pound Sterling	0.950688	0.946101	0.940557	0.946961	0.962140	0.964497	0.952454	0.944100	0.937963	0.937242	0.939911
U.S. Dollar	1.557610	1.556520	1.557100	1.551400	1.548470	1.528540	1.533450	1.544540	1.542110	1.543540	1.535350
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.934920	1.924010	1.885340	1.938520	1.925720	NA	1.944270	1.909910	1.905240	1.895540	1.910820
Bahrain Dinar	0.585662	0.585254	0.585470	0.583325	0.582225	0.574732	0.576575	0.580747	0.579831	0.580373	0.577291
Botswana Pula	10.712600	10.771800	10.790700	10.743800	10.723500	10.741700	10.686100	10.748400	10.724000	10.733900	10.684400
Brazilian Real	3.071920	3.024630	3.014850	3.039500	3.017810	2.984630	3.020280	2.992860	NA	3.004650	2.962150
Brunei Dollar	2.244520	2.241710	2.239580	2.241000	2.238470	2.223720	2.242210	2.238810	2.237440	2.236130	2.236540
Canadian Dollar	1.693440	1.685250	1.709070	1.706390	NA	1.716550	1.693080	1.714600	1.693540	1.725210	1.741240
Chilean Peso	873.164000	872.616000	875.902000	877.578000	876.616000	864.805000	872.090000	874.600000	872.243000	870.928000	862.999000
Colombian Peso	3,334.320000	3,283.360000	3,234.120000	3,216.900000	3,208.430000	3,153.530000	3,206.600000	3,182.040000	3,149.270000	3,127.470000	3,094.340000
