Currency units per SDR for April 2015
Currency	April 01, 2015	April 02, 2015	April 03, 2015	April 06, 2015	April 07, 2015	April 08, 2015	April 09, 2015	April 10, 2015	April 13, 2015	April 14, 2015	April 15, 2015
Chinese Yuan	8.476440	8.490480	8.539930	NA	8.493580	8.507740	8.468980	8.411630	8.396380	NA	8.419560
Euro	1.282900	1.276920	NA	NA	1.277280	1.276810	1.281510	1.296730	1.296050	1.297770	1.297490
Japanese Yen	165.502000	165.478000	166.558000	165.867000	165.646000	166.702000	166.112000	165.162000	164.357000	164.269000	164.164000
U.K. Pound Sterling	0.933916	0.935340	NA	NA	0.930657	0.928109	0.931272	0.937190	0.936838	0.935883	0.931342
U.S. Dollar	1.379760	1.382900	1.392040	1.393260	1.385470	1.386870	1.380700	1.370640	1.367590	1.370970	1.372610
Algerian Dinar	134.640000	134.562000	135.391000	135.333000	135.160000	135.405000	135.723000	135.376000	135.063000	NA	135.456000
Australian Dollar	1.806210	1.821530	NA	NA	1.798610	1.807240	1.795920	1.782830	1.800410	1.806280	1.807260
Bahrain Dinar	0.518791	0.519972	0.523407	NA	0.520934	0.521463	0.519143	0.515360	0.514215	0.515485	0.516102
Botswana Pula	13.661000	13.665000	NA	NA	13.596300	13.556900	13.562900	13.611100	13.662300	NA	13.685000
Brazilian Real	4.426270	4.363880	4.383810	4.387660	4.284690	4.331350	4.257260	4.175800	4.211640	4.251520	4.238620
Brunei Dollar	1.886550	1.884620	NA	NA	1.879380	1.884480	NA	1.862150	1.871690	1.869730	1.871560
Canadian Dollar	1.740160	1.740380	NA	1.734890	1.730170	1.734700	1.736920	1.726320	1.723440	1.710690	1.699150
Chilean Peso	864.528000	854.935000	855.783000	856.531000	846.160000	847.393000	843.675000	841.446000	849.416000	851.506000	842.865000
Colombian Peso	3,585.120000	NA	3,586.470000	NA	3,495.120000	3,492.220000	3,439.190000	3,419.430000	3,440.980000	3,478.600000	3,501.290000
