Currency units per SDR for October 1995
Currency	October 02, 1995	October 03, 1995	October 04, 1995	October 05, 1995	October 06, 1995	October 09, 1995	October 10, 1995	October 11, 1995	October 12, 1995	October 13, 1995	October 16, 1995
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	149.952000	150.299000	151.444000	149.698000	150.031000	150.479000	NA	150.547000	151.389000	149.903000	150.551000
U.K. Pound Sterling	0.945380	0.939147	0.944222	0.942116	0.945323	0.946137	0.946377	0.947342	0.951905	0.950188	0.949695
U.S. Dollar	1.495780	1.497000	1.492060	1.492500	1.498810	1.500290	1.494330	1.495000	1.496680	1.494550	1.496530
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.966840	1.958650	1.944050	1.954050	1.972900	1.963220	1.968300	1.962460	1.958490	1.964450	1.973530
Bahrain Dinar	0.562413	0.562872	0.561015	0.561180	0.563553	0.564109	0.561868	0.562120	0.562752	0.561951	0.562695
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.423980	1.428890	1.428650	1.429070	1.435110	1.437280	1.430820	1.431460	NA	1.431030	1.432930
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	2.003000	1.988320	1.985630	1.992640	1.995220	NA	1.995680	1.998960	2.001510	1.998210	2.001010
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	NA	1,453.920000	1,457.380000	1,451.830000	1,458.240000	1,469.020000	1,468.690000	1,467.270000	1,468.630000	1,471.950000	1,477.080000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.307560	8.297120	8.310770	8.323670	8.287670	8.240340	8.253180	8.239690	8.261670	8.265610	8.252610
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	97.136000	97.095400	97.058500	97.102100	97.062900	96.888700	96.907300	96.876000	97.044700	96.936500	96.915300
Indian Rupee	NA	50.913000	50.580800	50.491300	50.839600	50.874800	50.642800	50.635700	50.752400	50.829600	51.959500
Indonesian Rupiah	3,402.900000	3,408.670000	3,398.910000	3,399.920000	3,414.290000	3,417.660000	3,404.080000	3,407.110000	3,410.930000	3,407.570000	3,412.090000
Iranian Rial	2,632.290000	2,613.880000	2,616.010000	2,607.370000	2,607.370000	2,619.170000	2,619.170000	2,611.340000	2,612.510000	2,612.510000	2,611.730000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
