Currency units per SDR for April 2003
Currency	April 01, 2003	April 02, 2003	April 03, 2003	April 04, 2003	April 07, 2003	April 08, 2003	April 09, 2003	April 10, 2003	April 11, 2003	April 14, 2003	April 15, 2003
Chinese Yuan	11.368500	11.342500	11.277500	11.274900	11.210100	11.252800	11.281000	11.303800	11.287900	11.285500	11.294800
Euro	1.261090	1.265340	1.273130	1.270710	1.279850	1.275320	1.268720	1.263890	1.270360	1.269820	1.265360
Japanese Yen	162.438000	161.566000	161.730000	163.396000	163.536000	163.071000	163.339000	164.013000	163.306000	164.495000	164.021000
U.K. Pound Sterling	0.871369	0.870792	0.871840	0.870140	0.873485	0.876132	0.876271	0.873614	0.868674	0.866423	0.868101
U.S. Dollar	1.373450	1.370360	1.362510	1.362200	1.354330	1.359490	1.362860	1.365630	1.363730	1.363410	1.364570
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.273550	2.270690	2.262180	2.264670	2.270470	2.265820	2.260140	2.253890	2.247040	2.254310	2.259960
Bahrain Dinar	0.516417	0.515257	0.512303	0.512188	0.509230	0.511169	0.512437	0.513479	0.512763	0.512642	0.513076
Botswana Pula	7.030720	7.082000	7.046870	7.041610	7.088880	7.086220	7.008840	6.969270	6.984510	6.972140	6.910950
Brazilian Real	4.604220	4.570300	4.467260	4.434650	4.396300	4.311630	NA	NA	NA	4.381850	4.340690
Brunei Dollar	2.426070	2.423900	2.411230	2.421450	2.415450	2.420840	NA	2.431650	2.420480	2.429450	2.425650
Canadian Dollar	2.022540	2.022790	2.009970	2.005020	2.010640	1.995600	2.000410	1.989730	1.979590	1.981300	1.980670
Chilean Peso	1,004.760000	1,000.060000	983.197000	983.545000	977.202000	977.221000	981.210000	985.688000	988.758000	985.746000	983.158000
Colombian Peso	NA	4,054.310000	4,028.260000	4,020.050000	3,990.930000	4,000.180000	4,004.530000	3,988.190000	3,970.820000	3,985.330000	4,000.480000
Czech Koruna	40.301100	40.598400	40.572700	40.396000	40.417400	40.220600	39.776600	39.770000	39.987200	40.070500	39.890400
Danish Krone	9.365400	9.396550	9.454480	9.436900	9.504710	9.470860	9.422050	9.386230	9.433870	9.429870	9.395320
Hungarian Forint	311.623000	312.991000	312.069000	312.284000	313.690000	310.630000	309.561000	309.657000	310.535000	311.198000	311.339000
Icelandic Krona	106.154000	105.751000	106.030000	106.851000	107.141000	106.924000	106.426000	105.864000	106.030000	105.882000	105.358000
Indian Rupee	NA	NA	64.596600	64.568200	64.182000	64.467100	64.681400	64.744600	NA	NA	NA
Indonesian Rupiah	12,232.000000	NA	NA	12,130.400000	12,048.100000	12,066.800000	12,098.100000	12,102.200000	12,096.300000	12,098.900000	12,065.500000
Iranian Rial	NA	NA	NA	NA	NA	11,050.000000	11,089.400000	11,108.700000	11,108.700000	11,114.400000	11,113.100000
Israeli New Sheqel	6.397540	6.400980	6.354730	6.349210	6.289510	6.317560	6.310060	6.333800	6.352230	6.258020	6.248360
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,727.800000	1,718.850000	1,708.450000	1,709.430000	1,703.750000	1,708.880000	1,710.390000	1,711.680000	1,690.750000	1,671.940000	1,670.360000
Kuwaiti Dinar	0.411211	0.410287	NA	NA	0.407166	0.408717	0.409281	0.410113	NA	0.409445	0.409792
Libyan Dinar	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740
Malaysian Ringgit	5.219120	5.207380	5.177540	5.176360	5.146470	5.166060	5.178880	5.189410	5.182180	5.180940	5.185350
Mauritian Rupee	37.284400	NA	36.847300	36.668500	36.488800	36.627800	36.790300	36.767400	36.617700	36.683800	36.792200
Mexican Peso	14.745700	14.618500	14.526900	14.551400	14.477300	14.600700	14.656400	14.701200	14.594600	14.466000	14.518700
Nepalese Rupee	106.848000	106.950000	106.337000	105.673000	105.062000	105.463000	105.724000	105.925000	NA	NA	105.843000
New Zealand Dollar	2.471570	2.472240	2.469210	2.488040	2.529570	2.519440	2.499750	2.499790	2.492190	2.500290	2.496010
Norwegian Krone	9.994200	9.911390	9.962240	9.909040	9.946880	9.913650	9.898640	9.967110	10.035800	10.001100	9.971580
Rial Omani	0.528092	0.526904	0.523884	0.523766	0.520741	0.522725	0.524021	0.525086	0.524354	0.524230	0.524675
Pakistani Rupee	79.358200	79.179700	78.725900	78.749500	78.294400	78.592900	78.787900	78.947800	78.837600	78.819000	78.886100
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	5.606830	5.583690	5.531520	5.542810	5.540570	5.513290	5.444370	5.399980	5.415500	5.377670	5.385810
Qatar Riyal	4.999350	4.988130	4.959530	4.958420	4.929780	4.948560	4.960830	4.970900	4.963960	4.962800	4.967020
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.150440	5.138880	5.109420	5.108240	5.078750	5.098090	5.110750	5.121110	5.113990	5.112760	5.117130
Singapore Dollar	2.426070	2.423900	2.411230	2.421450	2.415450	2.420840	NA	2.431650	2.420480	2.429450	2.425650
South African Rand	10.822800	10.921800	10.825100	10.843100	10.929500	10.930300	10.766600	10.658800	10.664400	10.648200	10.500300
Sri Lanka Rupee	133.150000	132.843000	132.085000	132.093000	131.296000	131.794000	132.112000	132.415000	132.227000	NA	132.331000
Swedish Krona	11.643400	11.689200	11.676700	11.674100	11.742100	11.664400	11.591200	11.597600	11.554200	NA	11.568100
Swiss Franc	1.863220	1.875070	1.891160	1.889240	1.903380	1.892280	1.885250	1.889630	1.904040	1.898270	1.902200
Thai Baht	58.873100	58.787200	58.515800	58.727100	NA	58.594000	58.588100	58.639000	58.478200	NA	NA
Trinidad And Tobago Dollar	8.589960	8.594680	8.515780	8.540730	8.470130	8.518180	8.518830	8.567880	NA	8.544890	8.583100
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.044010	5.032660	5.003800	5.002680	4.973790	4.992740	5.005110	5.015300	5.008290	5.007110	5.011380
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for April 2003 Continued

Currency	April 16, 2003	April 17, 2003	April 18, 2003	April 21, 2003	April 22, 2003	April 23, 2003	April 24, 2003	April 25, 2003	April 28, 2003	April 29, 2003	April 30, 2003
Chinese Yuan	11.320100	11.365800	11.347100	11.316200	11.380100	11.363400	11.402600	11.377000	11.415200	11.386400	11.454800
Euro	1.262110	1.257470	NA	NA	1.253220	1.254430	1.251440	1.252650	1.250930	1.255630	1.243300
Japanese Yen	164.470000	163.475000	164.168000	164.132000	165.883000	164.879000	165.241000	165.081000	165.498000	NA	165.516000
U.K. Pound Sterling	0.868221	0.870799	NA	NA	0.872075	0.869769	0.865426	0.865516	0.864125	0.864499	0.867062
U.S. Dollar	1.367620	1.373160	1.370920	1.367200	1.374910	1.372850	1.377590	1.374530	1.379150	1.375670	1.383910
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.247160	2.236420	NA	NA	2.237810	2.212490	2.219050	NA	2.233080	2.217750	2.221370
Bahrain Dinar	0.514226	0.516310	0.515467	0.514067	0.516967	0.516190	0.517974	0.516823	0.518559	0.517253	0.520351
Botswana Pula	6.901930	6.870960	6.859750	6.841120	6.848850	6.848850	6.705200	6.721420	6.609870	6.644170	6.693660
Brazilian Real	4.259600	4.221650	NA	NA	4.163350	4.205180	4.151910	4.126490	4.153310	4.114230	4.046980
Brunei Dollar	2.433950	2.428850	NA	2.417890	2.442660	2.438870	2.451550	2.448590	2.458880	2.441000	2.455200
Canadian Dollar	1.991530	1.990540	NA	NA	1.989630	1.992000	2.008380	1.997470	1.999900	1.988810	1.983840
Chilean Peso	982.878000	981.961000	NA	975.810000	982.202000	983.574000	981.547000	974.982000	982.039000	976.944000	976.105000
Colombian Peso	3,992.880000	4,006.910000	4,000.370000	3,989.500000	4,014.790000	4,003.270000	4,010.150000	NA	4,017.230000	NA	3,996.480000
Czech Koruna	39.870200	39.729700	NA	NA	39.686800	39.728900	39.704800	39.517700	39.522300	39.463900	39.110800
Danish Krone	9.371190	NA	NA	NA	9.305790	9.314540	9.291520	9.298950	9.287470	9.322530	9.230540
Hungarian Forint	309.533000	309.181000	309.185000	NA	309.175000	307.642000	307.601000	307.084000	307.302000	307.462000	305.485000
Icelandic Krona	104.828000	105.253000	105.081000	104.796000	104.342000	104.089000	NA	NA	103.740000	104.304000	104.029000
Indian Rupee	64.770600	65.046600	NA	64.736700	65.129600	64.976800	65.215000	65.083800	65.316400	65.165700	65.528200
Indonesian Rupiah	12,088.400000	12,077.000000	NA	11,846.800000	NA	NA	NA	12,013.400000	12,102.000000	NA	12,005.400000
Iranian Rial	11,121.300000	11,144.700000	11,144.700000	11,174.400000	11,142.700000	NA	11,195.600000	11,195.600000	11,206.500000	11,242.800000	11,215.800000
Israeli New Sheqel	NA	NA	NA	NA	6.346590	NA	6.287290	6.299490	6.305450	6.219410	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,664.800000	1,670.450000	1,658.130000	1,647.470000	1,656.350000	1,670.760000	1,679.970000	1,678.300000	1,702.420000	1,691.250000	1,678.820000
Kuwaiti Dinar	0.410710	0.411152	NA	0.409913	0.412225	0.411607	0.413029	NA	0.412780	0.411740	0.413775
Libyan Dinar	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740
Malaysian Ringgit	5.196960	5.218010	5.209500	5.195340	5.224660	5.216840	5.234830	5.223210	5.240760	5.227560	5.258870
