Currency units per SDR for June 2006
Currency	June 01, 2006	June 02, 2006	June 05, 2006	June 06, 2006	June 07, 2006	June 08, 2006	June 09, 2006	June 12, 2006	June 13, 2006	June 14, 2006	June 15, 2006
Chinese Yuan	11.921000	11.943200	11.999100	11.961400	11.927800	11.896900	11.855500	11.832000	11.808300	11.797500	11.809800
Euro	1.166950	1.161850	1.156110	1.161680	1.163390	1.165200	1.168030	1.174060	1.173090	1.173090	1.170700
Japanese Yen	167.319000	167.577000	167.261000	167.747000	168.276000	168.539000	168.488000	168.415000	168.748000	169.643000	169.842000
U.K. Pound Sterling	0.797378	0.797830	0.794824	0.798422	0.798677	0.802446	0.802549	0.801192	0.800897	0.800512	0.798792
U.S. Dollar	1.486230	1.488920	1.498080	1.492410	1.487850	1.483880	1.478610	1.476030	1.474690	1.473750	1.476250
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.984810	1.994790	1.991600	2.001080	2.007630	1.991520	1.984720	NA	1.988790	1.996140	1.999800
Bahrain Dinar	0.558822	0.559832	0.563279	0.561145	0.559434	0.557939	0.555960	0.554988	0.554484	0.554130	0.555071
Botswana Pula	8.605850	8.469340	8.545840	8.666710	8.630210	8.662510	8.556810	8.561640	8.654260	8.684400	8.673630
Brazilian Real	3.417880	3.380580	3.383730	3.365240	3.374160	3.337550	3.355420	3.336870	NA	3.391090	NA
Brunei Dollar	2.349280	2.352930	2.357080	2.356060	2.354530	2.355070	2.353950	2.350580	2.357880	2.356080	2.352250
Canadian Dollar	1.636040	1.638400	1.649690	1.664330	1.653900	1.666700	1.637120	1.622160	1.633810	1.639100	1.650000
Chilean Peso	790.483000	792.104000	793.852000	796.337000	798.365000	803.787000	806.510000	NA	797.849000	805.756000	803.833000
Colombian Peso	NA	3,699.390000	NA	3,647.030000	3,676.470000	3,683.210000	NA	3,706.050000	NA	NA	NA
Czech Koruna	32.969000	32.800800	32.760100	32.850900	32.801200	32.911000	32.967200	33.232900	33.236500	33.265500	33.150700
Danish Krone	8.703370	8.665660	NA	8.665210	8.677320	8.690820	8.709360	8.753040	8.744620	8.744770	8.727150
Hungarian Forint	305.747000	304.334000	NA	304.660000	305.263000	305.427000	308.261000	310.601000	316.394000	314.763000	315.254000
Icelandic Krona	107.410000	106.755000	NA	108.886000	109.253000	108.887000	109.136000	109.463000	110.071000	111.975000	111.088000
Indian Rupee	68.693600	68.743200	68.642200	68.531200	68.337300	68.347600	67.897900	67.720400	67.894700	67.763100	67.774600
Indonesian Rupiah	13,762.500000	13,817.100000	NA	13,879.400000	13,918.900000	13,941.100000	13,965.500000	13,889.500000	13,921.000000	14,030.100000	13,891.500000
Iranian Rial	13,616.800000	NA	NA	NA	13,634.700000	13,601.300000	NA	13,535.200000	NA	13,518.700000	13,540.200000
