Currency units per SDR for June 1998
Currency	June 01, 1998	June 02, 1998	June 03, 1998	June 04, 1998	June 05, 1998	June 08, 1998	June 09, 1998	June 10, 1998	June 11, 1998	June 12, 1998	June 15, 1998
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	194.457000	190.615000	182.836000	184.545000	184.166000	184.395000	186.644000	188.328000	190.403000	189.104000	187.547000
U.K. Pound Sterling	0.804772	0.804127	0.803117	0.803018	0.801871	0.800988	0.799940	0.799064	0.798357	0.797761	0.800830
U.S. Dollar	1.325540	1.330830	1.342410	1.343610	1.336960	1.337650	1.334220	1.331880	1.331580	1.328910	1.331540
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.262790	2.247640	2.191690	2.197960	2.193900	2.195750	2.204960	2.211320	2.196240	2.197270	2.170400
Bahrain Dinar	0.498403	0.500392	0.504746	0.505197	0.502697	0.502956	0.501667	0.500787	0.500674	0.499670	0.500659
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.530070	1.535910	1.549810	1.551740	1.544720	1.544450	1.540620	NA	1.538370	NA	1.538990
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	1.949210	1.947540	1.971330	1.974700	1.966800	1.965810	1.960900	1.953340	1.956490	1.955890	1.959490
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	622.495000
Colombian Peso	1,829.920000	1,847.860000	1,871.840000	1,868.760000	1,864.790000	1,865.750000	1,842.700000	1,831.360000	1,815.840000	1,811.360000	1,814.940000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.096650	9.104470	9.123820	9.176990	9.154570	9.119300	9.144880	9.113390	9.120920	9.180110	9.175510
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	95.160500	NA	95.660100	95.732200	95.325200	95.294200	95.036500	94.989700	95.287900	95.641700	95.604600
Indian Rupee	56.163100	56.227600	56.502000	56.700300	57.074800	57.411900	56.984500	56.738100	56.871800	56.558400	56.550500
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19,773.400000
Iranian Rial	2,311.140000	2,323.010000	2,332.280000	2,332.280000	2,354.680000	2,354.680000	2,344.230000	2,344.230000	2,344.230000	2,333.590000	2,328.910000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,877.230000	1,900.820000	1,905.550000	1,870.440000	1,871.740000	1,872.170000	1,849.230000	1,845.190000	1,827.730000	1,837.350000	1,844.450000
Kuwaiti Dinar	0.407113	0.408299	0.410522	NA	0.409190	0.409254	0.408952	0.408035	NA	0.407736	0.408197
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	5.341930	5.393190	5.289100	5.348910	5.302380	5.277030	5.296850	5.276910	5.419530	5.411320	5.559180
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.960600
Nepalese Rupee	89.507100	89.864300	90.646200	90.727300	90.278200	90.859900	91.160600	91.000700	90.980200	90.797800	90.977500
New Zealand Dollar	2.669770	2.677730	2.584040	2.588840	2.578510	2.604970	2.598290	NA	2.623800	2.613390	2.598130
Norwegian Krone	10.140400	10.134300	10.139900	10.185900	10.172900	10.111300	10.130100	10.116300	10.133300	10.222000	10.210900
Rial Omani	0.509670	0.511704	0.516157	0.516618	0.514061	0.514326	0.513008	0.512108	0.511993	0.510966	0.511977
Pakistani Rupee	58.682100	58.916200	59.428900	59.482000	59.187600	59.218200	59.066300	58.962700	58.949400	61.435500	61.557100
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.258900
Polish Zloty	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.643080
Qatar Riyal	4.824970	4.844220	4.886370	4.890740	4.866530	4.869050	4.856560	4.848040	4.846950	4.837230	4.846810
Russian Ruble	8.221660	8.225860	8.340390	8.351880	8.313220	8.317510	8.293510	8.286960	8.289090	8.231270	8.288840
Saudi Arabian Riyal	4.964150	4.983960	5.027330	5.031820	5.006920	5.009500	4.996650	4.987890	4.986770	4.976770	4.986620
Singapore Dollar	2.302460	2.306330	2.231090	2.247860	2.205980	2.196420	2.211470	2.208260	2.241710	2.235890	2.272670
South African Rand	NA	7.117940	7.206730	7.365000	7.398070	7.314940	7.260160	7.420570	7.651920	8.048540	7.811480
Sri Lanka Rupee	85.528900	85.860200	86.523400	86.668000	86.289100	86.380500	86.242400	86.167700	86.221500	86.101800	86.272200
Swedish Krona	10.650700	10.663900	10.603700	NA	10.654200	10.565400	10.567000	10.501200	10.478200	10.626000	10.597500
Swiss Franc	1.986850	1.987330	2.001130	2.013400	2.006380	2.003400	2.003060	2.011270	2.017480	2.025790	2.028330
Thai Baht	57.417100	57.483900	55.663000	56.035300	55.675000	54.974700	54.876500	54.810900	55.510900	55.894000	56.341500
Trinidad And Tobago Dollar	8.331150	8.357480	8.432620	NA	8.397850	8.402850	8.387570	8.371130	8.359130	8.355920	8.366730
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.868050	4.887470	4.930000	4.934410	4.909990	4.912520	4.899920	4.891330	4.890230	4.880420	4.890080
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
