Currency units per SDR for August 1999
Currency	August 02, 1999	August 03, 1999	August 04, 1999	August 05, 1999	August 06, 1999	August 09, 1999	August 10, 1999	August 11, 1999	August 12, 1999	August 13, 1999	August 16, 1999
Chinese Yuan	11.306200	11.277100	11.327100	11.335200	11.310900	11.279100	11.315500	11.288300	11.253300	11.285400	11.257300
Euro	1.280780	1.279860	1.271670	1.269040	1.272350	1.272900	1.273230	1.278380	1.278030	1.278200	1.288740
Japanese Yen	156.087000	156.064000	157.576000	156.429000	156.505000	157.044000	157.664000	156.630000	156.990000	156.457000	157.217000
U.K. Pound Sterling	0.844378	0.842815	0.843987	0.846523	0.846549	0.848838	0.846745	0.845860	0.845872	0.845661	0.846778
U.S. Dollar	1.365950	1.362410	1.368440	1.369420	1.366500	1.362640	1.367070	1.363780	1.359570	1.363460	1.360010
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	NA	2.091830	2.086990	2.083400	2.088170	2.090580	2.092560	2.096830	2.088430	2.091840	2.081440
Bahrain Dinar	0.513597	0.512266	0.514533	0.514902	0.513804	0.512353	0.514018	0.512781	0.511198	0.512661	0.511364
Botswana Pula	6.362130	6.351560	6.344180	6.342840	6.344010	6.326090	6.346660	6.319650	6.297220	6.294830	6.290520
Brazilian Real	2.442860	2.466920	2.500140	2.493580	2.523650	2.518840	2.527170	2.553130	2.531790	2.522810	2.543630
Brunei Dollar	2.295750	2.292940	2.304450	2.292680	2.288890	NA	2.288480	2.280240	2.277690	2.279710	2.275020
Canadian Dollar	NA	2.036120	2.038290	2.046600	2.054940	2.048180	2.050610	2.032990	2.018550	2.014780	2.014580
Chilean Peso	667.526000	666.355000	668.127000	668.482000	NA	666.549000	668.265000	667.611000	665.972000	668.136000	666.745000
Colombian Peso	2,471.690000	2,470.870000	2,464.270000	2,496.230000	2,507.490000	2,519.680000	2,532.910000	2,529.850000	2,536.010000	2,581.370000	2,555.660000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.554410	9.512070	9.442650	9.444620	9.466020	9.485060	9.466000	9.469680	9.502030	9.507000	9.558830
Hungarian Forint	324.891000	323.940000	322.747000	323.183000	323.574000	323.532000	323.709000	323.393000	324.162000	324.435000	325.491000
Icelandic Krona	NA	99.265200	99.034000	99.132300	99.358200	99.322800	99.126200	98.901300	99.194200	99.096300	99.117500
Indian Rupee	59.173000	59.101300	59.335600	59.432800	59.374400	59.329300	59.399200	59.310800	59.100500	59.256000	59.051600
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,390.780000	2,393.830000	2,387.620000	2,398.190000	2,398.190000	NA	2,388.030000	2,395.790000	2,390.020000	2,390.020000	2,389.460000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
