Currency units per SDR for September 1999
Currency	September 01, 1999	September 02, 1999	September 03, 1999	September 06, 1999	September 07, 1999	September 08, 1999	September 09, 1999	September 10, 1999	September 13, 1999	September 14, 1999	September 15, 1999
Chinese Yuan	11.369100	11.388200	11.381100	NA	11.305800	11.329100	11.382000	11.358200	11.345600	11.346200	11.403900
Euro	1.294220	1.290410	1.287160	1.294220	1.292790	1.289590	1.298220	1.304370	1.325370	1.322840	1.328700
Japanese Yen	150.295000	150.103000	151.106000	150.026000	149.763000	151.823000	150.020000	150.187000	149.201000	146.805000	NA
U.K. Pound Sterling	0.852719	0.855509	0.853576	0.854481	0.851303	0.851303	0.847449	0.842564	0.848836	0.855210	0.858613
U.S. Dollar	1.373560	1.375830	1.374940	1.371100	1.365830	1.368640	1.375070	1.372200	1.370700	1.370730	1.377730
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.152580	2.150410	2.131360	2.128710	2.115600	2.105600	2.118750	2.108480	2.091390	2.091440	NA
Bahrain Dinar	0.516459	0.517312	0.516977	0.515534	0.513552	0.514609	0.517026	0.515947	0.515383	0.515394	0.518026
Botswana Pula	6.292080	6.302470	6.281130	NA	6.256670	6.295490	6.313450	6.306070	6.290500	6.299310	6.331480
Brazilian Real	2.630500	2.642830	2.644830	2.609480	NA	2.607400	2.609200	2.569720	NA	2.578890	2.605980
Brunei Dollar	2.309370	2.315520	2.318840	2.313050	2.308250	2.317790	2.328680	2.316000	2.314700	2.315160	2.326990
Canadian Dollar	2.040700	2.055770	2.049760	NA	2.039730	2.035720	2.035520	2.023720	2.014930	2.020040	2.032700
Chilean Peso	672.605000	673.015000	NA	NA	669.940000	671.195000	673.784000	673.613000	673.069000	672.713000	676.548000
Colombian Peso	2,666.420000	NA	2,671.820000	2,664.380000	2,659.690000	2,695.970000	2,712.120000	2,711.560000	2,715.920000	2,711.100000	2,714.870000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	9.615740	9.602880	9.551430	9.614290	9.641260	9.616890	9.639790	9.683200	9.872190	9.846780	9.872260
Hungarian Forint	328.844000	329.924000	328.459000	331.820000	330.545000	329.172000	330.306000	331.469000	337.110000	335.993000	338.095000
Icelandic Krona	99.610600	99.623900	99.449400	99.445900	99.555300	99.459100	99.623800	99.525700	100.363000	100.529000	100.877000
