Currency units per SDR for September 1998
Currency	September 01, 1998	September 02, 1998	September 03, 1998	September 04, 1998	September 07, 1998	September 08, 1998	September 09, 1998	September 10, 1998	September 11, 1998	September 14, 1998	September 15, 1998
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.323400	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	188.573000	185.376000	185.897000	180.051000	180.250000	179.220000	176.932000	184.297000	184.605000	181.429000	NA
U.K. Pound Sterling	0.804245	0.808210	0.807275	0.811342	0.818614	0.819655	0.815530	0.815445	0.815369	0.816312	0.815521
U.S. Dollar	1.348880	1.346720	1.357110	1.352750	1.365530	1.360300	1.350110	1.361630	1.374060	1.367730	1.371870
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.365630	2.311170	2.325410	2.295910	2.306640	2.294320	2.287160	2.316490	2.299680	2.283360	2.307600
Bahrain Dinar	0.507179	0.506367	0.510273	0.508634	0.513439	0.511473	0.507641	0.511973	0.516647	0.514266	0.515823
Botswana Pula	0.288054	0.285438	0.289675	0.288744	NA	0.289812	0.286561	0.291389	0.293431	0.292626	0.294266
Brazilian Real	1.586420	1.584280	1.596780	1.592460	NA	1.601890	1.587860	1.604540	1.619470	1.611870	1.618120
Brunei Dollar	NA	NA	NA	2.348370	2.362370	2.343800	2.308010	2.345410	2.364760	2.356600	2.360300
Canadian Dollar	2.095220	2.069910	2.088860	2.063890	NA	2.075680	2.052710	2.061510	2.078680	2.073620	2.057390
Chilean Peso	635.754000	634.952000	637.747000	636.550000	641.389000	639.885000	636.104000	638.604000	NA	641.794000	642.680000
Colombian Peso	1,944.900000	1,943.250000	2,060.850000	2,072.670000	2,101.330000	2,056.160000	2,032.810000	2,033.460000	2,069.710000	2,059.600000	2,072.090000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.974910	8.991780	8.954080	8.974550	8.962930	8.961660	8.907890	8.856310	8.847160	8.852360	8.849250
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	95.810900	95.751800	95.771300	96.112900	96.174300	96.037200	95.412300	95.259600	95.717000	95.768500	95.770200
Indian Rupee	57.354400	57.276000	57.758600	57.546000	58.103300	57.894400	57.433700	57.923700	58.411300	58.114800	58.318200
Indonesian Rupiah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iranian Rial	2,352.240000	2,363.910000	2,360.130000	2,360.130000	2,370.690000	2,370.690000	2,383.930000	2,366.070000	2,366.070000	2,408.040000	2,396.950000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,823.420000	1,825.070000	1,823.820000	1,804.030000	1,818.480000	1,823.070000	1,830.070000	1,854.680000	1,878.750000	1,873.380000	1,904.290000
Kuwaiti Dinar	0.412123	0.410965	0.414136	NA	0.415654	0.414211	0.411108	0.414398	NA	0.415380	0.416980
Libyan Dinar	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000	0.525000
Malaysian Ringgit	5.516920	5.117670	5.157020	5.140450	5.189010	5.169140	5.130420	5.174190	5.221430	5.197370	5.213110
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nepalese Rupee	92.162200	92.014600	92.724500	92.426600	93.299800	92.942500	92.246300	93.033400	93.882600	93.450200	93.733000
New Zealand Dollar	2.733290	2.666770	2.706100	2.665520	2.685410	2.662040	2.642090	2.680370	2.666520	2.645510	2.662270
