Currency units per SDR for April 2008
Currency	April 01, 2008	April 02, 2008	April 03, 2008	April 04, 2008	April 07, 2008	April 08, 2008	April 09, 2008	April 10, 2008	April 11, 2008	April 14, 2008	April 15, 2008
Chinese Yuan	11.482200	11.475600	11.427200	NA	11.447900	11.446800	11.439100	11.500200	11.484900	11.494300	11.483300
Euro	1.044200	1.044370	1.048560	1.041750	1.041830	1.041740	1.038770	1.036080	1.036080	1.034850	1.036990
Japanese Yen	163.244000	166.146000	167.276000	167.878000	167.418000	167.251000	167.164000	166.286000	167.159000	166.553000	165.989000
U.K. Pound Sterling	0.825076	0.823323	0.821308	0.818183	0.822693	0.829524	0.829814	0.831110	0.830931	0.830027	0.833715
U.S. Dollar	1.635220	1.632570	1.627990	1.637840	1.634940	1.634910	1.633580	1.644770	1.640430	1.642210	1.641340
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	NA	1.798180	1.780980	1.796470	1.775180	1.763270	1.756150	1.766480	1.760490	1.779600	1.766020
Bahrain Dinar	0.614844	0.613843	0.612126	0.615828	0.614738	0.614726	0.614224	0.618433	0.616800	0.617471	0.617143
Botswana Pula	10.814900	10.621800	10.564500	10.587200	10.568500	10.581900	10.593900	10.722100	10.624500	10.649900	10.706700
Brazilian Real	2.858850	2.861230	2.869340	2.824280	2.797220	2.776400	2.781980	2.774730	NA	2.770080	2.767140
Brunei Dollar	2.254150	2.257350	2.251350	2.267100	2.259000	2.258130	2.256130	2.238370	2.228680	2.233900	NA
Canadian Dollar	1.679370	1.661460	1.641340	1.652740	1.652930	1.659430	1.665270	1.674210	1.675700	1.676370	1.671050
Chilean Peso	715.753000	715.702000	711.627000	720.679000	713.425000	709.517000	714.117000	716.266000	712.225000	736.811000	737.751000
Colombian Peso	3,000.560000	2,984.230000	2,973.270000	NA	2,969.510000	2,961.190000	2,961.430000	2,959.060000	2,939.030000	2,943.640000	2,942.410000
Czech Koruna	26.300800	26.173300	26.173300	26.090800	26.057700	26.026100	26.076800	26.051600	25.918700	25.805700	25.734600
Danish Krone	7.786280	7.788470	7.820750	7.769770	7.771220	7.771220	7.749540	7.729950	7.728030	7.718250	7.735330
Hungarian Forint	270.564000	269.128000	268.245000	268.261000	264.975000	263.187000	264.116000	262.818000	260.598000	262.639000	260.875000
Icelandic Krona	126.157000	122.704000	122.034000	121.839000	118.206000	118.694000	117.617000	118.901000	119.882000	121.852000	122.428000
Indian Rupee	NA	65.269900	65.038500	65.464300	65.283100	65.428800	65.375700	65.708600	65.518800	NA	65.588000
Indonesian Rupiah	15,042.400000	14,985.300000	15,006.800000	15,112.300000	15,070.900000	15,062.400000	15,051.800000	15,146.700000	15,077.200000	15,103.400000	15,092.100000
Iranian Rial	NA	14,740.400000	14,783.800000	NA	14,750.400000	14,728.900000	14,744.700000	14,724.000000	NA	14,778.300000	14,757.300000
Israeli New Sheqel	5.795220	5.802150	5.823330	5.919160	5.951180	5.906920	5.875960	5.942550	5.905520	5.854490	5.726620
Kazakhstani Tenge	197.355000	196.887000	196.336000	197.310000	197.190000	197.104000	196.928000	198.310000	197.720000	197.919000	197.683000
