Currency units per SDR for November 1995
Currency	November 01, 1995	November 02, 1995	November 03, 1995	November 06, 1995	November 07, 1995	November 08, 1995	November 09, 1995	November 10, 1995	November 13, 1995	November 14, 1995	November 15, 1995
Chinese Yuan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euro	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japanese Yen	152.708000	154.171000	NA	155.185000	153.688000	154.092000	152.758000	151.350000	151.222000	151.628000	152.158000
U.K. Pound Sterling	0.945822	0.942338	0.942460	0.945652	0.945157	0.945165	0.945644	0.953668	0.957550	0.957325	0.961127
U.S. Dollar	1.494210	1.488140	1.486260	1.494320	1.492120	1.494590	1.492510	1.502980	1.500960	1.493140	1.502050
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	1.965290	1.963760	1.961020	1.972700	1.978150	1.989340	2.009570	2.035180	2.032990	2.022130	2.030900
Bahrain Dinar	0.561823	0.559541	0.558834	0.561864	0.561037	0.561966	0.561184	0.565120	0.564361	0.561421	0.564771
Botswana Pula	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brazilian Real	1.435790	NA	1.429780	1.437090	1.434370	1.436000	1.434000	1.443910	1.441970	1.434910	NA
Brunei Dollar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Canadian Dollar	2.013450	1.997680	2.002440	2.019130	2.027190	2.028460	2.023250	2.031580	NA	2.020820	2.035880
Chilean Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombian Peso	1,489.370000	1,483.620000	1,483.560000	NA	1,489.870000	1,493.860000	1,492.110000	1,503.180000	1,500.610000	1,492.800000	1,503.760000
Czech Koruna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Danish Krone	8.171090	8.194440	8.204900	8.182150	8.168610	8.199320	8.229700	8.217540	8.203500	8.209280	8.176410
Hungarian Forint	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Icelandic Krona	96.421400	96.416600	96.443400	96.473300	96.420800	96.565500	96.669900	96.837000	96.781900	96.725600	96.702000
Indian Rupee	51.221500	51.504500	NA	51.957500	51.881000	51.937000	51.611000	51.988100	51.903200	51.632800	52.001000
Indonesian Rupiah	3,414.270000	3,401.890000	3,399.080000	3,417.510000	3,412.480000	3,419.620000	3,414.860000	3,440.320000	3,435.700000	3,417.800000	3,438.190000
Iranian Rial	2,611.730000	2,611.130000	2,611.130000	2,597.240000	2,611.320000	2,607.480000	2,611.800000	2,611.800000	2,626.460000	2,622.930000	2,609.260000
Israeli New Sheqel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
