Currency units per SDR for June 2016
Currency	June 01, 2016	June 02, 2016	June 03, 2016	June 06, 2016	June 07, 2016	June 08, 2016	June 09, 2016	June 10, 2016	June 13, 2016	June 14, 2016	June 15, 2016
Chinese Yuan	9.243600	9.241630	9.233950	9.270760	9.297660	9.302840	NA	NA	9.270680	9.266640	9.265950
Euro	1.255410	1.255770	1.257160	1.244250	1.246690	1.244390	1.246550	1.248580	1.249570	1.252670	1.252190
Japanese Yen	155.275000	153.210000	152.787000	151.010000	152.467000	151.569000	150.729000	151.132000	149.503000	149.050000	149.199000
U.K. Pound Sterling	0.971062	0.973568	0.973227	0.981171	0.969800	0.971836	0.977441	0.978770	0.994500	0.992743	0.990638
U.S. Dollar	1.402800	1.404950	1.402230	1.412100	1.414740	1.415870	1.413970	1.411390	1.408010	1.406130	1.406210
Algerian Dinar	154.995000	155.288000	154.244000	154.983000	155.230000	155.089000	155.347000	155.196000	155.116000	155.115000	155.049000
Australian Dollar	1.929570	1.940810	1.935180	1.926210	1.904860	1.899470	1.894130	1.903430	NA	1.899920	1.906990
Bahrain Dinar	0.527451	0.528262	0.527240	0.530952	0.531943	0.532365	0.531652	0.530684	0.529414	0.528703	0.528737
Botswana Pula	15.726400	15.715300	15.494300	15.382400	15.360900	15.290100	15.352500	15.441900	15.506800	15.537300	15.521100
Brazilian Real	5.042360	5.074700	5.041720	4.999280	4.964600	4.918570	4.792210	4.772060	4.823160	4.854930	4.898260
Brunei Dollar	1.935020	1.932510	1.929470	NA	1.921500	1.916230	NA	1.912010	1.914060	1.904460	1.906680
Canadian Dollar	1.836400	1.837680	1.815610	1.815400	1.809310	1.797440	1.800120	1.797550	1.801130	1.804760	1.815980
Chilean Peso	967.661000	974.488000	969.443000	964.850000	962.807000	962.575000	951.801000	957.176000	962.621000	963.196000	967.951000
Colombian Peso	4,334.150000	4,380.390000	4,362.180000	NA	4,269.270000	4,178.160000	4,107.890000	4,152.500000	4,181.560000	4,204.810000	4,223.260000
Czech Koruna	33.928000	33.953400	33.963500	33.615100	33.692000	33.616900	33.673500	33.739300	33.788100	33.870700	33.893900
Danish Krone	9.338380	9.340820	9.350950	9.254380	9.270760	9.253860	9.269640	9.283840	9.291350	9.314630	9.310810
