Currency units per SDR for January 2003
Currency	January 02, 2003	January 03, 2003	January 06, 2003	January 07, 2003	January 08, 2003	January 09, 2003	January 10, 2003	January 13, 2003	January 14, 2003	January 15, 2003	January 16, 2003
Kuwaiti Dinar	NA	NA	0.407281	0.405454	0.405275	0.406906	NA	0.407108	0.407950	0.407138	0.407940
Libyan Dinar	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740
Malaysian Ringgit	5.159110	5.134180	5.165240	5.142100	5.139830	5.166380	5.163580	5.168950	5.179630	5.169320	5.179500
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	14.068900	14.032000	14.163000	13.975700	14.015100	14.154800	14.223200	14.332700	14.349500	14.266700	14.323100
Nepalese Rupee	105.965000	105.453000	106.091000	105.616000	105.569000	NA	106.057000	106.167000	106.387000	106.175000	106.377000
New Zealand Dollar	NA	2.577450	2.574870	2.546930	2.552530	2.546010	2.553250	2.524590	2.518120	2.516600	2.513420
Norwegian Krone	9.444830	9.407690	9.385790	9.393820	9.414160	9.349460	NA	9.399470	NA	9.436900	NA
Rial Omani	0.522021	0.519497	0.522641	0.520299	0.520069	0.522756	0.522474	0.523015	0.524098	0.523054	0.524084
Pakistani Rupee	79.469100	79.085100	79.563400	79.207300	79.172200	79.581100	79.197300	79.279500	79.443300	79.285200	79.441400
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	5.197530	5.188630	5.192970	5.187420	5.197180	5.204430	5.192670	5.180650	5.192430	5.190010	5.167770
Qatar Riyal	4.941880	4.917990	4.947750	4.925600	4.923420	4.948830	4.946160	4.951300	4.961550	4.951670	4.961420
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.091230	5.066630	5.097280	5.074440	5.072200	5.098400	5.095650	5.100920	5.111480	5.101310	5.111350
Singapore Dollar	2.365860	2.358070	2.365820	2.354810	2.356200	2.361710	2.362340	2.363020	2.363140	2.358710	2.361170
South African Rand	11.533300	11.437000	11.451900	11.583300	11.726900	11.631100	11.563700	11.670900	11.913200	11.909900	12.042300
Sri Lanka Rupee	131.336000	130.730000	131.496000	130.870000	130.903000	131.536000	131.493000	131.602000	131.877000	NA	131.889000
Swedish Krona	11.866000	11.889700	NA	11.799800	11.781000	11.746700	11.821900	11.820600	11.838200	NA	11.844700
Swiss Franc	NA	1.894780	1.887630	1.896080	1.895780	1.887220	1.884440	1.885310	1.886340	1.890750	NA
Thai Baht	58.584400	58.158100	58.274700	57.943500	57.951500	58.026500	58.140500	58.198100	58.179400	58.004000	58.190300
Trinidad And Tobago Dollar	8.533950	8.478670	8.545770	8.500000	8.437040	8.523040	8.526970	8.513680	8.532930	8.511580	8.552420
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	4.986010	4.961920	4.991940	4.969560	4.967360	4.993030	4.990340	4.995500	5.005830	4.995880	5.005710
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for January 2003 Continued

Currency	January 17, 2003	January 20, 2003	January 21, 2003	January 22, 2003	January 23, 2003	January 24, 2003	January 27, 2003	January 28, 2003	January 29, 2003	January 30, 2003	January 31, 2003
Chinese Yuan	11.322200	NA	11.300200	11.332000	11.358900	11.375100	11.424500	11.379300	11.418000	11.361000	11.393400
Euro	1.284180	1.282760	1.281560	1.277380	1.275770	1.274420	1.269830	1.272070	1.269360	1.277140	1.272690
Japanese Yen	161.413000	161.523000	162.192000	161.759000	162.897000	162.144000	162.669000	163.016000	162.992000	162.798000	163.740000
U.K. Pound Sterling	0.846375	0.850572	0.849726	0.850268	0.846289	0.842943	0.842680	0.839504	0.837654	0.835213	0.833813
U.S. Dollar	1.367910	1.366530	1.365250	1.369100	1.372340	1.374330	1.380310	1.374850	1.379540	1.372670	1.376540
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.320460	2.314580	2.321060	2.320900	2.337890	2.317210	NA	NA	2.342960	2.335260	2.339470
Bahrain Dinar	0.514335	0.513814	0.513334	0.514782	0.516001	0.516750	0.518995	0.516945	0.518704	0.516124	0.517580
Botswana Pula	7.578460	NA	7.584720	7.674300	7.626250	7.536820	7.584090	7.545860	7.522020	7.480490	7.462970
Brazilian Real	4.504380	4.594810	4.654820	4.708870	NA	4.795470	4.957370	NA	5.008260	4.997750	4.912600
Brunei Dollar	2.367310	2.369700	2.368020	2.373060	2.380050	2.378700	2.385860	2.379730	2.388670	2.376910	2.392020
Canadian Dollar	2.100290	2.097210	2.092930	2.097460	2.091170	2.091880	2.104690	2.111780	2.100620	2.101410	2.104730
Chilean Peso	985.795000	NA	990.570000	994.738000	1,005.310000	1,001.850000	1,013.630000	1,014.420000	1,016.830000	1,014.220000	1,010.850000
Colombian Peso	4,005.500000	3,995.160000	3,994.810000	4,016.680000	4,044.360000	4,022.510000	4,037.030000	4,053.490000	4,091.150000	4,050.340000	4,028.390000
Czech Koruna	NA	40.129400	39.960800	40.341900	40.081900	39.976700	39.857800	NA	39.850600	40.132600	40.119400
Danish Krone	9.547090	9.534800	9.526260	9.498840	9.487310	9.479480	9.443760	9.460650	9.437170	9.494690	9.464680
Hungarian Forint	312.718000	313.331000	315.564000	317.275000	316.654000	314.763000	311.411000	311.515000	307.375000	310.346000	310.396000
Icelandic Krona	108.106000	108.243000	108.414000	NA	108.305000	108.201000	108.147000	107.981000	107.728000	NA	105.966000
Indian Rupee	65.577600	65.470300	65.463900	65.593600	65.748800	65.789500	66.103000	65.883100	66.024500	65.640900	65.798600
Indonesian Rupiah	12,141.600000	12,144.300000	12,137.100000	12,168.600000	12,193.200000	12,217.800000	12,275.100000	12,225.200000	12,189.600000	12,167.300000	12,218.200000
Iranian Rial	NA	10,903.600000	10,915.900000	10,890.600000	10,911.700000	10,911.700000	10,957.500000	10,992.800000	10,947.900000	10,983.900000	10,983.900000
Israeli New Sheqel	6.620680	6.634510	6.658320	6.705830	6.706640	6.716370	6.745540	NA	6.733510	6.627210	6.626690
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,605.110000	1,603.760000	1,603.080000	1,611.700000	1,613.320000	NA	1,617.580000	1,609.130000	1,615.300000	1,606.710000	1,611.240000
Kuwaiti Dinar	NA	0.408292	0.407909	0.409060	0.410028	NA	0.412008	0.410379	0.411779	0.409727	NA
Libyan Dinar	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740	1.644740
Malaysian Ringgit	5.198070	5.192810	5.187960	5.202590	5.214910	5.222480	5.245160	5.224440	5.242240	5.216130	5.230860
Mauritian Rupee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mexican Peso	14.486200	14.515500	14.589900	14.822300	14.781200	14.879500	15.028100	14.964200	15.156000	14.912100	15.013800
Nepalese Rupee	106.759000	NA	NA	106.851000	107.104000	107.260000	107.726000	107.301000	107.666000	107.130000	107.432000
New Zealand Dollar	2.499380	NA	2.481370	2.500640	2.523610	2.487480	2.511020	2.518970	2.520160	2.506240	2.524370
Norwegian Krone	NA	9.387200	9.410520	9.438590	9.448310	9.503350	9.467280	9.502270	9.466830	9.491000	9.484070
Rial Omani	0.525961	0.525431	0.524937	0.526418	0.527666	0.528432	0.530726	0.528631	0.530431	0.527791	0.529280
Pakistani Rupee	NA	79.389700	79.315300	79.538700	79.727000	79.936700	80.283900	79.966700	80.239400	79.839700	80.120500
Nuevo Sol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philippine Peso	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Polish Zloty	5.210500	5.212760	5.214580	5.295680	5.409500	5.317030	5.311550	5.291400	5.247200	5.215180	5.254670
Qatar Riyal	4.979190	4.974160	4.969510	4.983530	4.995330	5.002580	5.024320	5.004480	5.021520	4.996500	5.010620
Russian Ruble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saudi Arabian Riyal	5.129650	5.124470	5.119670	5.134130	5.146280	5.153760	5.176140	5.155700	5.173250	5.147500	5.162040
Singapore Dollar	2.367310	2.369700	2.368020	2.373060	2.380050	2.378700	2.385860	2.379730	2.388670	2.376910	2.392020
South African Rand	12.099200	12.086900	12.191700	12.383500	12.158900	11.984200	12.091500	12.030000	11.974400	11.853000	11.783200
Sri Lanka Rupee	NA	132.196000	132.062000	132.447000	132.779000	132.994000	133.658000	133.094000	133.586000	132.926000	133.301000
Swedish Krona	11.818800	11.806800	11.788900	11.829000	11.815800	11.784900	11.753300	11.744700	11.722600	11.695100	11.700600
Swiss Franc	1.875820	1.872960	1.873530	1.871830	1.868580	1.870880	1.861210	1.871180	1.864580	NA	1.868380
Thai Baht	58.487700	NA	58.440900	58.520900	58.645500	58.648300	58.834300	58.703400	NA	58.629400	58.862300
Trinidad And Tobago Dollar	8.578320	8.571840	8.541170	8.586050	8.611190	8.582590	8.645580	8.616080	8.645810	8.584800	8.615120
Tunisian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U.A.E. Dirham	5.023660	5.018570	5.013890	5.028010	5.039920	5.047240	5.069170	5.049150	5.066340	5.041110	5.055360
Peso Uruguayo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivar Fuerte	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Notes:


The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.

These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.

The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.

Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.
