Currency units per SDR for January 2003
Currency	January 02, 2003	January 03, 2003	January 06, 2003	January 07, 2003	January 08, 2003	January 09, 2003	January 10, 2003	January 13, 2003	January 14, 2003	January 15, 2003	January 16, 2003
Chinese Yuan	11.237400	11.182800	11.250500	11.199900	11.194800	11.252600	11.246600	11.258500	11.281800	11.259600	11.281800
Euro	1.299690	1.300130	1.296030	1.298020	1.303440	1.293970	1.293760	1.289460	1.288700	1.292370	1.290260
Japanese Yen	NA	NA	162.162000	161.638000	162.513000	161.653000	162.435000	NA	162.068000	160.589000	161.110000
U.K. Pound Sterling	0.844580	0.847242	0.842595	0.843896	0.844523	0.844823	0.844787	0.847932	0.848997	0.851071	0.849610
U.S. Dollar	1.357660	1.351100	1.359280	1.353180	1.352590	1.359570	1.358840	1.360250	1.363060	1.360350	1.363030
Algerian Dinar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australian Dollar	2.409770	2.400250	2.386370	2.355410	2.357650	2.355050	2.359500	2.331190	2.324850	2.318250	2.322420
Bahrain Dinar	0.510480	0.508014	0.511088	0.508797	0.508572	0.511198	0.510924	0.511454	0.512510	0.511491	0.512497
Botswana Pula	7.400720	7.293360	7.298100	7.344300	7.407350	7.374960	7.381000	7.378600	7.495520	7.517840	7.540970
Brazilian Real	4.795930	4.758030	4.715340	4.554270	4.519670	4.502350	4.523430	4.476580	4.491010	4.455140	4.494580
Brunei Dollar	2.365860	2.358070	2.365820	2.354810	2.356200	2.361710	2.362340	2.363020	2.363140	2.358710	2.361170
Canadian Dollar	2.137910	2.116500	2.119920	2.109880	2.111790	2.112370	2.106200	2.097230	2.098710	2.088410	2.094020
Chilean Peso	975.629000	971.072000	972.914000	961.021000	964.934000	964.236000	967.155000	969.951000	968.795000	969.396000	977.240000
Colombian Peso	3,889.420000	3,843.630000	3,862.470000	3,845.150000	3,897.920000	3,946.720000	3,961.020000	3,952.570000	3,961.730000	3,949.150000	3,960.160000
Czech Koruna	41.076000	40.737000	40.598900	40.627900	40.923900	40.841500	41.073700	41.083600	40.975000	41.283800	40.561000
Danish Krone	9.653070	9.657820	9.626770	9.642360	9.683450	9.613810	9.611320	9.579920	9.574420	9.603660	9.589570
Hungarian Forint	305.595000	306.847000	305.633000	306.036000	305.833000	303.946000	303.619000	NA	302.750000	303.575000	302.633000
Icelandic Krona	NA	109.736000	NA	NA	109.803000	109.894000	109.550000	108.697000	108.350000	108.841000	108.456000
Indian Rupee	65.181400	64.879900	65.245200	64.939300	64.897100	65.218800	65.169900	65.223900	65.290800	65.215000	65.370600
Indonesian Rupiah	12,175.500000	12,066.700000	12,145.100000	12,090.700000	12,070.500000	12,154.600000	12,138.500000	NA	12,076.700000	12,058.100000	12,081.900000
Iranian Rial	10,797.400000	NA	10,771.000000	10,847.000000	10,799.700000	10,800.400000	10,800.400000	10,843.500000	10,850.700000	10,875.900000	NA
Israeli New Sheqel	6.496420	6.485250	6.506860	6.453320	6.523500	6.555870	6.535990	6.563190	6.576780	6.578640	6.577950
Kazakhstani Tenge	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Korean Won	1,612.630000	1,608.480000	1,625.830000	1,612.450000	1,605.790000	1,615.990000	1,602.750000	1,605.500000	1,604.320000	1,600.450000	1,599.780000
