Currency units per SDR for August 2013
Currency	August 01, 2013	August 02, 2013	August 05, 2013	August 06, 2013	August 07, 2013	August 08, 2013	August 09, 2013	August 12, 2013	August 13, 2013	August 14, 2013	August 15, 2013
Chinese Yuan	9.331580	9.320360	9.354620	9.356460	9.371190	9.396200	9.395140	9.369440	9.362590	9.353050	9.366370
Euro	1.141210	1.141970	1.142420	1.140920	1.141070	1.139830	1.139240	1.144130	1.141700	1.144300	1.141730
Japanese Yen	148.558000	150.050000	150.057000	148.484000	147.796000	147.286000	147.170000	146.197000	147.832000	148.843000	148.703000
U.K. Pound Sterling	0.996046	0.995471	0.986777	0.986553	0.982772	0.981759	0.980873	0.981528	0.981894	0.978751	0.974545
U.S. Dollar	1.510510	1.507740	1.514500	1.515150	1.518190	1.522810	1.523500	1.519410	1.517320	1.515400	1.518150
Algerian Dinar	120.133000	120.119000	120.007000	120.862000	121.566000	121.846000	122.062000	122.037000	121.980000	121.251000	121.587000
Australian Dollar	1.684140	1.692380	NA	1.687810	1.694980	1.677110	1.670870	1.650990	1.662450	1.665460	1.656290
Bahrain Dinar	0.567949	0.566909	0.569453	0.569697	0.570841	0.572577	0.572836	0.571298	0.570512	0.569791	0.570825
Botswana Pula	12.899300	12.886700	12.889400	12.894900	12.953900	12.916100	12.878300	12.898200	12.990700	12.974300	13.031400
Brazilian Real	3.459510	3.454840	3.473210	3.486350	3.485010	3.506730	3.486070	3.456340	3.447650	3.490730	3.509670
Brunei Dollar	1.920460	1.923270	1.924330	1.919390	NA	NA	NA	1.916730	1.915460	1.920920	1.925780
Canadian Dollar	1.561560	1.565340	NA	1.572570	1.581350	1.575810	1.569660	1.564530	1.569660	1.564200	1.569770
Chilean Peso	778.543000	775.615000	777.895000	776.253000	780.415000	785.527000	777.974000	770.416000	768.947000	773.658000	NA
Colombian Peso	2,864.150000	2,859.660000	2,864.940000	2,853.380000	NA	2,865.950000	2,859.950000	2,847.240000	2,835.710000	2,852.530000	2,858.910000
Czech Koruna	29.622600	29.630200	29.628200	29.574200	29.641200	29.420800	29.536100	29.611700	29.537600	29.547300	29.471900
Danish Krone	8.507810	8.513030	8.517090	8.507520	8.509050	8.500150	8.497330	8.534320	8.516070	8.534610	8.515200
Hungarian Forint	341.601000	342.891000	340.415000	341.392000	342.565000	341.262000	338.947000	339.572000	340.911000	341.511000	341.539000
Icelandic Krona	179.901000	179.964000	NA	179.939000	179.845000	180.042000	179.895000	180.460000	180.940000	182.697000	182.937000
Indian Rupee	91.751500	91.675800	92.115000	93.235700	93.207900	93.066500	NA	92.383900	93.214900	93.221800	NA
Indonesian Rupiah	15,540.100000	15,511.600000	NA	NA	NA	NA	NA	15,630.100000	15,616.200000	15,604.100000	15,664.300000
Iranian Rial	37,443.900000	NA	37,543.000000	37,563.500000	37,636.000000	37,752.100000	NA	37,666.100000	37,620.300000	37,571.400000	37,636.600000
Israeli New Sheqel	5.375910	5.393190	5.393130	5.383320	5.398690	5.389240	5.377960	5.386310	5.386480	5.414540	5.422850
Kazakhstani Tenge	232.059000	231.815000	232.945000	232.969000	232.800000	233.173000	232.897000	232.697000	232.286000	231.629000	232.050000
